Zip|IncomeRange|NumberOfReturns
10027|$25,000 under $50,000|7020
10459|$25,000 under $50,000|7000
11758|$1 under $25,000|6990
14701|$1 under $25,000|6940
14850|$1 under $25,000|6910
11801|$1 under $25,000|6880
11234|$100,000 under $200,000|6860
11413|$1 under $25,000|6850
11238|$1 under $25,000|6840
11757|$1 under $25,000|6790
11106|$1 under $25,000|6780
14150|$1 under $25,000|6780
11691|$25,000 under $50,000|6770
10022|$200,000 or more|6760
10475|$1 under $25,000|6760
11211|$25,000 under $50,000|6760
10003|$100,000 under $200,000|6750
10467|$50,000 under $75,000|6730
11234|$50,000 under $75,000|6730
11412|$1 under $25,000|6670
12550|$25,000 under $50,000|6670
11209|$25,000 under $50,000|6650
11215|$200,000 or more|6650
11377|$50,000 under $75,000|6650
11746|$25,000 under $50,000|6620
10977|$25,000 under $50,000|6600
12180|$25,000 under $50,000|6590
11772|$1 under $25,000|6560
13021|$1 under $25,000|6550
10461|$25,000 under $50,000|6530
14075|$1 under $25,000|6530
10305|$1 under $25,000|6520
11103|$1 under $25,000|6500
11520|$25,000 under $50,000|6480
10475|$25,000 under $50,000|6470
14094|$25,000 under $50,000|6470
10009|$25,000 under $50,000|6460
10940|$25,000 under $50,000|6460
11373|$50,000 under $75,000|6450
14609|$25,000 under $50,000|6420
10035|$1 under $25,000|6380
10573|$1 under $25,000|6380
10801|$1 under $25,000|6370
11354|$25,000 under $50,000|6350
11378|$1 under $25,000|6340
11238|$25,000 under $50,000|6330
11003|$25,000 under $50,000|6320
11580|$1 under $25,000|6320
10950|$1 under $25,000|6310
11203|$50,000 under $75,000|6300
10026|$1 under $25,000|6290
14221|$100,000 under $200,000|6280
10024|$100,000 under $200,000|6260
11205|$1 under $25,000|6250
13440|$1 under $25,000|6250
13601|$1 under $25,000|6240
11413|$25,000 under $50,000|6230
10550|$25,000 under $50,000|6220
11590|$25,000 under $50,000|6220
14224|$1 under $25,000|6220
10025|$50,000 under $75,000|6170
10314|$50,000 under $75,000|6120
11357|$1 under $25,000|6120
11722|$25,000 under $50,000|6100
11746|$100,000 under $200,000|6100
10019|$200,000 or more|6070
10019|$100,000 under $200,000|6050
14150|$25,000 under $50,000|6040
14580|$100,000 under $200,000|6030
11102|$1 under $25,000|6020
11206|$50,000 under $75,000|6020
11421|$25,000 under $50,000|6000
11434|$50,000 under $75,000|5990
11207|$50,000 under $75,000|5980
11209|$100,000 under $200,000|5980
11412|$25,000 under $50,000|5970
11704|$1 under $25,000|5970
10455|$25,000 under $50,000|5920
11216|$50,000 under $75,000|5890
10301|$1 under $25,000|5880
14225|$1 under $25,000|5880
10040|$25,000 under $50,000|5870
11101|$1 under $25,000|5860
11238|$50,000 under $75,000|5860
11368|$50,000 under $75,000|5850
14120|$25,000 under $50,000|5850
11215|$1 under $25,000|5840
11364|$1 under $25,000|5840
12401|$1 under $25,000|5840
10030|$1 under $25,000|5820
10465|$1 under $25,000|5810
11238|$100,000 under $200,000|5790
11201|$1 under $25,000|5770
11756|$1 under $25,000|5760
11375|$25,000 under $50,000|5750
11105|$1 under $25,000|5740
13502|$1 under $25,000|5740
14624|$1 under $25,000|5730
10009|$100,000 under $200,000|5720
10009|$50,000 under $75,000|5720
12603|$1 under $25,000|5710
11356|$1 under $25,000|5700
11553|$1 under $25,000|5700
10028|$100,000 under $200,000|5680
11208|$50,000 under $75,000|5670
11423|$1 under $25,000|5670
14225|$25,000 under $50,000|5670
11417|$1 under $25,000|5650
11232|$1 under $25,000|5630
11416|$1 under $25,000|5630
14450|$1 under $25,000|5620
12065|$1 under $25,000|5610
10023|$1 under $25,000|5590
11225|$50,000 under $75,000|5590
11756|$100,000 under $200,000|5560
14850|$25,000 under $50,000|5560
10306|$100,000 under $200,000|5540
11370|$1 under $25,000|5540
10039|$1 under $25,000|5500
10014|$200,000 or more|5480
11235|$50,000 under $75,000|5450
14580|$25,000 under $50,000|5440
11209|$50,000 under $75,000|5420
11375|$50,000 under $75,000|5410
10306|$25,000 under $50,000|5400
10128|$1 under $25,000|5370
14224|$25,000 under $50,000|5370
14606|$1 under $25,000|5360
11772|$25,000 under $50,000|5340
12866|$1 under $25,000|5340
14211|$1 under $25,000|5340
14450|$100,000 under $200,000|5340
10463|$50,000 under $75,000|5330
11040|$100,000 under $200,000|5330
11224|$25,000 under $50,000|5330
14207|$1 under $25,000|5330
11040|$1 under $25,000|5320
11214|$50,000 under $75,000|5310
11743|$1 under $25,000|5310
11211|$50,000 under $75,000|5300
10024|$1 under $25,000|5290
11379|$1 under $25,000|5280
11422|$1 under $25,000|5280
14304|$1 under $25,000|5280
11433|$25,000 under $50,000|5270
14612|$1 under $25,000|5270
11757|$25,000 under $50,000|5260
11233|$50,000 under $75,000|5240
12065|$100,000 under $200,000|5240
13760|$25,000 under $50,000|5240
11222|$1 under $25,000|5230
11779|$1 under $25,000|5230
10469|$50,000 under $75,000|5200
10016|$50,000 under $75,000|5190
10034|$25,000 under $50,000|5190
14624|$25,000 under $50,000|5190
11385|$100,000 under $200,000|5180
10002|$50,000 under $75,000|5160
11106|$25,000 under $50,000|5160
14075|$25,000 under $50,000|5150
11372|$50,000 under $75,000|5140
10312|$25,000 under $50,000|5130
13440|$25,000 under $50,000|5130
11215|$50,000 under $75,000|5120
10021|$100,000 under $200,000|5110
10029|$50,000 under $75,000|5110
10304|$25,000 under $50,000|5110
11229|$50,000 under $75,000|5110
10705|$25,000 under $50,000|5100
11706|$50,000 under $75,000|5090
12601|$25,000 under $50,000|5070
14215|$25,000 under $50,000|5070
14616|$1 under $25,000|5060
11901|$1 under $25,000|5050
11369|$25,000 under $50,000|5040
12590|$1 under $25,000|5040
12010|$1 under $25,000|5030
10065|$200,000 or more|5020
10952|$1 under $25,000|5010
11554|$1 under $25,000|4990
13126|$1 under $25,000|4990
11212|$50,000 under $75,000|4980
11229|$100,000 under $200,000|4980
11230|$50,000 under $75,000|4980
11211|$100,000 under $200,000|4970
11215|$25,000 under $50,000|4970
10466|$50,000 under $75,000|4960
11418|$25,000 under $50,000|4960
11510|$1 under $25,000|4960
11365|$25,000 under $50,000|4940
11701|$1 under $25,000|4920
11580|$25,000 under $50,000|4910
10454|$25,000 under $50,000|4900
12901|$1 under $25,000|4900
11103|$25,000 under $50,000|4860
14086|$1 under $25,000|4860
10463|$100,000 under $200,000|4850
10475|$50,000 under $75,000|4830
11374|$25,000 under $50,000|4820
14612|$25,000 under $50,000|4820
14616|$25,000 under $50,000|4820
10303|$1 under $25,000|4810
11743|$100,000 under $200,000|4810
14626|$1 under $25,000|4800
