Zip|IncomeRange|NumberOfReturns
14589|$1 under $25,000|1170
10302|$50,000 under $75,000|1160
10543|$50,000 under $75,000|1160
10606|$100,000 under $200,000|1160
10920|$100,000 under $200,000|1160
11545|$100,000 under $200,000|1160
11780|$25,000 under $50,000|1160
11791|$50,000 under $75,000|1160
12061|$1 under $25,000|1160
13104|$25,000 under $50,000|1160
13212|$75,000 under $100,000|1160
14208|$25,000 under $50,000|1160
14605|$25,000 under $50,000|1160
10468|$100,000 under $200,000|1150
10514|$1 under $25,000|1150
10707|$1 under $25,000|1150
10941|$50,000 under $75,000|1150
11109|$200,000 or more|1150
11429|$75,000 under $100,000|1150
11433|$75,000 under $100,000|1150
11754|$200,000 or more|1150
11762|$75,000 under $100,000|1150
11788|$50,000 under $75,000|1150
11937|$50,000 under $75,000|1150
11953|$50,000 under $75,000|1150
12204|$25,000 under $50,000|1150
12534|$50,000 under $75,000|1150
13036|$25,000 under $50,000|1150
13211|$25,000 under $50,000|1150
13212|$100,000 under $200,000|1150
13502|$100,000 under $200,000|1150
13617|$1 under $25,000|1150
13903|$50,000 under $75,000|1150
14420|$50,000 under $75,000|1150
10044|$1 under $25,000|1140
10923|$25,000 under $50,000|1140
11360|$75,000 under $100,000|1140
11771|$200,000 or more|1140
11777|$1 under $25,000|1140
11792|$100,000 under $200,000|1140
12549|$100,000 under $200,000|1140
13078|$1 under $25,000|1140
13350|$25,000 under $50,000|1140
13413|$50,000 under $75,000|1140
13502|$75,000 under $100,000|1140
14063|$25,000 under $50,000|1140
14464|$1 under $25,000|1140
10579|$100,000 under $200,000|1130
10965|$25,000 under $50,000|1130
11755|$25,000 under $50,000|1130
11777|$100,000 under $200,000|1130
11934|$1 under $25,000|1130
12019|$50,000 under $75,000|1130
12801|$50,000 under $75,000|1130
12983|$1 under $25,000|1130
13850|$75,000 under $100,000|1130
14502|$25,000 under $50,000|1130
14760|$50,000 under $75,000|1130
10037|$75,000 under $100,000|1120
10506|$200,000 or more|1120
10954|$200,000 or more|1120
10970|$25,000 under $50,000|1120
11530|$75,000 under $100,000|1120
11702|$200,000 or more|1120
12159|$100,000 under $200,000|1120
13209|$50,000 under $75,000|1120
13214|$1 under $25,000|1120
13676|$25,000 under $50,000|1120
14051|$50,000 under $75,000|1120
14059|$100,000 under $200,000|1120
14437|$25,000 under $50,000|1120
14559|$75,000 under $100,000|1120
14586|$100,000 under $200,000|1120
14616|$100,000 under $200,000|1120
14618|$75,000 under $100,000|1120
10302|$100,000 under $200,000|1110
10703|$75,000 under $100,000|1110
10709|$1 under $25,000|1110
10924|$25,000 under $50,000|1110
10990|$200,000 or more|1110
11021|$50,000 under $75,000|1110
11559|$1 under $25,000|1110
11703|$75,000 under $100,000|1110
12754|$1 under $25,000|1110
13069|$100,000 under $200,000|1110
14470|$25,000 under $50,000|1110
14489|$1 under $25,000|1110
10528|$100,000 under $200,000|1100
10567|$50,000 under $75,000|1100
10805|$75,000 under $100,000|1100
10901|$75,000 under $100,000|1100
11563|$200,000 or more|1100
12566|$25,000 under $50,000|1100
13037|$25,000 under $50,000|1100
13152|$1 under $25,000|1100
14564|$200,000 or more|1100
10035|$75,000 under $100,000|1090
10037|$100,000 under $200,000|1090
10457|$75,000 under $100,000|1090
10603|$75,000 under $100,000|1090
10606|$50,000 under $75,000|1090
10709|$100,000 under $200,000|1090
10803|$100,000 under $200,000|1090
11366|$100,000 under $200,000|1090
11370|$75,000 under $100,000|1090
11542|$200,000 or more|1090
11706|$200,000 or more|1090
11716|$25,000 under $50,000|1090
11801|$200,000 or more|1090
11901|$75,000 under $100,000|1090
12043|$1 under $25,000|1090
12204|$1 under $25,000|1090
14092|$100,000 under $200,000|1090
14425|$100,000 under $200,000|1090
10018|$25,000 under $50,000|1080
10512|$200,000 or more|1080
10523|$25,000 under $50,000|1080
11581|$200,000 or more|1080
11733|$25,000 under $50,000|1080
11742|$50,000 under $75,000|1080
11782|$200,000 or more|1080
11788|$200,000 or more|1080
12182|$50,000 under $75,000|1080
12428|$1 under $25,000|1080
12569|$100,000 under $200,000|1080
14625|$25,000 under $50,000|1080
14845|$75,000 under $100,000|1080
10604|$25,000 under $50,000|1070
10930|$100,000 under $200,000|1070
10989|$1 under $25,000|1070
11109|$100,000 under $200,000|1070
11216|$200,000 or more|1070
11360|$200,000 or more|1070
11767|$25,000 under $50,000|1070
11792|$1 under $25,000|1070
13492|$100,000 under $200,000|1070
13901|$100,000 under $200,000|1070
14020|$100,000 under $200,000|1070
14032|$100,000 under $200,000|1070
14220|$75,000 under $100,000|1070
14425|$50,000 under $75,000|1070
14615|$50,000 under $75,000|1070
10304|$200,000 or more|1060
10307|$25,000 under $50,000|1060
10522|$1 under $25,000|1060
11096|$25,000 under $50,000|1060
11797|$1 under $25,000|1060
11963|$1 under $25,000|1060
12538|$50,000 under $75,000|1060
13057|$100,000 under $200,000|1060
13066|$25,000 under $50,000|1060
13323|$25,000 under $50,000|1060
10965|$200,000 or more|1050
10970|$100,000 under $200,000|1050
11004|$50,000 under $75,000|1050
11228|$200,000 or more|1050
11552|$200,000 or more|1050
11576|$100,000 under $200,000|1050
11705|$100,000 under $200,000|1050
11740|$100,000 under $200,000|1050
11933|$1 under $25,000|1050
11937|$200,000 or more|1050
11946|$50,000 under $75,000|1050
12047|$75,000 under $100,000|1050
13045|$75,000 under $100,000|1050
13077|$1 under $25,000|1050
13202|$1 under $25,000|1050
14482|$25,000 under $50,000|1050
10301|$200,000 or more|1040
10591|$75,000 under $100,000|1040
10601|$100,000 under $200,000|1040
10990|$75,000 under $100,000|1040
11705|$1 under $25,000|1040
11730|$50,000 under $75,000|1040
12019|$75,000 under $100,000|1040
12054|$200,000 or more|1040
12054|$75,000 under $100,000|1040
12188|$100,000 under $200,000|1040
12189|$100,000 under $200,000|1040
12528|$50,000 under $75,000|1040
12569|$25,000 under $50,000|1040
13340|$25,000 under $50,000|1040
13732|$1 under $25,000|1040
13905|$100,000 under $200,000|1040
14051|$75,000 under $100,000|1040
14068|$1 under $25,000|1040
10460|$75,000 under $100,000|1030
11232|$100,000 under $200,000|1030
11362|$75,000 under $100,000|1030
11752|$25,000 under $50,000|1030
11782|$50,000 under $75,000|1030
11934|$100,000 under $200,000|1030
11950|$100,000 under $200,000|1030
11968|$25,000 under $50,000|1030
12566|$100,000 under $200,000|1030
13662|$50,000 under $75,000|1030
14620|$100,000 under $200,000|1030
10303|$75,000 under $100,000|1020
10310|$75,000 under $100,000|1020
10579|$1 under $25,000|1020
10960|$50,000 under $75,000|1020
11023|$1 under $25,000|1020
11374|$200,000 or more|1020
11747|$75,000 under $100,000|1020
11951|$50,000 under $75,000|1020
12184|$1 under $25,000|1020
12524|$75,000 under $100,000|1020
13039|$75,000 under $100,000|1020
13069|$75,000 under $100,000|1020
13365|$25,000 under $50,000|1020
14085|$100,000 under $200,000|1020
14414|$1 under $25,000|1020
14513|$50,000 under $75,000|1020
10553|$50,000 under $75,000|1010
10965|$50,000 under $75,000|1010
11023|$200,000 or more|1010
11754|$75,000 under $100,000|1010
12198|$1 under $25,000|1010
13029|$1 under $25,000|1010
13078|$100,000 under $200,000|1010
13135|$1 under $25,000|1010
13208|$50,000 under $75,000|1010
13856|$1 under $25,000|1010
14216|$75,000 under $100,000|1010
14472|$100,000 under $200,000|1010
10470|$100,000 under $200,000|1000
10509|$200,000 or more|1000
10509|$75,000 under $100,000|1000
10530|$50,000 under $75,000|1000
10607|$1 under $25,000|1000
11364|$200,000 or more|1000
11426|$75,000 under $100,000|1000
11702|$50,000 under $75,000|1000
11766|$200,000 or more|1000
11768|$75,000 under $100,000|1000
12159|$1 under $25,000|1000
12589|$50,000 under $75,000|1000
12834|$1 under $25,000|1000
13224|$25,000 under $50,000|1000
13669|$50,000 under $75,000|1000
14428|$25,000 under $50,000|1000
14502|$100,000 under $200,000|1000
14564|$50,000 under $75,000|1000
14606|$75,000 under $100,000|1000
10029|$200,000 or more|990
10710|$200,000 or more|990
10918|$25,000 under $50,000|990
12033|$1 under $25,000|990
12208|$75,000 under $100,000|990
12590|$200,000 or more|990
12832|$1 under $25,000|990
12839|$50,000 under $75,000|990
13035|$1 under $25,000|990
13219|$75,000 under $100,000|990
13903|$100,000 under $200,000|990
14489|$25,000 under $50,000|990
10458|$100,000 under $200,000|980
10510|$100,000 under $200,000|980
10567|$75,000 under $100,000|980
10706|$100,000 under $200,000|980
10709|$200,000 or more|980
10980|$50,000 under $75,000|980
10993|$1 under $25,000|980
11741|$200,000 or more|980
12549|$25,000 under $50,000|980
13027|$200,000 or more|980
13031|$75,000 under $100,000|980
13041|$50,000 under $75,000|980
13066|$200,000 or more|980
13501|$100,000 under $200,000|980
14052|$75,000 under $100,000|980
14204|$25,000 under $50,000|980
14228|$75,000 under $100,000|980
14569|$1 under $25,000|980
14886|$1 under $25,000|980
10030|$75,000 under $100,000|970
10510|$1 under $25,000|970
10604|$100,000 under $200,000|970
11433|$100,000 under $200,000|970
11501|$200,000 or more|970
11557|$1 under $25,000|970
12018|$1 under $25,000|970
12564|$1 under $25,000|970
12822|$1 under $25,000|970
12831|$75,000 under $100,000|970
12845|$1 under $25,000|970
13339|$1 under $25,000|970
13617|$25,000 under $50,000|970
14132|$1 under $25,000|970
14209|$25,000 under $50,000|970
14219|$50,000 under $75,000|970
14226|$200,000 or more|970
10707|$200,000 or more|960
10960|$200,000 or more|960
10994|$100,000 under $200,000|960
11596|$200,000 or more|960
11738|$75,000 under $100,000|960
11778|$50,000 under $75,000|960
12188|$50,000 under $75,000|960
12508|$75,000 under $100,000|960
12540|$100,000 under $200,000|960
12561|$50,000 under $75,000|960
12571|$100,000 under $200,000|960
13114|$1 under $25,000|960
13142|$1 under $25,000|960
13820|$100,000 under $200,000|960
14004|$100,000 under $200,000|960
14059|$25,000 under $50,000|960
14085|$1 under $25,000|960
14214|$50,000 under $75,000|960
14895|$25,000 under $50,000|960
14905|$25,000 under $50,000|960
10536|$100,000 under $200,000|950
10547|$1 under $25,000|950
11363|$1 under $25,000|950
11379|$200,000 or more|950
11565|$1 under $25,000|950
11767|$200,000 or more|950
11789|$1 under $25,000|950
11790|$25,000 under $50,000|950
11791|$75,000 under $100,000|950
12477|$75,000 under $100,000|950
12540|$1 under $25,000|950
12586|$50,000 under $75,000|950
12983|$25,000 under $50,000|950
14141|$25,000 under $50,000|950
14454|$1 under $25,000|950
14464|$25,000 under $50,000|950
14589|$25,000 under $50,000|950
14623|$75,000 under $100,000|950
14830|$75,000 under $100,000|950
10605|$75,000 under $100,000|940
11204|$200,000 or more|940
11518|$25,000 under $50,000|940
11580|$200,000 or more|940
11771|$100,000 under $200,000|940
12061|$25,000 under $50,000|940
12211|$25,000 under $50,000|940
12571|$25,000 under $50,000|940
12572|$100,000 under $200,000|940
12721|$1 under $25,000|940
12946|$1 under $25,000|940
13032|$50,000 under $75,000|940
14519|$50,000 under $75,000|940
14892|$25,000 under $50,000|940
14903|$25,000 under $50,000|940
14904|$50,000 under $75,000|940
10994|$1 under $25,000|930
11021|$75,000 under $100,000|930
11558|$100,000 under $200,000|930
11559|$200,000 or more|930
11949|$50,000 under $75,000|930
12009|$100,000 under $200,000|930
12018|$100,000 under $200,000|930
12090|$1 under $25,000|930
12209|$50,000 under $75,000|930
12570|$100,000 under $200,000|930
13367|$25,000 under $50,000|930
13492|$50,000 under $75,000|930
14031|$100,000 under $200,000|930
14031|$25,000 under $50,000|930
14047|$1 under $25,000|930
14075|$200,000 or more|930
14586|$50,000 under $75,000|930
10004|$200,000 or more|920
10530|$25,000 under $50,000|920
11358|$200,000 or more|920
11428|$75,000 under $100,000|920
11726|$75,000 under $100,000|920
12033|$100,000 under $200,000|920
12033|$25,000 under $50,000|920
13215|$50,000 under $75,000|920
13316|$1 under $25,000|920
13413|$75,000 under $100,000|920
14020|$75,000 under $100,000|920
14213|$50,000 under $75,000|920
14222|$50,000 under $75,000|920
14456|$100,000 under $200,000|920
14706|$1 under $25,000|920
14779|$25,000 under $50,000|920
10044|$100,000 under $200,000|910
10504|$1 under $25,000|910
10549|$50,000 under $75,000|910
10977|$200,000 or more|910
11024|$1 under $25,000|910
11372|$200,000 or more|910
11714|$200,000 or more|910
11780|$50,000 under $75,000|910
12009|$1 under $25,000|910
13073|$1 under $25,000|910
14526|$200,000 or more|910
14621|$50,000 under $75,000|910
10030|$100,000 under $200,000|900
10472|$100,000 under $200,000|900
10523|$100,000 under $200,000|900
10528|$25,000 under $50,000|900
11507|$1 under $25,000|900
11557|$200,000 or more|900
12211|$200,000 or more|900
13865|$1 under $25,000|900
14108|$1 under $25,000|900
14867|$1 under $25,000|900
10308|$200,000 or more|890
10502|$200,000 or more|890
11232|$75,000 under $100,000|890
11356|$75,000 under $100,000|890
11366|$50,000 under $75,000|890
11693|$50,000 under $75,000|890
11694|$75,000 under $100,000|890
11757|$200,000 or more|890
11764|$200,000 or more|890
11772|$200,000 or more|890
11788|$75,000 under $100,000|890
11968|$100,000 under $200,000|890
12304|$100,000 under $200,000|890
12754|$25,000 under $50,000|890
12972|$1 under $25,000|890
13309|$1 under $25,000|890
13323|$100,000 under $200,000|890
13421|$50,000 under $75,000|890
13642|$25,000 under $50,000|890
14068|$100,000 under $200,000|890
14428|$100,000 under $200,000|890
14487|$1 under $25,000|890
10039|$75,000 under $100,000|880
10520|$25,000 under $50,000|880
10706|$1 under $25,000|880
11560|$1 under $25,000|880
11709|$1 under $25,000|880
11755|$50,000 under $75,000|880
11764|$25,000 under $50,000|880
12307|$25,000 under $50,000|880
13066|$50,000 under $75,000|880
13152|$100,000 under $200,000|880
13815|$50,000 under $75,000|880
14207|$50,000 under $75,000|880
14414|$25,000 under $50,000|880
14469|$1 under $25,000|880
14527|$50,000 under $75,000|880
14551|$1 under $25,000|880
10018|$50,000 under $75,000|870
10307|$50,000 under $75,000|870
10547|$100,000 under $200,000|870
10576|$200,000 or more|870
10923|$100,000 under $200,000|870
11105|$200,000 or more|870
11507|$100,000 under $200,000|870
11516|$1 under $25,000|870
11518|$50,000 under $75,000|870
11733|$50,000 under $75,000|870
11767|$50,000 under $75,000|870
11797|$100,000 under $200,000|870
12077|$100,000 under $200,000|870
12198|$100,000 under $200,000|870
12570|$1 under $25,000|870
13108|$1 under $25,000|870
14004|$50,000 under $75,000|870
14625|$50,000 under $75,000|870
14870|$25,000 under $50,000|870
10039|$100,000 under $200,000|860
10530|$75,000 under $100,000|860
10543|$75,000 under $100,000|860
11557|$100,000 under $200,000|860
11694|$200,000 or more|860
11779|$200,000 or more|860
12095|$50,000 under $75,000|860
12118|$75,000 under $100,000|860
12308|$50,000 under $75,000|860
12885|$1 under $25,000|860
13207|$50,000 under $75,000|860
13905|$75,000 under $100,000|860
14011|$1 under $25,000|860
14057|$25,000 under $50,000|860
14420|$75,000 under $100,000|860
14787|$1 under $25,000|860
14837|$1 under $25,000|860
10589|$1 under $25,000|850
10601|$50,000 under $75,000|850
10607|$100,000 under $200,000|850
10983|$100,000 under $200,000|850
10992|$25,000 under $50,000|850
11010|$200,000 or more|850
11789|$100,000 under $200,000|850
11961|$75,000 under $100,000|850
12020|$200,000 or more|850
12186|$100,000 under $200,000|850
12771|$50,000 under $75,000|850
13057|$75,000 under $100,000|850
13077|$25,000 under $50,000|850
14086|$200,000 or more|850
14131|$1 under $25,000|850
14510|$1 under $25,000|850
14843|$50,000 under $75,000|850
10005|$50,000 under $75,000|840
10033|$200,000 or more|840
10451|$100,000 under $200,000|840
10590|$200,000 or more|840
10601|$200,000 or more|840
10603|$200,000 or more|840
11436|$75,000 under $100,000|840
11730|$200,000 or more|840
11751|$75,000 under $100,000|840
11766|$25,000 under $50,000|840
12043|$25,000 under $50,000|840
12305|$1 under $25,000|840
12771|$100,000 under $200,000|840
13035|$100,000 under $200,000|840
13104|$50,000 under $75,000|840
13316|$25,000 under $50,000|840
14009|$1 under $25,000|840
14092|$50,000 under $75,000|840
14467|$50,000 under $75,000|840
14623|$100,000 under $200,000|840
10941|$75,000 under $100,000|830
10952|$75,000 under $100,000|830
11004|$75,000 under $100,000|830
11020|$1 under $25,000|830
11721|$100,000 under $200,000|830
11782|$75,000 under $100,000|830
12159|$200,000 or more|830
12528|$75,000 under $100,000|830
13165|$50,000 under $75,000|830
13501|$75,000 under $100,000|830
14048|$50,000 under $75,000|830
14057|$100,000 under $200,000|830
14136|$1 under $25,000|830
14174|$1 under $25,000|830
14214|$100,000 under $200,000|830
14514|$1 under $25,000|830
14530|$1 under $25,000|830
14568|$1 under $25,000|830
14801|$1 under $25,000|830
10924|$50,000 under $75,000|820
10970|$50,000 under $75,000|820
11024|$200,000 or more|820
11361|$200,000 or more|820
11385|$200,000 or more|820
11558|$25,000 under $50,000|820
11702|$75,000 under $100,000|820
11709|$100,000 under $200,000|820
11720|$200,000 or more|820
11777|$200,000 or more|820
11954|$1 under $25,000|820
12078|$75,000 under $100,000|820
12198|$25,000 under $50,000|820
12211|$50,000 under $75,000|820
12883|$1 under $25,000|820
13407|$1 under $25,000|820
13778|$1 under $25,000|820
14047|$25,000 under $50,000|820
14067|$1 under $25,000|820
14210|$50,000 under $75,000|820
14305|$50,000 under $75,000|820
14411|$50,000 under $75,000|820
14620|$75,000 under $100,000|820
14727|$1 under $25,000|820
10604|$50,000 under $75,000|810
11219|$200,000 or more|810
11742|$75,000 under $100,000|810
11752|$50,000 under $75,000|810
11971|$1 under $25,000|810
12189|$75,000 under $100,000|810
12518|$1 under $25,000|810
12550|$200,000 or more|810
12564|$100,000 under $200,000|810
13204|$50,000 under $75,000|810
13637|$25,000 under $50,000|810
14590|$1 under $25,000|810
14606|$100,000 under $200,000|810
14619|$50,000 under $75,000|810
10044|$25,000 under $50,000|800
10459|$75,000 under $100,000|800
10589|$200,000 or more|800
10965|$75,000 under $100,000|800
11226|$200,000 or more|800
11716|$50,000 under $75,000|800
11730|$75,000 under $100,000|800
11786|$1 under $25,000|800
11786|$100,000 under $200,000|800
12061|$50,000 under $75,000|800
12182|$100,000 under $200,000|800
12834|$25,000 under $50,000|800
13037|$100,000 under $200,000|800
13326|$1 under $25,000|800
13403|$1 under $25,000|800
13655|$1 under $25,000|800
14432|$1 under $25,000|800
14437|$50,000 under $75,000|800
14569|$25,000 under $50,000|800
14867|$25,000 under $50,000|800
10595|$100,000 under $200,000|790
10923|$50,000 under $75,000|790
11030|$25,000 under $50,000|790
11225|$200,000 or more|790
11560|$200,000 or more|790
11740|$200,000 or more|790
11950|$75,000 under $100,000|790
11951|$100,000 under $200,000|790
11953|$75,000 under $100,000|790
12078|$100,000 under $200,000|790
12158|$1 under $25,000|790
12822|$25,000 under $50,000|790
13073|$25,000 under $50,000|790
13205|$50,000 under $75,000|790
13827|$50,000 under $75,000|790
14222|$100,000 under $200,000|790
14502|$50,000 under $75,000|790
14505|$1 under $25,000|790
14514|$25,000 under $50,000|790
10507|$1 under $25,000|780
10514|$100,000 under $200,000|780
10533|$100,000 under $200,000|780
10552|$200,000 or more|780
10604|$200,000 or more|780
10606|$200,000 or more|780
10918|$50,000 under $75,000|780
10980|$75,000 under $100,000|780
10989|$25,000 under $50,000|780
11106|$200,000 or more|780
11713|$50,000 under $75,000|780
11769|$25,000 under $50,000|780
11949|$200,000 or more|780
12018|$25,000 under $50,000|780
12025|$1 under $25,000|780
12534|$100,000 under $200,000|780
12542|$1 under $25,000|780
12572|$25,000 under $50,000|780
13114|$25,000 under $50,000|780
13166|$1 under $25,000|780
13214|$25,000 under $50,000|780
13339|$25,000 under $50,000|780
13732|$100,000 under $200,000|780
14006|$50,000 under $75,000|780
14063|$100,000 under $200,000|780
14870|$100,000 under $200,000|780
10302|$75,000 under $100,000|770
11023|$100,000 under $200,000|770
11377|$200,000 or more|770
11596|$25,000 under $50,000|770
11693|$100,000 under $200,000|770
11713|$100,000 under $200,000|770
11798|$100,000 under $200,000|770
12563|$100,000 under $200,000|770
12566|$50,000 under $75,000|770
12803|$50,000 under $75,000|770
12953|$50,000 under $75,000|770
12986|$1 under $25,000|770
13323|$50,000 under $75,000|770
13460|$1 under $25,000|770
13669|$100,000 under $200,000|770
14001|$50,000 under $75,000|770
14070|$1 under $25,000|770
14103|$50,000 under $75,000|770
14108|$25,000 under $50,000|770
14512|$1 under $25,000|770
14551|$25,000 under $50,000|770
11020|$200,000 or more|760
11214|$200,000 or more|760
11362|$200,000 or more|760
11416|$75,000 under $100,000|760
11721|$1 under $25,000|760
12077|$1 under $25,000|760
12304|$75,000 under $100,000|760
12569|$50,000 under $75,000|760
12992|$1 under $25,000|760
13041|$75,000 under $100,000|760
13068|$1 under $25,000|760
13078|$200,000 or more|760
13135|$25,000 under $50,000|760
13215|$75,000 under $100,000|760
13732|$25,000 under $50,000|760
14001|$100,000 under $200,000|760
14303|$25,000 under $50,000|760
14610|$200,000 or more|760
14610|$75,000 under $100,000|760
14810|$50,000 under $75,000|760
14886|$25,000 under $50,000|760
10305|$200,000 or more|750
10456|$100,000 under $200,000|750
10520|$50,000 under $75,000|750
10522|$25,000 under $50,000|750
10580|$25,000 under $50,000|750
11367|$200,000 or more|750
11436|$100,000 under $200,000|750
11940|$1 under $25,000|750
11963|$100,000 under $200,000|750
11968|$200,000 or more|750
12206|$50,000 under $75,000|750
12549|$50,000 under $75,000|750
12828|$50,000 under $75,000|750
12887|$1 under $25,000|750
12946|$25,000 under $50,000|750
12972|$25,000 under $50,000|750
13029|$25,000 under $50,000|750
13148|$50,000 under $75,000|750
13603|$50,000 under $75,000|750
13662|$100,000 under $200,000|750
13733|$1 under $25,000|750
13778|$25,000 under $50,000|750
14063|$50,000 under $75,000|750
14572|$1 under $25,000|750
14760|$100,000 under $200,000|750
14891|$1 under $25,000|750
10528|$50,000 under $75,000|740
10590|$100,000 under $200,000|740
10607|$25,000 under $50,000|740
10701|$200,000 or more|740
10960|$75,000 under $100,000|740
11577|$25,000 under $50,000|740
11771|$25,000 under $50,000|740
11780|$75,000 under $100,000|740
11789|$25,000 under $50,000|740
11942|$1 under $25,000|740
12186|$1 under $25,000|740
12446|$1 under $25,000|740
12589|$75,000 under $100,000|740
12832|$25,000 under $50,000|740
13082|$1 under $25,000|740
13118|$1 under $25,000|740
13214|$100,000 under $200,000|740
13838|$1 under $25,000|740
13856|$25,000 under $50,000|740
14036|$1 under $25,000|740
14132|$25,000 under $50,000|740
14456|$75,000 under $100,000|740
14467|$100,000 under $200,000|740
10307|$75,000 under $100,000|730
10452|$100,000 under $200,000|730
10533|$1 under $25,000|730
10538|$25,000 under $50,000|730
10928|$1 under $25,000|730
10989|$50,000 under $75,000|730
11565|$200,000 or more|730
11575|$100,000 under $200,000|730
11944|$1 under $25,000|730
12538|$75,000 under $100,000|730
12561|$75,000 under $100,000|730
12986|$25,000 under $50,000|730
13029|$100,000 under $200,000|730
13159|$1 under $25,000|730
13820|$75,000 under $100,000|730
13827|$100,000 under $200,000|730
13850|$200,000 or more|730
13901|$75,000 under $100,000|730
14011|$25,000 under $50,000|730
14519|$75,000 under $100,000|730
14622|$100,000 under $200,000|730
14750|$1 under $25,000|730
10470|$75,000 under $100,000|720
10523|$50,000 under $75,000|720
10595|$1 under $25,000|720
11365|$200,000 or more|720
11416|$100,000 under $200,000|720
11432|$200,000 or more|720
11545|$25,000 under $50,000|720
11575|$75,000 under $100,000|720
11733|$75,000 under $100,000|720
11751|$200,000 or more|720
11766|$50,000 under $75,000|720
11767|$75,000 under $100,000|720
11769|$50,000 under $75,000|720
11949|$75,000 under $100,000|720
11952|$1 under $25,000|720
11963|$25,000 under $50,000|720
12090|$25,000 under $50,000|720
12170|$1 under $25,000|720
12498|$1 under $25,000|720
14428|$50,000 under $75,000|720
14472|$25,000 under $50,000|720
14564|$75,000 under $100,000|720
10453|$100,000 under $200,000|710
10538|$50,000 under $75,000|710
10570|$25,000 under $50,000|710
10920|$25,000 under $50,000|710
10927|$50,000 under $75,000|710
10993|$25,000 under $50,000|710
11507|$200,000 or more|710
11704|$200,000 or more|710
11721|$200,000 or more|710
11777|$25,000 under $50,000|710
11933|$100,000 under $200,000|710
11934|$25,000 under $50,000|710
11937|$75,000 under $100,000|710
12025|$25,000 under $50,000|710
12148|$100,000 under $200,000|710
12184|$25,000 under $50,000|710
12305|$25,000 under $50,000|710
12962|$1 under $25,000|710
13078|$25,000 under $50,000|710
13104|$75,000 under $100,000|710
13166|$25,000 under $50,000|710
13357|$50,000 under $75,000|710
13624|$1 under $25,000|710
13676|$50,000 under $75,000|710
13830|$1 under $25,000|710
13903|$75,000 under $100,000|710
14009|$25,000 under $50,000|710
14032|$200,000 or more|710
14052|$200,000 or more|710
14072|$200,000 or more|710
14092|$75,000 under $100,000|710
14105|$1 under $25,000|710
14424|$200,000 or more|710
10457|$100,000 under $200,000|700
10590|$1 under $25,000|700
10994|$200,000 or more|700
11697|$100,000 under $200,000|700
11740|$25,000 under $50,000|700
11933|$25,000 under $50,000|700
11946|$75,000 under $100,000|700
11954|$25,000 under $50,000|700
12009|$25,000 under $50,000|700
12143|$1 under $25,000|700
12428|$25,000 under $50,000|700
12522|$1 under $25,000|700
12801|$100,000 under $200,000|700
13108|$100,000 under $200,000|700
13209|$100,000 under $200,000|700
13309|$25,000 under $50,000|700
13407|$25,000 under $50,000|700
13676|$100,000 under $200,000|700
13790|$100,000 under $200,000|700
14004|$75,000 under $100,000|700
14059|$50,000 under $75,000|700
14432|$25,000 under $50,000|700
14522|$50,000 under $75,000|700
14546|$1 under $25,000|700
14586|$75,000 under $100,000|700
14622|$75,000 under $100,000|700
10005|$25,000 under $50,000|690
10516|$100,000 under $200,000|690
10707|$25,000 under $50,000|690
10707|$50,000 under $75,000|690
10983|$1 under $25,000|690
11516|$100,000 under $200,000|690
11764|$50,000 under $75,000|690
11778|$75,000 under $100,000|690
12204|$50,000 under $75,000|690
12414|$50,000 under $75,000|690
12564|$25,000 under $50,000|690
13032|$100,000 under $200,000|690
13452|$1 under $25,000|690
13865|$25,000 under $50,000|690
14215|$75,000 under $100,000|690
14425|$75,000 under $100,000|690
14469|$25,000 under $50,000|690
14733|$1 under $25,000|690
14760|$75,000 under $100,000|690
10455|$75,000 under $100,000|680
10522|$50,000 under $75,000|680
10606|$75,000 under $100,000|680
10803|$25,000 under $50,000|680
10930|$25,000 under $50,000|680
11568|$200,000 or more|680
11692|$100,000 under $200,000|680
11790|$50,000 under $75,000|680
11971|$100,000 under $200,000|680
12158|$25,000 under $50,000|680
12182|$75,000 under $100,000|680
12198|$50,000 under $75,000|680
12721|$25,000 under $50,000|680
12816|$1 under $25,000|680
13140|$1 under $25,000|680
13142|$25,000 under $50,000|680
13421|$100,000 under $200,000|680
13603|$1 under $25,000|680
13833|$1 under $25,000|680
14085|$25,000 under $50,000|680
14219|$75,000 under $100,000|680
14423|$1 under $25,000|680
14445|$50,000 under $75,000|680
10006|$200,000 or more|670
10044|$50,000 under $75,000|670
10307|$200,000 or more|670
10502|$100,000 under $200,000|670
10553|$100,000 under $200,000|670
10579|$25,000 under $50,000|670
11239|$75,000 under $100,000|670
11363|$100,000 under $200,000|670
11520|$200,000 or more|670
11558|$50,000 under $75,000|670
11753|$25,000 under $50,000|670
12158|$100,000 under $200,000|670
12188|$75,000 under $100,000|670
12211|$75,000 under $100,000|670
12542|$25,000 under $50,000|670
12790|$1 under $25,000|670
12801|$75,000 under $100,000|670
12992|$25,000 under $50,000|670
13037|$50,000 under $75,000|670
13053|$1 under $25,000|670
13068|$25,000 under $50,000|670
13210|$50,000 under $75,000|670
13619|$50,000 under $75,000|670
14737|$1 under $25,000|670
14905|$100,000 under $200,000|670
10005|$75,000 under $100,000|660
10006|$100,000 under $200,000|660
10460|$100,000 under $200,000|660
10465|$200,000 or more|660
10532|$100,000 under $200,000|660
10709|$25,000 under $50,000|660
