Batsman,Result,TeamState,n,Reviews
BOP Fernando,Struck down,Bowling,1,2
BOP Fernando,Upheld,Batting,1,1
BOP Fernando,Upheld,Bowling,1,2
BRM Taylor,Struck down,Bowling,3,3
BT Foakes,Umpire's call,Bowling,1,2
BT Foakes,Upheld,Batting,1,1
BT Foakes,Upheld,Bowling,1,2
BW Hilfenhaus,Upheld,Batting,1,1
C de Grandhomme,Struck down,Batting,2,5
C de Grandhomme,Struck down,Bowling,4,6
C de Grandhomme,Upheld,Batting,3,5
C de Grandhomme,Upheld,Bowling,2,6
C Overton,Struck down,Batting,1,3
C Overton,Struck down,Bowling,1,1
C Overton,Umpire's call,Batting,1,3
C Overton,Upheld,Batting,1,3
CA Pujara,Struck down,Batting,1,7
CA Pujara,Struck down,Bowling,11,15
CA Pujara,Umpire's call,Batting,1,7
CA Pujara,Umpire's call,Bowling,1,15
CA Pujara,Upheld,Batting,5,7
CA Pujara,Upheld,Bowling,3,15
CAK Rajitha,Struck down,Batting,1,1
CAK Rajitha,Struck down,Bowling,1,2
CAK Rajitha,Umpire's call,Bowling,1,2
CB Mpofu,Struck down,Bowling,2,2
CBRLS Kumara,Struck down,Batting,1,1
CBRLS Kumara,Upheld,Bowling,1,1
CFK van Wyk,Struck down,Batting,1,2
CFK van Wyk,Struck down,Bowling,4,4
CFK van Wyk,Upheld,Batting,1,2
CH Gayle,Struck down,Batting,1,1
CH Gayle,Struck down,Bowling,5,6
CH Gayle,Upheld,Bowling,1,6
CH Morris,Struck down,Bowling,1,1
CJ Anderson,Struck down,Batting,2,2
CJ Anderson,Struck down,Bowling,3,4
CJ Anderson,Upheld,Bowling,1,4
CJ Jordan,Struck down,Batting,3,3
CJ Jordan,Struck down,Bowling,1,1
CJL Rogers,Struck down,Batting,3,7
CJL Rogers,Struck down,Bowling,8,9
CJL Rogers,Upheld,Batting,4,7
CJL Rogers,Upheld,Bowling,1,9
CK Tshuma,Struck down,Batting,1,1
CR Ervine,Struck down,Batting,3,6
CR Ervine,Struck down,Bowling,1,2
CR Ervine,Umpire's call,Batting,1,6
CR Ervine,Umpire's call,Bowling,1,2
CR Ervine,Upheld,Batting,2,6
CR Woakes,Struck down,Batting,5,8
CR Woakes,Struck down,Bowling,6,6
CR Woakes,Umpire's call,Batting,1,8
CR Woakes,Upheld,Batting,2,8
CS Baugh,Struck down,Batting,3,5
CS Baugh,Struck down,Bowling,4,6
CS Baugh,Upheld,Batting,2,5
CS Baugh,Upheld,Bowling,2,6
CT Bancroft,Struck down,Batting,1,2
CT Bancroft,Struck down,Bowling,2,3
CT Bancroft,Umpire's call,Batting,1,2
CT Bancroft,Upheld,Bowling,1,3
CT Mumba,Struck down,Batting,1,1
CT Tremlett,Struck down,Bowling,1,1
D Bishoo,Struck down,Batting,1,2
D Bishoo,Struck down,Bowling,4,5
D Bishoo,Upheld,Batting,1,2
D Bishoo,Upheld,Bowling,1,5
D Elgar,Struck down,Batting,5,7
D Elgar,Struck down,Bowling,7,9
D Elgar,Upheld,Batting,2,7
D Elgar,Upheld,Bowling,2,9
D Olivier,Struck down,Bowling,1,2
D Olivier,Umpire's call,Batting,1,1
D Olivier,Upheld,Bowling,1,2
D Pretorius,Struck down,Bowling,1,1
D Ramdin,Struck down,Batting,3,3
D Ramdin,Struck down,Bowling,4,5
D Ramdin,Upheld,Bowling,1,5
DA Warner,Struck down,Batting,7,11
DA Warner,Struck down,Bowling,22,26
DA Warner,Umpire's call,Batting,1,11
DA Warner,Upheld,Batting,3,11
DA Warner,Upheld,Bowling,4,26
DAJ Bracewell,Struck down,Batting,2,6
DAJ Bracewell,Struck down,Bowling,5,5
