"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"    ZCTA5 13208","24,292","15,736","4,696","667","2,574","22","597"
"ZCTA5 13209","","","","","","",""
"    ZCTA5 13209","13,535","12,721","295","252","125","12","130"
"ZCTA5 13210","","","","","","",""
"    ZCTA5 13210","28,717","18,194","6,136","326","3,289","53","719"
"ZCTA5 13212","","","","","","",""
"    ZCTA5 13212","20,765","19,314","707","251","317","15","161"
"ZCTA5 13214","","","","","","",""
"    ZCTA5 13214","9,049","7,269","1,177","76","396","9","122"
"ZCTA5 13215","","","","","","",""
"    ZCTA5 13215","15,458","14,326","599","169","259","11","94"
"ZCTA5 13219","","","","","","",""
"    ZCTA5 13219","15,586","14,768","376","161","187","12","82"
"ZCTA5 13224","","","","","","",""
"    ZCTA5 13224","9,273","4,876","3,684","147","311","17","238"
"ZCTA5 13304","","","","","","",""
"    ZCTA5 13304","1,698","1,653","14","9","21","1","0"
"ZCTA5 13309","","","","","","",""
"    ZCTA5 13309","5,923","5,846","24","20","19","4","10"
"ZCTA5 13316","","","","","","",""
"    ZCTA5 13316","6,503","6,375","61","34","19","0","14"
"ZCTA5 13317","","","","","","",""
"    ZCTA5 13317","3,833","3,670","76","31","24","3","29"
"ZCTA5 13320","","","","","","",""
"    ZCTA5 13320","2,038","1,990","18","13","11","0","6"
"ZCTA5 13322","","","","","","",""
"    ZCTA5 13322","1,079","1,060","10","0","5","0","4"
"ZCTA5 13323","","","","","","",""
"    ZCTA5 13323","11,480","10,791","189","55","358","4","83"
"ZCTA5 13326","","","","","","",""
"    ZCTA5 13326","5,629","5,407","47","36","123","3","13"
"ZCTA5 13327","","","","","","",""
"    ZCTA5 13327","2,077","2,036","16","14","7","1","3"
"ZCTA5 13329","","","","","","",""
"    ZCTA5 13329","3,920","3,806","34","27","27","0","26"
"ZCTA5 13332","","","","","","",""
"    ZCTA5 13332","2,485","2,430","27","18","5","0","5"
"ZCTA5 13337","","","","","","",""
"    ZCTA5 13337","807","770","13","8","14","0","2"
"ZCTA5 13339","","","","","","",""
"    ZCTA5 13339","7,020","6,836","63","41","45","7","28"
"ZCTA5 13346","","","","","","",""
"    ZCTA5 13346","6,889","6,194","277","25","320","4","69"
"ZCTA5 13348","","","","","","",""
"    ZCTA5 13348","1,500","1,441","12","18","15","2","12"
"ZCTA5 13350","","","","","","",""
"    ZCTA5 13350","10,237","9,527","436","64","111","9","90"
"ZCTA5 13354","","","","","","",""
"    ZCTA5 13354","3,378","3,300","23","20","19","7","9"
"ZCTA5 13357","","","","","","",""
"    ZCTA5 13357","11,270","10,809","220","85","91","1","64"
"ZCTA5 13363","","","","","","",""
"    ZCTA5 13363","2,349","2,290","26","15","10","7","1"
"ZCTA5 13365","","","","","","",""
"    ZCTA5 13365","9,010","8,780","90","42","58","9","31"
"ZCTA5 13403","","","","","","",""
"    ZCTA5 13403","7,450","5,582","1,563","62","64","2","177"
"ZCTA5 13408","","","","","","",""
"    ZCTA5 13408","4,366","3,599","580","49","55","4","79"
"ZCTA5 13413","","","","","","",""
"    ZCTA5 13413","16,365","15,232","302","34","675","18","104"
"ZCTA5 13417","","","","","","",""
"    ZCTA5 13417","3,342","3,193","67","14","55","1","12"
"ZCTA5 13421","","","","","","",""
"    ZCTA5 13421","14,366","13,548","232","372","144","9","61"
"ZCTA5 13425","","","","","","",""
"    ZCTA5 13425","1,992","1,950","13","10","8","0","11"
"ZCTA5 13428","","","","","","",""
"    ZCTA5 13428","1,648","1,613","9","10","11","0","5"
"ZCTA5 13438","","","","","","",""
"    ZCTA5 13438","3,821","3,761","26","16","14","4","0"
"ZCTA5 13440","","","","","","",""
"    ZCTA5 13440","44,053","39,374","3,069","357","603","42","608"
"ZCTA5 13450","","","","","","",""
"    ZCTA5 13450","105","104","1","0","0","0","0"
"ZCTA5 13452","","","","","","",""
"    ZCTA5 13452","4,674","4,570","44","31","12","1","16"
"ZCTA5 13456","","","","","","",""
"    ZCTA5 13456","4,194","4,120","29","8","18","2","17"
"ZCTA5 13459","","","","","","",""
"    ZCTA5 13459","2,248","2,158","29","17","12","4","28"
"ZCTA5 13460","","","","","","",""
"    ZCTA5 13460","4,482","4,365","35","33","23","0","26"
"ZCTA5 13461","","","","","","",""
"    ZCTA5 13461","3,102","3,038","11","14","35","0","4"
"ZCTA5 13464","","","","","","",""
"    ZCTA5 13464","1,196","1,167","4","13","7","0","5"
"ZCTA5 13468","","","","","","",""
"    ZCTA5 13468","457","449","2","5","1","0","0"
"ZCTA5 13469","","","","","","",""
"    ZCTA5 13469","856","838","2","6","7","0","3"
"ZCTA5 13476","","","","","","",""
"    ZCTA5 13476","3,076","2,967","41","42","20","1","5"
"ZCTA5 13480","","","","","","",""
"    ZCTA5 13480","3,587","3,491","35","25","17","13","6"
"ZCTA5 13486","","","","","","",""
"    ZCTA5 13486","818","807","6","1","4","0","0"
"ZCTA5 13491","","","","","","",""
"    ZCTA5 13491","3,678","3,596","17","19","26","4","16"
"ZCTA5 13492","","","","","","",""
"    ZCTA5 13492","11,693","11,331","159","44","107","3","49"
"ZCTA5 13493","","","","","","",""
"    ZCTA5 13493","2,103","2,029","22","27","4","1","20"
"ZCTA5 13501","","","","","","",""
"    ZCTA5 13501","40,051","26,427","7,092","323","4,191","81","1,937"
"ZCTA5 13502","","","","","","",""
"    ZCTA5 13502","34,494","27,914","4,180","286","962","58","1,094"
"ZCTA5 13601","","","","","","",""
"    ZCTA5 13601","39,458","34,458","2,863","492","896","124","625"
"ZCTA5 13603","","","","","","",""
"    ZCTA5 13603","10,447","7,564","1,545","245","400","188","505"
"ZCTA5 13605","","","","","","",""
"    ZCTA5 13605","4,844","4,715","40","42","23","8","16"
"ZCTA5 13607","","","","","","",""
"    ZCTA5 13607","1,840","1,785","19","18","9","1","8"
"ZCTA5 13612","","","","","","",""
"    ZCTA5 13612","2,930","2,678","125","28","73","4","22"
"ZCTA5 13616","","","","","","",""
"    ZCTA5 13616","1,960","1,570","220","23","51","13","83"
"ZCTA5 13617","","","","","","",""
"    ZCTA5 13617","11,507","10,578","484","119","192","16","118"
"ZCTA5 13618","","","","","","",""
"    ZCTA5 13618","1,733","1,680","14","9","4","5","21"
"ZCTA5 13619","","","","","","",""
"    ZCTA5 13619","11,142","10,295","388","127","187","20","125"
"ZCTA5 13620","","","","","","",""
"    ZCTA5 13620","2,222","2,164","28","12","8","2","8"
"ZCTA5 13624","","","","","","",""
"    ZCTA5 13624","5,493","4,772","530","25","23","1","142"
"ZCTA5 13625","","","","","","",""
"    ZCTA5 13625","1,877","1,842","6","14","12","0","3"
"ZCTA5 13630","","","","","","",""
"    ZCTA5 13630","1,538","1,509","8","16","3","0","2"
"ZCTA5 13634","","","","","","",""
"    ZCTA5 13634","4,041","3,903","59","32","30","11","6"
"ZCTA5 13636","","","","","","",""
"    ZCTA5 13636","283","275","3","0","5","0","0"
"ZCTA5 13640","","","","","","",""
"    ZCTA5 13640","275","269","3","2","0","0","1"
"ZCTA5 13646","","","","","","",""
"    ZCTA5 13646","2,240","2,167","15","31","15","2","10"
"ZCTA5 13654","","","","","","",""
"    ZCTA5 13654","2,470","2,433","16","14","2","1","4"
"ZCTA5 13655","","","","","","",""
"    ZCTA5 13655","3,611","233","10","3,343","10","3","12"
"ZCTA5 13660","","","","","","",""
"    ZCTA5 13660","1,922","1,862","22","24","6","4","4"
"ZCTA5 13661","","","","","","",""
"    ZCTA5 13661","1,671","1,628","11","18","6","0","8"
"ZCTA5 13662","","","","","","",""
"    ZCTA5 13662","16,865","15,812","159","645","176","12","61"
"ZCTA5 13667","","","","","","",""
"    ZCTA5 13667","3,241","3,133","32","60","10","2","4"
"ZCTA5 13669","","","","","","",""
"    ZCTA5 13669","16,641","15,199","880","213","129","9","211"
"ZCTA5 13672","","","","","","",""
"    ZCTA5 13672","604","596","1","5","1","1","0"
