"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 13142","","","","","","",""
"    ZCTA5 13142","6,506","6,364","36","51","27","0","28"
"ZCTA5 13145","","","","","","",""
"    ZCTA5 13145","1,944","1,889","12","23","14","0","6"
"ZCTA5 13148","","","","","","",""
"    ZCTA5 13148","10,899","10,376","191","95","166","4","67"
"ZCTA5 13152","","","","","","",""
"    ZCTA5 13152","7,992","7,841","22","35","71","8","15"
"ZCTA5 13156","","","","","","",""
"    ZCTA5 13156","2,018","1,977","8","24","8","0","1"
"ZCTA5 13159","","","","","","",""
"    ZCTA5 13159","5,242","5,041","73","45","58","1","24"
"ZCTA5 13160","","","","","","",""
"    ZCTA5 13160","2,049","1,946","30","6","19","3","45"
"ZCTA5 13164","","","","","","",""
"    ZCTA5 13164","2,362","2,264","36","27","18","0","17"
"ZCTA5 13165","","","","","","",""
"    ZCTA5 13165","10,910","10,542","191","75","51","0","51"
"ZCTA5 13166","","","","","","",""
"    ZCTA5 13166","5,687","5,531","43","40","52","3","18"
"ZCTA5 13202","","","","","","",""
"    ZCTA5 13202","5,717","1,786","3,249","126","361","23","172"
"ZCTA5 13203","","","","","","",""
"    ZCTA5 13203","17,083","10,578","4,077","453","1,463","40","472"
"ZCTA5 13204","","","","","","",""
"    ZCTA5 13204","21,438","12,514","6,255","708","209","49","1,703"
"ZCTA5 13205","","","","","","",""
"    ZCTA5 13205","20,005","7,301","11,271","491","530","25","387"
"ZCTA5 13206","","","","","","",""
"    ZCTA5 13206","17,287","13,439","2,759","368","385","20","316"
"ZCTA5 13207","","","","","","",""
"    ZCTA5 13207","14,790","7,634","6,120","390","173","28","445"
"ZCTA5 13208","","","","","","",""
