"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 12154","","","","","","",""
"    ZCTA5 12154","2,844","2,786","16","25","11","2","4"
"ZCTA5 12156","","","","","","",""
"    ZCTA5 12156","884","843","10","19","11","0","1"
"ZCTA5 12157","","","","","","",""
"    ZCTA5 12157","4,097","4,017","32","14","18","1","15"
"ZCTA5 12158","","","","","","",""
"    ZCTA5 12158","6,467","5,920","246","63","192","7","39"
"ZCTA5 12159","","","","","","",""
"    ZCTA5 12159","8,021","7,136","184","37","580","11","73"
"ZCTA5 12160","","","","","","",""
"    ZCTA5 12160","961","932","9","16","2","0","2"
"ZCTA5 12164","","","","","","",""
"    ZCTA5 12164","365","351","3","2","6","3","0"
"ZCTA5 12166","","","","","","",""
"    ZCTA5 12166","1,383","1,340","11","8","12","2","10"
"ZCTA5 12167","","","","","","",""
"    ZCTA5 12167","2,478","2,392","29","8","21","4","24"
"ZCTA5 12168","","","","","","",""
"    ZCTA5 12168","1,976","1,897","34","10","18","2","15"
"ZCTA5 12170","","","","","","",""
"    ZCTA5 12170","5,034","4,860","65","48","33","6","22"
"ZCTA5 12173","","","","","","",""
"    ZCTA5 12173","1,773","1,684","28","12","9","1","39"
"ZCTA5 12175","","","","","","",""
"    ZCTA5 12175","800","712","66","4","8","0","10"
"ZCTA5 12180","","","","","","",""
"    ZCTA5 12180","55,542","42,970","8,363","483","2,231","60","1,435"
"ZCTA5 12182","","","","","","",""
"    ZCTA5 12182","15,282","12,935","1,759","142","125","12","309"
"ZCTA5 12183","","","","","","",""
"    ZCTA5 12183","2,696","2,405","179","31","56","1","24"
"ZCTA5 12184","","","","","","",""
"    ZCTA5 12184","7,230","6,892","133","39","82","0","84"
"ZCTA5 12186","","","","","","",""
"    ZCTA5 12186","6,349","6,109","55","40","135","2","8"
"ZCTA5 12187","","","","","","",""
"    ZCTA5 12187","703","682","4","5","5","1","6"
"ZCTA5 12188","","","","","","",""
"    ZCTA5 12188","11,207","10,590","218","53","303","2","41"
"ZCTA5 12189","","","","","","",""
"    ZCTA5 12189","18,055","15,011","1,621","128","981","12","302"
"ZCTA5 12190","","","","","","",""
"    ZCTA5 12190","690","655","13","10","11","0","1"
"ZCTA5 12192","","","","","","",""
"    ZCTA5 12192","1,743","1,681","27","12","10","1","12"
"ZCTA5 12193","","","","","","",""
"    ZCTA5 12193","2,041","2,003","8","18","10","0","2"
"ZCTA5 12196","","","","","","",""
"    ZCTA5 12196","3,074","2,978","28","21","36","2","9"
"ZCTA5 12197","","","","","","",""
"    ZCTA5 12197","2,280","2,184","27","28","9","6","26"
"ZCTA5 12198","","","","","","",""
"    ZCTA5 12198","8,021","7,692","125","37","128","5","34"
"ZCTA5 12202","","","","","","",""
"    ZCTA5 12202","10,167","3,179","5,990","131","302","8","557"
"ZCTA5 12203","","","","","","",""
"    ZCTA5 12203","30,736","25,131","2,775","180","2,051","61","538"
"ZCTA5 12204","","","","","","",""
"    ZCTA5 12204","7,602","4,328","2,280","85","722","6","181"
"ZCTA5 12205","","","","","","",""
"    ZCTA5 12205","27,632","23,570","1,927","141","1,611","29","354"
"ZCTA5 12206","","","","","","",""
"    ZCTA5 12206","17,276","6,291","8,803","294","896","32","960"
"ZCTA5 12207","","","","","","",""
"    ZCTA5 12207","2,025","511","1,256","28","94","9","127"
"ZCTA5 12208","","","","","","",""
"    ZCTA5 12208","21,337","16,275","3,081","158","1,403","21","399"
"ZCTA5 12209","","","","","","",""
"    ZCTA5 12209","10,612","6,021","3,283","151","651","11","495"
"ZCTA5 12210","","","","","","",""
"    ZCTA5 12210","10,587","4,571","5,191","127","301","25","372"
"ZCTA5 12211","","","","","","",""
"    ZCTA5 12211","11,491","10,285","409","35","692","6","64"
"ZCTA5 12302","","","","","","",""
"    ZCTA5 12302","27,957","26,717","433","102","520","17","168"
"ZCTA5 12303","","","","","","",""
"    ZCTA5 12303","31,072","24,556","3,102","412","1,410","80","1,512"
"ZCTA5 12304","","","","","","",""
"    ZCTA5 12304","23,102","15,170","4,371","369","1,327","100","1,765"
"ZCTA5 12305","","","","","","",""
"    ZCTA5 12305","5,926","4,115","1,371","88","149","11","192"
"ZCTA5 12306","","","","","","",""
"    ZCTA5 12306","26,237","23,987","1,087","207","433","40","483"
"ZCTA5 12307","","","","","","",""
"    ZCTA5 12307","8,464","2,743","3,714","238","425","91","1,253"
"ZCTA5 12308","","","","","","",""
"    ZCTA5 12308","16,390","10,955","3,257","252","789","30","1,107"
"ZCTA5 12309","","","","","","",""
"    ZCTA5 12309","29,965","25,864","1,169","125","2,364","33","410"
"ZCTA5 12401","","","","","","",""
"    ZCTA5 12401","36,594","28,886","4,805","467","795","31","1,610"
"ZCTA5 12404","","","","","","",""
"    ZCTA5 12404","3,469","3,225","111","42","36","2","53"
"ZCTA5 12405","","","","","","",""
"    ZCTA5 12405","790","751","18","2","4","6","9"
"ZCTA5 12410","","","","","","",""
"    ZCTA5 12410","399","372","5","3","11","0","8"
"ZCTA5 12412","","","","","","",""
"    ZCTA5 12412","697","621","14","11","24","0","27"
"ZCTA5 12414","","","","","","",""
"    ZCTA5 12414","10,885","9,448","949","122","135","9","222"
"ZCTA5 12418","","","","","","",""
"    ZCTA5 12418","546","533","1","6","0","3","3"
"ZCTA5 12419","","","","","","",""
"    ZCTA5 12419","745","708","10","13","10","1","3"
"ZCTA5 12424","","","","","","",""
"    ZCTA5 12424","252","245","0","0","5","0","2"
"ZCTA5 12428","","","","","","",""
"    ZCTA5 12428","7,011","5,101","1,018","165","176","7","544"
"ZCTA5 12433","","","","","","",""
"    ZCTA5 12433","492","468","5","1","11","0","7"
"ZCTA5 12435","","","","","","",""
"    ZCTA5 12435","326","306","13","7","0","0","0"
"ZCTA5 12440","","","","","","",""
"    ZCTA5 12440","2,033","1,899","58","19","34","2","21"
"ZCTA5 12442","","","","","","",""
"    ZCTA5 12442","976","925","18","2","17","0","14"
"ZCTA5 12443","","","","","","",""
"    ZCTA5 12443","3,881","3,661","82","16","90","5","27"
"ZCTA5 12446","","","","","","",""
"    ZCTA5 12446","5,206","4,802","155","77","67","6","99"
"ZCTA5 12449","","","","","","",""
"    ZCTA5 12449","3,479","3,143","129","33","107","6","61"
"ZCTA5 12451","","","","","","",""
"    ZCTA5 12451","1,709","1,624","31","18","24","0","12"
"ZCTA5 12455","","","","","","",""
"    ZCTA5 12455","2,017","1,871","24","26","51","2","43"
"ZCTA5 12457","","","","","","",""
"    ZCTA5 12457","790","729","15","10","17","0","19"
"ZCTA5 12458","","","","","","",""
"    ZCTA5 12458","3,307","2,309","713","41","27","3","214"
"ZCTA5 12461","","","","","","",""
"    ZCTA5 12461","1,671","1,587","23","16","32","4","9"
"ZCTA5 12463","","","","","","",""
"    ZCTA5 12463","1,503","1,441","19","14","23","0","6"
"ZCTA5 12464","","","","","","",""
"    ZCTA5 12464","1,053","975","22","21","19","0","16"
"ZCTA5 12466","","","","","","",""
"    ZCTA5 12466","2,538","2,306","111","25","47","0","49"
"ZCTA5 12472","","","","","","",""
"    ZCTA5 12472","1,604","1,473","51","15","29","0","36"
"ZCTA5 12473","","","","","","",""
"    ZCTA5 12473","868","842","7","3","7","0","9"
"ZCTA5 12474","","","","","","",""
"    ZCTA5 12474","1,172","1,148","6","9","4","0","5"
"ZCTA5 12477","","","","","","",""
"    ZCTA5 12477","19,226","17,991","507","189","308","12","219"
"ZCTA5 12481","","","","","","",""
"    ZCTA5 12481","1,398","1,293","46","14","26","0","19"
"ZCTA5 12484","","","","","","",""
"    ZCTA5 12484","2,804","2,625","64","30","61","6","18"
"ZCTA5 12486","","","","","","",""
"    ZCTA5 12486","1,556","1,494","28","5","21","0","8"
"ZCTA5 12487","","","","","","",""
"    ZCTA5 12487","3,343","2,988","207","39","59","3","47"
