"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 12117","","","","","","",""
"    ZCTA5 12117","3,286","3,218","25","18","16","1","8"
"ZCTA5 12118","","","","","","",""
"    ZCTA5 12118","14,110","13,528","178","71","223","17","93"
"ZCTA5 12120","","","","","","",""
"    ZCTA5 12120","618","604","7","2","0","0","5"
"ZCTA5 12121","","","","","","",""
"    ZCTA5 12121","1,921","1,873","22","3","21","0","2"
"ZCTA5 12122","","","","","","",""
"    ZCTA5 12122","4,656","4,504","37","48","40","2","25"
"ZCTA5 12123","","","","","","",""
"    ZCTA5 12123","5,218","5,021","82","51","47","4","13"
"ZCTA5 12130","","","","","","",""
"    ZCTA5 12130","1,009","969","16","8","11","0","5"
"ZCTA5 12131","","","","","","",""
"    ZCTA5 12131","119","115","1","3","0","0","0"
"ZCTA5 12134","","","","","","",""
"    ZCTA5 12134","3,561","3,472","18","43","12","5","11"
"ZCTA5 12137","","","","","","",""
"    ZCTA5 12137","1,703","1,641","12","12","22","3","13"
"ZCTA5 12140","","","","","","",""
"    ZCTA5 12140","1,720","1,675","9","9","15","0","12"
"ZCTA5 12143","","","","","","",""
"    ZCTA5 12143","5,237","4,839","229","29","54","4","82"
"ZCTA5 12144","","","","","","",""
"    ZCTA5 12144","21,200","18,311","1,485","198","996","9","201"
"ZCTA5 12148","","","","","","",""
"    ZCTA5 12148","4,653","4,220","87","8","281","2","55"
"ZCTA5 12149","","","","","","",""
"    ZCTA5 12149","2,511","2,431","34","14","17","4","11"
"ZCTA5 12150","","","","","","",""
"    ZCTA5 12150","927","895","17","6","3","0","6"
"ZCTA5 12151","","","","","","",""
"    ZCTA5 12151","720","679","10","8","13","0","10"
