"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 14571","","","","","","",""
"    ZCTA5 14571","1,213","1,134","36","29","2","2","10"
"ZCTA5 14572","","","","","","",""
"    ZCTA5 14572","5,133","4,991","58","33","31","1","19"
"ZCTA5 14580","","","","","","",""
"    ZCTA5 14580","51,385","47,554","1,395","254","1,707","42","433"
"ZCTA5 14585","","","","","","",""
"    ZCTA5 14585","120","120","0","0","0","0","0"
"ZCTA5 14586","","","","","","",""
"    ZCTA5 14586","10,597","8,187","1,144","60","1,077","12","117"
"ZCTA5 14589","","","","","","",""
"    ZCTA5 14589","8,001","7,313","371","77","50","2","188"
"ZCTA5 14590","","","","","","",""
"    ZCTA5 14590","5,518","5,199","144","29","21","2","123"
"ZCTA5 14591","","","","","","",""
"    ZCTA5 14591","1,776","1,710","24","9","8","3","22"
"ZCTA5 14604","","","","","","",""
"    ZCTA5 14604","1,796","956","563","30","137","5","105"
"ZCTA5 14605","","","","","","",""
"    ZCTA5 14605","13,272","3,061","7,238","175","215","48","2,535"
"ZCTA5 14606","","","","","","",""
"    ZCTA5 14606","29,383","19,109","7,151","335","1,473","44","1,271"
"ZCTA5 14607","","","","","","",""
"    ZCTA5 14607","16,680","13,306","2,266","172","601","22","313"
"ZCTA5 14608","","","","","","",""
"    ZCTA5 14608","12,913","3,080","8,367","261","554","51","600"
"ZCTA5 14609","","","","","","",""
"    ZCTA5 14609","44,496","24,678","15,605","504","666","60","2,983"
"ZCTA5 14610","","","","","","",""
"    ZCTA5 14610","14,577","12,691","1,157","95","426","18","190"
"ZCTA5 14611","","","","","","",""
"    ZCTA5 14611","18,261","4,062","12,774","351","267","37","770"
"ZCTA5 14612","","","","","","",""
