"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"    ZCTA5 14612","35,226","31,646","2,114","261","616","28","561"
"ZCTA5 14613","","","","","","",""
"    ZCTA5 14613","15,665","6,293","6,880","249","896","41","1,306"
"ZCTA5 14614","","","","","","",""
"    ZCTA5 14614","1,225","461","756","0","7","0","1"
"ZCTA5 14615","","","","","","",""
"    ZCTA5 14615","16,841","11,156","4,188","175","548","13","761"
"ZCTA5 14616","","","","","","",""
"    ZCTA5 14616","29,232","25,256","2,611","249","486","22","608"
"ZCTA5 14617","","","","","","",""
"    ZCTA5 14617","23,207","21,312","1,064","110","390","26","305"
"ZCTA5 14618","","","","","","",""
"    ZCTA5 14618","23,514","20,172","951","135","2,055","14","187"
"ZCTA5 14619","","","","","","",""
"    ZCTA5 14619","15,422","3,509","11,267","199","200","18","229"
"ZCTA5 14620","","","","","","",""
"    ZCTA5 14620","26,078","18,574","4,296","292","2,366","44","506"
"ZCTA5 14621","","","","","","",""
"    ZCTA5 14621","35,727","11,510","17,003","588","904","90","5,632"
"ZCTA5 14622","","","","","","",""
"    ZCTA5 14622","12,358","11,129","763","87","176","6","197"
"ZCTA5 14623","","","","","","",""
"    ZCTA5 14623","27,939","20,773","2,674","217","3,701","31","543"
"ZCTA5 14624","","","","","","",""
"    ZCTA5 14624","36,933","31,981","3,448","229","863","37","375"
"ZCTA5 14625","","","","","","",""
"    ZCTA5 14625","10,548","9,927","219","59","274","13","56"
"ZCTA5 14626","","","","","","",""
"    ZCTA5 14626","30,645","27,036","2,026","164","829","13","577"
"ZCTA5 14701","","","","","","",""
"    ZCTA5 14701","42,161","38,148","2,208","529","307","43","926"
"ZCTA5 14706","","","","","","",""
"    ZCTA5 14706","6,438","6,173","72","61","99","1","32"
"ZCTA5 14710","","","","","","",""
"    ZCTA5 14710","3,556","3,515","12","10","11","1","7"
"ZCTA5 14711","","","","","","",""
"    ZCTA5 14711","1,795","1,745","10","19","14","1","6"
"ZCTA5 14712","","","","","","",""
"    ZCTA5 14712","3,364","3,312","21","7","20","0","4"
"ZCTA5 14718","","","","","","",""
"    ZCTA5 14718","2,198","1,999","154","15","15","1","14"
"ZCTA5 14727","","","","","","",""
"    ZCTA5 14727","5,503","5,352","52","20","31","1","47"
"ZCTA5 14728","","","","","","",""
"    ZCTA5 14728","1,045","1,021","9","7","1","0","7"
"ZCTA5 14729","","","","","","",""
"    ZCTA5 14729","956","935","6","10","3","0","2"
"ZCTA5 14731","","","","","","",""
"    ZCTA5 14731","1,593","1,558","7","13","6","4","5"
"ZCTA5 14733","","","","","","",""
"    ZCTA5 14733","3,876","3,774","48","25","9","0","20"
"ZCTA5 14737","","","","","","",""
"    ZCTA5 14737","4,305","4,181","26","43","32","0","23"
"ZCTA5 14738","","","","","","",""
"    ZCTA5 14738","3,691","3,598","31","40","5","1","16"
"ZCTA5 14744","","","","","","",""
"    ZCTA5 14744","2,127","1,960","47","11","94","1","14"
"ZCTA5 14747","","","","","","",""
"    ZCTA5 14747","2,313","2,265","1","29","11","1","6"
"ZCTA5 14750","","","","","","",""
"    ZCTA5 14750","4,484","4,307","51","29","76","1","20"
"ZCTA5 14757","","","","","","",""
"    ZCTA5 14757","3,518","3,368","108","17","9","4","12"
"ZCTA5 14760","","","","","","",""
"    ZCTA5 14760","19,278","17,720","897","250","270","9","132"
"ZCTA5 14772","","","","","","",""
"    ZCTA5 14772","4,327","4,164","48","70","13","5","27"
"ZCTA5 14775","","","","","","",""
"    ZCTA5 14775","2,571","2,510","12","26","2","4","17"
"ZCTA5 14779","","","","","","",""
"    ZCTA5 14779","7,183","5,522","108","1,423","53","11","66"
"ZCTA5 14782","","","","","","",""
"    ZCTA5 14782","2,429","2,364","21","22","7","2","13"
"ZCTA5 14784","","","","","","",""
"    ZCTA5 14784","1,052","1,017","10","14","1","0","10"
"ZCTA5 14787","","","","","","",""
"    ZCTA5 14787","5,185","5,019","64","28","32","3","39"
"ZCTA5 14802","","","","","","",""
"    ZCTA5 14802","4,250","3,562","347","29","228","5","79"
"ZCTA5 14803","","","","","","",""
"    ZCTA5 14803","1,189","1,150","5","5","26","0","3"
"ZCTA5 14805","","","","","","",""
"    ZCTA5 14805","1,109","1,084","8","12","2","0","3"
"ZCTA5 14806","","","","","","",""
"    ZCTA5 14806","2,294","2,244","18","7","8","3","14"
"ZCTA5 14807","","","","","","",""
"    ZCTA5 14807","3,102","3,045","14","11","12","2","18"
"ZCTA5 14809","","","","","","",""
"    ZCTA5 14809","2,588","2,503","23","30","10","2","20"
"ZCTA5 14810","","","","","","",""
"    ZCTA5 14810","12,514","11,862","431","90","60","5","66"
"ZCTA5 14812","","","","","","",""
"    ZCTA5 14812","3,523","3,378","69","42","26","0","8"
"ZCTA5 14813","","","","","","",""
"    ZCTA5 14813","2,560","2,444","57","31","11","0","17"
"ZCTA5 14814","","","","","","",""
"    ZCTA5 14814","1,955","1,840","26","19","65","1","4"
"ZCTA5 14817","","","","","","",""
"    ZCTA5 14817","2,457","2,284","67","41","37","9","19"
"ZCTA5 14818","","","","","","",""
"    ZCTA5 14818","1,771","1,723","24","12","7","3","2"
"ZCTA5 14821","","","","","","",""
"    ZCTA5 14821","3,356","3,290","27","27","5","2","5"
"ZCTA5 14822","","","","","","",""
"    ZCTA5 14822","1,180","1,161","3","10","1","0","5"
"ZCTA5 14830","","","","","","",""
"    ZCTA5 14830","20,250","18,855","724","171","378","13","109"
"ZCTA5 14837","","","","","","",""
"    ZCTA5 14837","5,706","5,541","69","37","24","8","27"
"ZCTA5 14838","","","","","","",""
"    ZCTA5 14838","1,987","1,927","21","18","10","0","11"
"ZCTA5 14840","","","","","","",""
"    ZCTA5 14840","3,079","3,023","21","12","12","0","11"
"ZCTA5 14841","","","","","","",""
"    ZCTA5 14841","930","905","5","12","6","1","1"
"ZCTA5 14843","","","","","","",""
"    ZCTA5 14843","13,294","12,652","347","89","102","17","87"
"ZCTA5 14845","","","","","","",""
"    ZCTA5 14845","20,739","19,430","456","120","648","10","75"
"ZCTA5 14847","","","","","","",""
"    ZCTA5 14847","2,428","2,352","27","22","25","1","1"
"ZCTA5 14850","","","","","","",""
"    ZCTA5 14850","66,436","51,591","4,082","698","8,754","116","1,195"
"ZCTA5 14860","","","","","","",""
"    ZCTA5 14860","1,048","1,018","6","7","10","0","7"
"ZCTA5 14861","","","","","","",""
"    ZCTA5 14861","1,432","1,387","25","15","2","0","3"
"ZCTA5 14865","","","","","","",""
"    ZCTA5 14865","2,649","2,566","37","17","11","0","18"
"ZCTA5 14867","","","","","","",""
"    ZCTA5 14867","5,724","5,391","165","86","47","7","28"
"ZCTA5 14869","","","","","","",""
"    ZCTA5 14869","1,396","1,364","15","13","2","0","2"
"ZCTA5 14870","","","","","","",""
"    ZCTA5 14870","9,999","8,936","286","91","627","3","56"
"ZCTA5 14871","","","","","","",""
"    ZCTA5 14871","5,522","4,702","667","28","44","0","81"
"ZCTA5 14872","","","","","","",""
"    ZCTA5 14872","619","588","12","3","9","0","7"
"ZCTA5 14878","","","","","","",""
"    ZCTA5 14878","783","775","3","2","2","0","1"
"ZCTA5 14879","","","","","","",""
"    ZCTA5 14879","2,421","2,360","32","15","12","0","2"
"ZCTA5 14882","","","","","","",""
"    ZCTA5 14882","3,902","3,613","128","48","64","4","45"
"ZCTA5 14883","","","","","","",""
"    ZCTA5 14883","4,222","4,022","94","29","44","5","28"
"ZCTA5 14886","","","","","","",""
"    ZCTA5 14886","6,890","6,608","118","71","59","3","31"
"ZCTA5 14889","","","","","","",""
"    ZCTA5 14889","1,629","1,564","22","19","8","0","16"
"ZCTA5 14892","","","","","","",""
"    ZCTA5 14892","8,291","8,079","73","76","35","0","28"
"ZCTA5 14895","","","","","","",""
"    ZCTA5 14895","9,722","9,444","78","68","93","6","33"
"ZCTA5 14897","","","","","","",""
"    ZCTA5 14897","989","971","4","9","4","0","1"
