"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"    ZCTA5 13041","10,938","9,644","683","116","397","7","91"
"ZCTA5 13042","","","","","","",""
"    ZCTA5 13042","2,378","2,317","12","30","15","0","4"
"ZCTA5 13044","","","","","","",""
"    ZCTA5 13044","2,534","2,488","6","19","12","1","8"
"ZCTA5 13045","","","","","","",""
"    ZCTA5 13045","30,773","28,795","963","306","432","16","261"
"ZCTA5 13053","","","","","","",""
"    ZCTA5 13053","5,102","4,683","227","31","76","1","84"
"ZCTA5 13054","","","","","","",""
"    ZCTA5 13054","1,597","1,559","2","22","11","0","3"
"ZCTA5 13057","","","","","","",""
"    ZCTA5 13057","15,288","14,306","424","181","282","10","85"
"ZCTA5 13060","","","","","","",""
"    ZCTA5 13060","2,847","2,744","20","37","11","1","34"
"ZCTA5 13063","","","","","","",""
"    ZCTA5 13063","1,919","1,858","11","18","15","2","15"
"ZCTA5 13066","","","","","","",""
"    ZCTA5 13066","12,605","11,584","295","47","602","6","71"
"ZCTA5 13068","","","","","","",""
"    ZCTA5 13068","5,526","5,185","173","69","51","5","43"
"ZCTA5 13069","","","","","","",""
"    ZCTA5 13069","25,331","24,387","310","286","130","13","205"
"ZCTA5 13071","","","","","","",""
"    ZCTA5 13071","1,032","1,004","9","6","5","0","8"
"ZCTA5 13073","","","","","","",""
"    ZCTA5 13073","6,532","6,272","102","66","63","1","28"
"ZCTA5 13074","","","","","","",""
"    ZCTA5 13074","4,541","4,423","37","45","13","1","22"
"ZCTA5 13076","","","","","","",""
"    ZCTA5 13076","2,419","2,367","13","21","11","0","7"
"ZCTA5 13077","","","","","","",""
"    ZCTA5 13077","6,826","6,588","62","43","73","16","44"
"ZCTA5 13078","","","","","","",""
"    ZCTA5 13078","10,041","8,711","469","137","640","9","75"
"ZCTA5 13080","","","","","","",""
"    ZCTA5 13080","3,661","3,568","27","28","24","0","14"
"ZCTA5 13082","","","","","","",""
"    ZCTA5 13082","4,925","4,802","32","51","16","10","14"
"ZCTA5 13084","","","","","","",""
"    ZCTA5 13084","4,500","4,204","52","167","52","5","20"
"ZCTA5 13088","","","","","","",""
"    ZCTA5 13088","22,641","20,253","1,136","219","842","22","169"
"ZCTA5 13090","","","","","","",""
"    ZCTA5 13090","30,914","27,570","1,809","278","967","22","268"
"ZCTA5 13092","","","","","","",""
"    ZCTA5 13092","2,633","2,531","28","21","29","1","23"
"ZCTA5 13104","","","","","","",""
"    ZCTA5 13104","15,820","14,400","315","76","951","16","62"
"ZCTA5 13108","","","","","","",""
"    ZCTA5 13108","6,246","6,089","40","52","49","5","11"
"ZCTA5 13112","","","","","","",""
"    ZCTA5 13112","1,994","1,947","19","15","2","1","10"
"ZCTA5 13114","","","","","","",""
"    ZCTA5 13114","6,435","6,255","48","74","23","4","31"
"ZCTA5 13116","","","","","","",""
"    ZCTA5 13116","3,496","3,329","42","37","74","4","10"
"ZCTA5 13118","","","","","","",""
"    ZCTA5 13118","6,420","5,661","604","48","22","3","82"
"ZCTA5 13120","","","","","","",""
"    ZCTA5 13120","2,393","1,581","174","602","16","4","16"
"ZCTA5 13126","","","","","","",""
"    ZCTA5 13126","37,735","35,722","756","237","558","35","427"
"ZCTA5 13132","","","","","","",""
"    ZCTA5 13132","4,293","4,158","42","60","23","1","9"
"ZCTA5 13135","","","","","","",""
"    ZCTA5 13135","6,730","6,468","58","105","60","4","35"
"ZCTA5 13140","","","","","","",""
"    ZCTA5 13140","4,555","4,422","53","35","9","3","33"
"ZCTA5 13141","","","","","","",""
"    ZCTA5 13141","597","590","1","4","2","0","0"
