"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 10001","","","","","","",""
"    ZCTA5 10001","21,963","14,351","2,227","191","3,843","36","1,315"
"ZCTA5 10002","","","","","","",""
"    ZCTA5 10002","84,421","27,453","7,851","876","38,893","172","9,176"
"ZCTA5 10003","","","","","","",""
"    ZCTA5 10003","57,973","44,362","2,430","329","9,180","103","1,569"
"ZCTA5 10004","","","","","","",""
"    ZCTA5 10004","3,209","2,264","131","15","732","4","63"
"ZCTA5 10005","","","","","","",""
"    ZCTA5 10005","7,391","5,210","319","32","1,616","15","199"
"ZCTA5 10006","","","","","","",""
"    ZCTA5 10006","3,115","2,165","167","20","648","6","109"
"ZCTA5 10007","","","","","","",""
"    ZCTA5 10007","7,265","5,508","527","25","1,069","14","122"
"ZCTA5 10009","","","","","","",""
"    ZCTA5 10009","64,225","40,055","7,037","802","9,304","152","6,875"
"ZCTA5 10010","","","","","","",""
"    ZCTA5 10010","32,940","24,326","2,212","194","5,154","59","995"
"ZCTA5 10011","","","","","","",""
"    ZCTA5 10011","52,723","42,257","2,854","383","5,295","72","1,862"
"ZCTA5 10012","","","","","","",""
"    ZCTA5 10012","24,894","18,870","802","128","4,394","37","663"
"ZCTA5 10013","","","","","","",""
"    ZCTA5 10013","28,466","16,023","1,166","121","10,519","38","599"
"ZCTA5 10014","","","","","","",""
"    ZCTA5 10014","32,915","28,880","906","205","2,379","39","506"
"ZCTA5 10016","","","","","","",""
"    ZCTA5 10016","55,599","41,546","2,526","240","9,793","87","1,407"
"ZCTA5 10017","","","","","","",""
"    ZCTA5 10017","16,980","12,817","641","40","3,200","15","267"
"ZCTA5 10018","","","","","","",""
