"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"    ZCTA5 10018","5,414","3,095","462","58","1,418","10","371"
"ZCTA5 10019","","","","","","",""
"    ZCTA5 10019","44,464","30,902","2,792","321","7,864","83","2,502"
"ZCTA5 10021","","","","","","",""
"    ZCTA5 10021","44,456","39,069","977","137","3,665","45","563"
"ZCTA5 10022","","","","","","",""
"    ZCTA5 10022","32,471","28,038","701","76","3,202","43","411"
"ZCTA5 10023","","","","","","",""
"    ZCTA5 10023","62,533","50,981","3,232","307","6,291","61","1,661"
"ZCTA5 10024","","","","","","",""
"    ZCTA5 10024","61,045","50,520","3,902","381","4,044","91","2,107"
"ZCTA5 10025","","","","","","",""
"    ZCTA5 10025","99,240","64,564","15,375","1,191","9,190","192","8,728"
"ZCTA5 10026","","","","","","",""
"    ZCTA5 10026","35,959","8,433","21,136","726","1,808","122","3,734"
"ZCTA5 10027","","","","","","",""
"    ZCTA5 10027","62,934","20,489","28,027","1,052","5,329","174","7,863"
"ZCTA5 10028","","","","","","",""
"    ZCTA5 10028","46,127","40,406","978","147","3,911","45","640"
"ZCTA5 10029","","","","","","",""
"    ZCTA5 10029","80,185","27,135","25,735","1,569","5,868","250","19,628"
"ZCTA5 10031","","","","","","",""
"    ZCTA5 10031","60,623","16,452","20,766","1,443","1,834","189","19,939"
"ZCTA5 10032","","","","","","",""
"    ZCTA5 10032","62,077","18,934","14,628","1,668","2,493","276","24,078"
"ZCTA5 10033","","","","","","",""
"    ZCTA5 10033","58,177","25,533","6,802","1,290","1,708","263","22,581"
"ZCTA5 10034","","","","","","",""
"    ZCTA5 10034","42,099","16,450","6,216","1,073","1,244","225","16,891"
"ZCTA5 10035","","","","","","",""
"    ZCTA5 10035","35,929","9,634","15,821","824","1,250","89","8,311"
"ZCTA5 10036","","","","","","",""
"    ZCTA5 10036","25,693","16,441","2,631","265","4,559","62","1,735"
"ZCTA5 10037","","","","","","",""
"    ZCTA5 10037","18,202","1,813","13,986","322","406","26","1,649"
"ZCTA5 10038","","","","","","",""
"    ZCTA5 10038","21,069","11,363","1,893","167","6,394","41","1,211"
"ZCTA5 10039","","","","","","",""
"    ZCTA5 10039","25,619","3,120","17,806","430","577","45","3,641"
"ZCTA5 10044","","","","","","",""
"    ZCTA5 10044","12,267","6,346","2,764","119","2,331","74","633"
"ZCTA5 10065","","","","","","",""
"    ZCTA5 10065","32,922","28,300","692","94","3,274","27","535"
"ZCTA5 10069","","","","","","",""
"    ZCTA5 10069","5,356","3,876","213","13","1,153","8","93"
"ZCTA5 10128","","","","","","",""
"    ZCTA5 10128","62,231","49,936","3,394","316","6,656","75","1,854"
"ZCTA5 10280","","","","","","",""
"    ZCTA5 10280","8,160","5,712","310","55","1,923","17","143"
"ZCTA5 10282","","","","","","",""
"    ZCTA5 10282","4,965","3,914","144","8","775","9","115"
"ZCTA5 10301","","","","","","",""
"    ZCTA5 10301","41,585","22,800","10,718","587","3,043","69","4,368"
"ZCTA5 10302","","","","","","",""
"    ZCTA5 10302","20,129","10,068","4,431","290","998","59","4,283"
"ZCTA5 10303","","","","","","",""
"    ZCTA5 10303","27,665","9,687","10,559","461","2,319","53","4,586"
"ZCTA5 10304","","","","","","",""
"    ZCTA5 10304","43,741","21,078","12,938","554","4,323","98","4,750"
"ZCTA5 10305","","","","","","",""
"    ZCTA5 10305","42,884","32,647","2,180","277","4,941","81","2,758"
"ZCTA5 10306","","","","","","",""
"    ZCTA5 10306","57,035","50,068","1,463","315","2,895","54","2,240"
"ZCTA5 10307","","","","","","",""
"    ZCTA5 10307","14,297","13,346","146","46","421","19","319"
"ZCTA5 10308","","","","","","",""
"    ZCTA5 10308","27,723","25,923","226","69","939","15","551"
"ZCTA5 10309","","","","","","",""
"    ZCTA5 10309","32,898","29,928","866","60","1,374","23","647"
"ZCTA5 10310","","","","","","",""
"    ZCTA5 10310","26,069","14,208","6,385","350","1,584","40","3,502"
"ZCTA5 10312","","","","","","",""
"    ZCTA5 10312","60,125","54,547","794","186","3,496","40","1,062"
"ZCTA5 10314","","","","","","",""
"    ZCTA5 10314","87,721","66,379","4,308","524","12,423","132","3,955"
"ZCTA5 10451","","","","","","",""
"    ZCTA5 10451","48,660","10,165","21,260","1,265","978","236","14,756"
"ZCTA5 10453","","","","","","",""
"    ZCTA5 10453","83,564","16,265","32,465","2,229","1,463","422","30,720"
"ZCTA5 10454","","","","","","",""
"    ZCTA5 10454","39,718","10,113","12,879","1,310","353","254","14,809"
"ZCTA5 10456","","","","","","",""
"    ZCTA5 10456","91,983","15,796","44,570","2,440","1,265","566","27,346"
"ZCTA5 10458","","","","","","",""
"    ZCTA5 10458","84,539","26,363","22,696","2,078","3,787","413","29,202"
"ZCTA5 10460","","","","","","",""
"    ZCTA5 10460","60,795","15,886","22,508","1,612","1,149","311","19,329"
"ZCTA5 10461","","","","","","",""
"    ZCTA5 10461","52,624","31,287","5,117","581","5,693","124","9,822"
"ZCTA5 10462","","","","","","",""
"    ZCTA5 10462","80,259","26,884","24,238","1,534","9,282","252","18,069"
"ZCTA5 10463","","","","","","",""
"    ZCTA5 10463","71,747","37,269","12,846","1,115","3,525","187","16,805"
"ZCTA5 10465","","","","","","",""
"    ZCTA5 10465","43,707","30,240","5,136","492","1,525","75","6,239"
"ZCTA5 10466","","","","","","",""
"    ZCTA5 10466","70,371","7,733","50,819","1,001","2,133","299","8,386"
"ZCTA5 10467","","","","","","",""
"    ZCTA5 10467","102,345","28,615","40,260","2,043","7,032","440","23,955"
"ZCTA5 10468","","","","","","",""
"    ZCTA5 10468","81,674","21,891","22,025","2,154","4,065","384","31,155"
"ZCTA5 10469","","","","","","",""
"    ZCTA5 10469","68,999","16,189","40,672","859","3,160","222","7,897"
"ZCTA5 10470","","","","","","",""
"    ZCTA5 10470","15,852","7,634","5,715","193","745","39","1,526"
"ZCTA5 10471","","","","","","",""
"    ZCTA5 10471","23,733","17,296","2,760","155","1,594","43","1,885"
"ZCTA5 10472","","","","","","",""
"    ZCTA5 10472","70,616","18,650","22,119","1,734","4,784","319","23,010"
"ZCTA5 10473","","","","","","",""
"    ZCTA5 10473","62,195","15,498","27,616","1,431","1,321","322","16,007"
"ZCTA5 10475","","","","","","",""
"    ZCTA5 10475","42,696","9,705","27,132","599","728","80","4,452"
"ZCTA5 10501","","","","","","",""
"    ZCTA5 10501","1,232","1,164","10","9","38","0","11"
"ZCTA5 10502","","","","","","",""
"    ZCTA5 10502","5,597","4,408","168","15","905","0","101"
"ZCTA5 10504","","","","","","",""
"    ZCTA5 10504","8,103","7,492","83","27","448","3","50"
"ZCTA5 10506","","","","","","",""
"    ZCTA5 10506","5,867","5,468","114","21","218","1","45"
"ZCTA5 10507","","","","","","",""
"    ZCTA5 10507","6,569","4,887","840","44","270","3","525"
"ZCTA5 10509","","","","","","",""
"    ZCTA5 10509","19,933","17,720","583","116","569","35","910"
"ZCTA5 10510","","","","","","",""
"    ZCTA5 10510","10,178","8,796","357","34","797","12","182"
"ZCTA5 10512","","","","","","",""
"    ZCTA5 10512","26,140","23,626","768","187","595","33","931"
"ZCTA5 10514","","","","","","",""
"    ZCTA5 10514","12,201","10,712","221","29","1,109","5","125"
"ZCTA5 10516","","","","","","",""
"    ZCTA5 10516","5,395","5,034","63","37","140","8","113"
"ZCTA5 10518","","","","","","",""
"    ZCTA5 10518","1,305","1,184","19","5","91","1","5"
"ZCTA5 10520","","","","","","",""
"    ZCTA5 10520","13,217","11,400","652","97","578","19","471"
"ZCTA5 10522","","","","","","",""
"    ZCTA5 10522","11,168","8,775","887","60","1,055","25","366"
"ZCTA5 10523","","","","","","",""
"    ZCTA5 10523","7,779","3,496","2,097","99","814","16","1,257"
"ZCTA5 10524","","","","","","",""
"    ZCTA5 10524","4,525","4,185","146","33","76","10","75"
"ZCTA5 10526","","","","","","",""
"    ZCTA5 10526","1,855","1,705","66","10","66","0","8"
"ZCTA5 10528","","","","","","",""
"    ZCTA5 10528","12,553","10,592","204","69","1,224","11","453"
"ZCTA5 10530","","","","","","",""
"    ZCTA5 10530","12,892","9,718","1,125","61","1,587","13","388"
"ZCTA5 10532","","","","","","",""
"    ZCTA5 10532","4,974","4,578","88","7","171","1","129"
"ZCTA5 10533","","","","","","",""
"    ZCTA5 10533","7,475","6,469","169","23","690","5","119"
"ZCTA5 10536","","","","","","",""
"    ZCTA5 10536","10,911","10,138","155","40","331","6","241"
"ZCTA5 10537","","","","","","",""
"    ZCTA5 10537","2,506","2,143","154","33","54","6","116"
