"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 12491","","","","","","",""
"    ZCTA5 12491","1,704","1,616","40","13","22","4","9"
"ZCTA5 12494","","","","","","",""
"    ZCTA5 12494","775","747","9","5","9","0","5"
"ZCTA5 12495","","","","","","",""
"    ZCTA5 12495","268","255","3","0","8","0","2"
"ZCTA5 12496","","","","","","",""
"    ZCTA5 12496","1,655","1,596","9","18","11","0","21"
"ZCTA5 12498","","","","","","",""
"    ZCTA5 12498","5,026","4,577","177","50","135","9","78"
"ZCTA5 12501","","","","","","",""
"    ZCTA5 12501","2,526","2,235","117","25","53","1","95"
"ZCTA5 12502","","","","","","",""
"    ZCTA5 12502","1,177","1,125","12","7","22","3","8"
"ZCTA5 12508","","","","","","",""
"    ZCTA5 12508","20,785","13,941","4,556","246","646","29","1,367"
"ZCTA5 12513","","","","","","",""
"    ZCTA5 12513","655","636","12","3","4","0","0"
"ZCTA5 12514","","","","","","",""
"    ZCTA5 12514","2,983","2,826","54","24","31","3","45"
"ZCTA5 12515","","","","","","",""
"    ZCTA5 12515","1,581","1,390","101","8","41","0","41"
"ZCTA5 12517","","","","","","",""
"    ZCTA5 12517","519","491","12","5","2","1","8"
"ZCTA5 12518","","","","","","",""
"    ZCTA5 12518","6,045","5,503","199","54","153","14","122"
"ZCTA5 12520","","","","","","",""
"    ZCTA5 12520","3,185","2,997","56","21","81","0","30"
"ZCTA5 12521","","","","","","",""
"    ZCTA5 12521","1,679","1,594","27","14","23","2","19"
"ZCTA5 12522","","","","","","",""
"    ZCTA5 12522","5,332","4,774","201","71","63","5","218"
"ZCTA5 12523","","","","","","",""
"    ZCTA5 12523","1,826","1,757","25","18","23","0","3"
