"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 12524","","","","","","",""
"    ZCTA5 12524","15,900","12,456","1,635","75","1,264","21","449"
"ZCTA5 12525","","","","","","",""
"    ZCTA5 12525","3,381","3,147","94","34","30","1","75"
"ZCTA5 12526","","","","","","",""
"    ZCTA5 12526","3,751","3,591","51","39","39","1","30"
"ZCTA5 12528","","","","","","",""
"    ZCTA5 12528","13,730","11,935","922","115","391","17","350"
"ZCTA5 12529","","","","","","",""
"    ZCTA5 12529","2,878","2,790","44","11","14","0","19"
"ZCTA5 12531","","","","","","",""
"    ZCTA5 12531","3,653","3,386","86","10","59","3","109"
"ZCTA5 12533","","","","","","",""
"    ZCTA5 12533","25,847","22,537","1,202","135","1,228","26","719"
"ZCTA5 12534","","","","","","",""
"    ZCTA5 12534","18,485","14,545","2,653","157","701","19","410"
"ZCTA5 12538","","","","","","",""
"    ZCTA5 12538","14,920","13,028","980","85","484","19","324"
"ZCTA5 12540","","","","","","",""
"    ZCTA5 12540","7,962","7,251","200","41","340","10","120"
"ZCTA5 12542","","","","","","",""
"    ZCTA5 12542","6,057","5,414","320","46","83","5","189"
"ZCTA5 12543","","","","","","",""
"    ZCTA5 12543","3,127","2,408","401","50","69","1","198"
"ZCTA5 12545","","","","","","",""
"    ZCTA5 12545","4,862","4,424","166","38","98","6","130"
"ZCTA5 12546","","","","","","",""
"    ZCTA5 12546","3,099","2,761","100","30","37","3","168"
"ZCTA5 12548","","","","","","",""
"    ZCTA5 12548","1,550","1,329","112","8","31","1","69"
"ZCTA5 12549","","","","","","",""
"    ZCTA5 12549","10,394","9,212","605","44","149","6","378"
"ZCTA5 12550","","","","","","",""
"    ZCTA5 12550","56,937","32,423","13,328","988","1,374","98","8,726"
"ZCTA5 12553","","","","","","",""
"    ZCTA5 12553","25,389","18,878","3,259","226","1,059","48","1,919"
"ZCTA5 12561","","","","","","",""
"    ZCTA5 12561","18,852","16,163","1,125","184","830","25","525"
"ZCTA5 12563","","","","","","",""
"    ZCTA5 12563","8,276","7,142","454","63","208","11","398"
"ZCTA5 12564","","","","","","",""
"    ZCTA5 12564","7,474","6,548","261","52","211","10","392"
"ZCTA5 12565","","","","","","",""
"    ZCTA5 12565","1,556","1,444","69","21","12","0","10"
"ZCTA5 12566","","","","","","",""
"    ZCTA5 12566","11,006","10,093","395","101","177","10","230"
"ZCTA5 12567","","","","","","",""
"    ZCTA5 12567","2,906","2,719","40","38","25","5","79"
"ZCTA5 12569","","","","","","",""
"    ZCTA5 12569","10,064","9,254","376","94","194","10","136"
"ZCTA5 12570","","","","","","",""
"    ZCTA5 12570","7,846","7,142","257","49","319","5","74"
"ZCTA5 12571","","","","","","",""
"    ZCTA5 12571","10,055","9,413","193","65","215","10","159"
"ZCTA5 12572","","","","","","",""
"    ZCTA5 12572","9,251","8,562","282","36","198","10","163"
"ZCTA5 12575","","","","","","",""
"    ZCTA5 12575","2,358","2,061","124","36","56","1","80"
"ZCTA5 12577","","","","","","",""
"    ZCTA5 12577","2,051","1,858","102","10","37","0","44"
"ZCTA5 12578","","","","","","",""
"    ZCTA5 12578","2,432","2,323","44","8","40","1","16"
"ZCTA5 12580","","","","","","",""
"    ZCTA5 12580","4,494","4,122","195","38","40","11","88"
"ZCTA5 12581","","","","","","",""
"    ZCTA5 12581","2,290","2,124","70","27","28","2","39"
"ZCTA5 12582","","","","","","",""
"    ZCTA5 12582","6,254","4,426","1,374","36","139","3","276"
"ZCTA5 12583","","","","","","",""
"    ZCTA5 12583","2,498","2,284","57","24","75","5","53"
"ZCTA5 12586","","","","","","",""
"    ZCTA5 12586","12,958","10,850","1,135","120","285","11","557"
"ZCTA5 12589","","","","","","",""
"    ZCTA5 12589","17,595","14,395","1,821","109","337","8","925"
"ZCTA5 12590","","","","","","",""
"    ZCTA5 12590","36,073","29,457","2,707","241","1,936","24","1,708"
"ZCTA5 12592","","","","","","",""
"    ZCTA5 12592","1,520","1,354","114","11","15","4","22"
"ZCTA5 12601","","","","","","",""
"    ZCTA5 12601","45,407","26,836","12,818","702","1,539","72","3,440"
"ZCTA5 12603","","","","","","",""
"    ZCTA5 12603","44,211","34,513","5,025","421","2,688","54","1,510"
"ZCTA5 12701","","","","","","",""
"    ZCTA5 12701","11,890","7,496","2,905","166","257","18","1,048"
"ZCTA5 12721","","","","","","",""
"    ZCTA5 12721","6,834","6,186","304","84","98","1","161"
"ZCTA5 12723","","","","","","",""
"    ZCTA5 12723","1,846","1,441","331","15","12","3","44"
"ZCTA5 12725","","","","","","",""
"    ZCTA5 12725","286","269","7","8","1","0","1"
"ZCTA5 12726","","","","","","",""
"    ZCTA5 12726","1,176","1,112","26","7","11","0","20"
"ZCTA5 12729","","","","","","",""
"    ZCTA5 12729","1,946","1,731","90","35","36","3","51"
"ZCTA5 12737","","","","","","",""
"    ZCTA5 12737","1,954","1,834","33","14","33","4","36"
"ZCTA5 12747","","","","","","",""
"    ZCTA5 12747","1,772","1,497","150","34","31","1","59"
"ZCTA5 12748","","","","","","",""
"    ZCTA5 12748","2,119","1,986","42","9","40","0","42"
"ZCTA5 12758","","","","","","",""
"    ZCTA5 12758","4,126","3,775","137","54","64","3","93"
"ZCTA5 12762","","","","","","",""
"    ZCTA5 12762","528","457","19","9","4","0","39"
"ZCTA5 12764","","","","","","",""
"    ZCTA5 12764","1,846","1,680","103","18","21","1","23"
"ZCTA5 12771","","","","","","",""
"    ZCTA5 12771","15,119","12,953","1,118","240","282","14","512"
"ZCTA5 12775","","","","","","",""
"    ZCTA5 12775","2,359","1,964","199","27","114","1","54"
"ZCTA5 12776","","","","","","",""
"    ZCTA5 12776","2,206","2,077","38","16","29","3","43"
"ZCTA5 12777","","","","","","",""
"    ZCTA5 12777","779","702","31","6","16","5","19"
"ZCTA5 12780","","","","","","",""
"    ZCTA5 12780","2,381","2,183","99","32","21","0","46"
"ZCTA5 12786","","","","","","",""
"    ZCTA5 12786","702","621","28","12","11","0","30"
"ZCTA5 12789","","","","","","",""
"    ZCTA5 12789","1,927","1,463","257","20","29","10","148"
"ZCTA5 12790","","","","","","",""
"    ZCTA5 12790","4,630","4,216","198","63","69","2","82"
"ZCTA5 12801","","","","","","",""
"    ZCTA5 12801","15,072","14,243","437","151","154","6","81"
"ZCTA5 12803","","","","","","",""
"    ZCTA5 12803","7,625","7,445","76","36","37","1","30"
"ZCTA5 12804","","","","","","",""
"    ZCTA5 12804","26,835","25,927","316","158","303","13","118"
"ZCTA5 12808","","","","","","",""
"    ZCTA5 12808","309","304","1","3","1","0","0"
"ZCTA5 12809","","","","","","",""
"    ZCTA5 12809","3,565","3,487","23","26","23","0","6"
"ZCTA5 12814","","","","","","",""
"    ZCTA5 12814","1,592","1,553","7","7","14","3","8"
"ZCTA5 12815","","","","","","",""
"    ZCTA5 12815","894","865","10","17","2","0","0"
"ZCTA5 12816","","","","","","",""
"    ZCTA5 12816","4,675","4,533","66","34","32","0","10"
"ZCTA5 12817","","","","","","",""
"    ZCTA5 12817","2,293","2,244","16","12","5","0","16"
"ZCTA5 12822","","","","","","",""
"    ZCTA5 12822","6,312","6,092","72","59","44","7","38"
"ZCTA5 12823","","","","","","",""
"    ZCTA5 12823","239","235","0","1","0","3","0"
"ZCTA5 12824","","","","","","",""
"    ZCTA5 12824","909","889","3","7","5","1","4"
"ZCTA5 12827","","","","","","",""
"    ZCTA5 12827","3,915","3,818","19","29","12","1","36"
"ZCTA5 12828","","","","","","",""
"    ZCTA5 12828","9,548","9,305","104","44","35","6","54"
"ZCTA5 12831","","","","","","",""
"    ZCTA5 12831","17,648","16,671","536","96","212","7","126"
"ZCTA5 12832","","","","","","",""
"    ZCTA5 12832","7,167","7,006","54","48","35","0","24"
"ZCTA5 12833","","","","","","",""
"    ZCTA5 12833","4,476","4,331","51","35","28","3","28"
