"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 11779","","","","","","",""
"    ZCTA5 11779","39,158","34,785","1,086","161","2,095","31","1,000"
"ZCTA5 11780","","","","","","",""
"    ZCTA5 11780","15,707","14,842","149","44","482","5","185"
"ZCTA5 11782","","","","","","",""
"    ZCTA5 11782","15,994","15,234","224","54","362","6","114"
"ZCTA5 11783","","","","","","",""
"    ZCTA5 11783","21,547","20,567","165","47","563","6","199"
"ZCTA5 11784","","","","","","",""
"    ZCTA5 11784","25,277","21,728","1,033","182","1,254","28","1,052"
"ZCTA5 11786","","","","","","",""
"    ZCTA5 11786","6,420","6,049","120","11","191","1","48"
"ZCTA5 11787","","","","","","",""
"    ZCTA5 11787","36,243","33,957","508","103","1,248","22","405"
"ZCTA5 11788","","","","","","",""
"    ZCTA5 11788","17,039","14,974","476","76","1,203","9","301"
"ZCTA5 11789","","","","","","",""
"    ZCTA5 11789","8,051","7,573","139","49","182","13","95"
"ZCTA5 11790","","","","","","",""
"    ZCTA5 11790","18,792","15,253","908","59","2,249","14","309"
"ZCTA5 11791","","","","","","",""
"    ZCTA5 11791","25,467","19,210","271","54","5,600","12","320"
"ZCTA5 11792","","","","","","",""
"    ZCTA5 11792","8,657","8,194","198","30","148","4","83"
"ZCTA5 11793","","","","","","",""
"    ZCTA5 11793","32,693","30,926","290","69","954","23","431"
"ZCTA5 11795","","","","","","",""
"    ZCTA5 11795","26,329","25,329","173","60","551","9","207"
"ZCTA5 11796","","","","","","",""
"    ZCTA5 11796","4,088","3,947","57","12","48","2","22"
"ZCTA5 11797","","","","","","",""
"    ZCTA5 11797","9,132","7,941","143","8","991","3","46"
"ZCTA5 11798","","","","","","",""
