"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 13676","","","","","","",""
"    ZCTA5 13676","16,945","15,635","377","146","620","24","143"
"ZCTA5 13679","","","","","","",""
"    ZCTA5 13679","1,875","1,842","14","10","3","3","3"
"ZCTA5 13694","","","","","","",""
"    ZCTA5 13694","1,515","1,483","6","21","4","0","1"
"ZCTA5 13730","","","","","","",""
"    ZCTA5 13730","2,833","2,764","14","37","11","0","7"
"ZCTA5 13731","","","","","","",""
"    ZCTA5 13731","1,171","1,125","11","5","17","0","13"
"ZCTA5 13732","","","","","","",""
"    ZCTA5 13732","8,231","7,945","71","24","130","11","50"
"ZCTA5 13733","","","","","","",""
"    ZCTA5 13733","5,276","5,135","33","42","31","2","33"
"ZCTA5 13736","","","","","","",""
"    ZCTA5 13736","2,362","2,304","23","16","8","6","5"
"ZCTA5 13746","","","","","","",""
"    ZCTA5 13746","2,598","2,493","30","43","15","0","17"
"ZCTA5 13748","","","","","","",""
"    ZCTA5 13748","3,861","3,724","61","41","19","0","16"
"ZCTA5 13752","","","","","","",""
"    ZCTA5 13752","791","773","4","7","2","0","5"
"ZCTA5 13753","","","","","","",""
"    ZCTA5 13753","5,987","5,362","335","47","125","13","105"
"ZCTA5 13754","","","","","","",""
"    ZCTA5 13754","3,348","3,260","48","24","6","1","9"
"ZCTA5 13757","","","","","","",""
"    ZCTA5 13757","1,048","1,019","9","11","3","0","6"
"ZCTA5 13760","","","","","","",""
"    ZCTA5 13760","45,261","41,523","2,051","272","1,029","59","327"
"ZCTA5 13775","","","","","","",""
"    ZCTA5 13775","1,663","1,602","23","19","7","2","10"
"ZCTA5 13778","","","","","","",""
