"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"    ZCTA5 13778","6,020","5,867","59","41","34","4","15"
"ZCTA5 13783","","","","","","",""
"    ZCTA5 13783","2,733","2,545","104","29","37","3","15"
"ZCTA5 13788","","","","","","",""
"    ZCTA5 13788","1,004","969","15","4","8","0","8"
"ZCTA5 13790","","","","","","",""
"    ZCTA5 13790","19,787","16,832","1,412","188","1,037","22","296"
"ZCTA5 13795","","","","","","",""
"    ZCTA5 13795","3,887","3,706","64","47","43","2","25"
"ZCTA5 13796","","","","","","",""
"    ZCTA5 13796","1,260","1,214","11","13","13","0","9"
"ZCTA5 13797","","","","","","",""
"    ZCTA5 13797","2,271","2,223","21","16","5","1","5"
"ZCTA5 13803","","","","","","",""
"    ZCTA5 13803","4,011","3,914","32","19","21","1","24"
"ZCTA5 13807","","","","","","",""
"    ZCTA5 13807","1,211","1,160","11","11","20","0","9"
"ZCTA5 13808","","","","","","",""
"    ZCTA5 13808","1,797","1,737","12","19","5","2","22"
"ZCTA5 13809","","","","","","",""
"    ZCTA5 13809","1,524","1,499","8","3","7","0","7"
"ZCTA5 13811","","","","","","",""
"    ZCTA5 13811","4,392","4,291","23","26","27","4","21"
"ZCTA5 13812","","","","","","",""
"    ZCTA5 13812","2,361","2,335","18","2","1","0","5"
"ZCTA5 13815","","","","","","",""
"    ZCTA5 13815","14,253","13,613","283","145","113","9","90"
"ZCTA5 13820","","","","","","",""
"    ZCTA5 13820","22,980","20,794","1,089","169","547","28","353"
"ZCTA5 13825","","","","","","",""
"    ZCTA5 13825","3,531","3,374","61","44","28","2","22"
"ZCTA5 13827","","","","","","",""
"    ZCTA5 13827","11,930","11,458","185","91","132","10","54"
"ZCTA5 13830","","","","","","",""
"    ZCTA5 13830","5,107","4,955","44","49","26","4","29"
"ZCTA5 13839","","","","","","",""
"    ZCTA5 13839","1,420","1,376","21","7","6","0","10"
"ZCTA5 13841","","","","","","",""
"    ZCTA5 13841","531","522","3","4","1","0","1"
"ZCTA5 13843","","","","","","",""
"    ZCTA5 13843","1,916","1,864","11","8","18","1","14"
"ZCTA5 13844","","","","","","",""
"    ZCTA5 13844","734","717","3","3","3","0","8"
"ZCTA5 13846","","","","","","",""
"    ZCTA5 13846","310","286","4","2","10","1","7"
"ZCTA5 13849","","","","","","",""
"    ZCTA5 13849","4,606","4,479","58","26","24","0","19"
"ZCTA5 13850","","","","","","",""
"    ZCTA5 13850","22,351","19,604","562","118","1,914","18","135"
"ZCTA5 13856","","","","","","",""
"    ZCTA5 13856","6,650","6,451","65","56","50","1","27"
"ZCTA5 13861","","","","","","",""
"    ZCTA5 13861","445","419","7","8","7","0","4"
"ZCTA5 13862","","","","","","",""
"    ZCTA5 13862","4,264","4,129","38","43","26","2","26"
"ZCTA5 13865","","","","","","",""
"    ZCTA5 13865","6,463","6,281","59","42","36","8","37"
"ZCTA5 13901","","","","","","",""
"    ZCTA5 13901","20,419","17,879","1,649","182","384","17","308"
"ZCTA5 13903","","","","","","",""
"    ZCTA5 13903","19,365","16,660","1,768","143","472","29","293"
"ZCTA5 13904","","","","","","",""
"    ZCTA5 13904","9,839","8,600","805","95","174","16","149"
"ZCTA5 13905","","","","","","",""
"    ZCTA5 13905","29,213","23,261","3,358","286","1,659","49","600"
"ZCTA5 14001","","","","","","",""
"    ZCTA5 14001","9,552","9,252","66","158","53","5","18"
"ZCTA5 14004","","","","","","",""
"    ZCTA5 14004","12,785","11,323","1,199","73","54","3","133"
"ZCTA5 14005","","","","","","",""
"    ZCTA5 14005","2,003","1,953","9","6","10","0","25"
"ZCTA5 14006","","","","","","",""
"    ZCTA5 14006","10,000","9,578","110","244","29","2","37"
"ZCTA5 14009","","","","","","",""
"    ZCTA5 14009","5,735","5,594","34","41","43","2","21"
"ZCTA5 14011","","","","","","",""
"    ZCTA5 14011","9,874","7,099","2,305","65","50","2","353"
"ZCTA5 14012","","","","","","",""
"    ZCTA5 14012","2,394","2,317","27","27","12","0","11"
"ZCTA5 14013","","","","","","",""
"    ZCTA5 14013","1,771","1,229","11","515","4","0","12"
"ZCTA5 14020","","","","","","",""
"    ZCTA5 14020","23,918","21,426","1,653","248","299","12","280"
"ZCTA5 14024","","","","","","",""
"    ZCTA5 14024","1,702","1,664","22","8","5","0","3"
"ZCTA5 14025","","","","","","",""
"    ZCTA5 14025","3,072","2,996","12","26","19","3","16"
"ZCTA5 14028","","","","","","",""
"    ZCTA5 14028","1,622","1,563","11","20","16","7","5"
"ZCTA5 14031","","","","","","",""
"    ZCTA5 14031","9,465","9,170","69","29","159","7","31"
"ZCTA5 14032","","","","","","",""
"    ZCTA5 14032","8,075","7,669","121","30","233","5","17"
"ZCTA5 14033","","","","","","",""
"    ZCTA5 14033","2,229","2,198","9","4","12","0","6"
"ZCTA5 14036","","","","","","",""
"    ZCTA5 14036","5,273","5,125","60","53","16","2","17"
"ZCTA5 14040","","","","","","",""
"    ZCTA5 14040","2,229","2,213","5","5","6","0","0"
"ZCTA5 14042","","","","","","",""
"    ZCTA5 14042","4,036","3,913","33","43","19","1","27"
"ZCTA5 14043","","","","","","",""
"    ZCTA5 14043","25,060","24,002","480","111","318","12","137"
"ZCTA5 14047","","","","","","",""
"    ZCTA5 14047","6,496","6,301","69","81","19","10","16"
"ZCTA5 14048","","","","","","",""
"    ZCTA5 14048","15,601","12,510","1,087","221","85","17","1,681"
"ZCTA5 14051","","","","","","",""
"    ZCTA5 14051","19,858","17,549","510","66","1,595","20","118"
"ZCTA5 14052","","","","","","",""
"    ZCTA5 14052","17,471","17,125","96","45","142","10","53"
"ZCTA5 14055","","","","","","",""
"    ZCTA5 14055","1,420","1,397","5","6","7","5","0"
"ZCTA5 14057","","","","","","",""
"    ZCTA5 14057","8,178","7,998","47","48","35","6","44"
"ZCTA5 14059","","","","","","",""
"    ZCTA5 14059","8,964","8,875","31","18","22","5","13"
"ZCTA5 14062","","","","","","",""
"    ZCTA5 14062","3,364","3,279","19","45","10","1","10"
"ZCTA5 14063","","","","","","",""
"    ZCTA5 14063","15,074","14,251","309","86","246","10","172"
"ZCTA5 14067","","","","","","",""
"    ZCTA5 14067","5,116","4,933","64","55","27","5","32"
"ZCTA5 14068","","","","","","",""
"    ZCTA5 14068","7,232","6,391","251","23","541","1","25"
"ZCTA5 14072","","","","","","",""
"    ZCTA5 14072","20,603","19,275","514","169","533","8","104"
"ZCTA5 14075","","","","","","",""
"    ZCTA5 14075","42,312","41,157","413","219","318","13","192"
"ZCTA5 14080","","","","","","",""
"    ZCTA5 14080","4,371","4,270","41","32","17","1","10"
"ZCTA5 14081","","","","","","",""
"    ZCTA5 14081","3,156","1,944","34","1,160","14","0","4"
"ZCTA5 14085","","","","","","",""
"    ZCTA5 14085","7,398","7,235","45","46","44","2","26"
"ZCTA5 14086","","","","","","",""
"    ZCTA5 14086","32,114","31,244","363","146","240","13","108"
"ZCTA5 14091","","","","","","",""
"    ZCTA5 14091","1,089","810","4","271","0","0","4"
"ZCTA5 14092","","","","","","",""
"    ZCTA5 14092","11,247","10,621","145","307","136","5","33"
"ZCTA5 14094","","","","","","",""
"    ZCTA5 14094","52,011","47,120","3,432","526","502","31","400"
"ZCTA5 14098","","","","","","",""
"    ZCTA5 14098","3,036","2,864","57","60","25","4","26"
"ZCTA5 14103","","","","","","",""
"    ZCTA5 14103","11,443","10,228","841","137","74","8","155"
"ZCTA5 14105","","","","","","",""
"    ZCTA5 14105","4,634","4,457","52","66","24","2","33"
"ZCTA5 14108","","","","","","",""
"    ZCTA5 14108","5,969","5,753","86","46","45","3","36"
"ZCTA5 14111","","","","","","",""
"    ZCTA5 14111","3,416","3,262","36","88","4","0","26"
"ZCTA5 14120","","","","","","",""
"    ZCTA5 14120","45,626","43,912","661","347","502","30","174"
"ZCTA5 14125","","","","","","",""
"    ZCTA5 14125","3,847","3,649","85","40","16","2","55"
