"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 10538","","","","","","",""
"    ZCTA5 10538","16,951","15,512","353","47","731","7","301"
"ZCTA5 10541","","","","","","",""
"    ZCTA5 10541","26,793","24,798","574","84","599","12","726"
"ZCTA5 10543","","","","","","",""
"    ZCTA5 10543","20,780","16,060","984","126","1,200","28","2,382"
"ZCTA5 10546","","","","","","",""
"    ZCTA5 10546","1,286","1,085","31","0","154","0","16"
"ZCTA5 10547","","","","","","",""
"    ZCTA5 10547","7,861","6,284","736","79","367","1","394"
"ZCTA5 10548","","","","","","",""
"    ZCTA5 10548","3,573","3,207","125","13","113","1","114"
"ZCTA5 10549","","","","","","",""
"    ZCTA5 10549","17,214","13,320","763","167","875","14","2,075"
"ZCTA5 10550","","","","","","",""
"    ZCTA5 10550","38,761","6,380","27,565","502","754","127","3,433"
"ZCTA5 10552","","","","","","",""
"    ZCTA5 10552","20,576","10,526","7,631","175","792","21","1,431"
"ZCTA5 10560","","","","","","",""
"    ZCTA5 10560","4,810","4,539","64","21","107","2","77"
"ZCTA5 10562","","","","","","",""
"    ZCTA5 10562","33,041","20,379","4,943","322","1,658","31","5,708"
"ZCTA5 10566","","","","","","",""
"    ZCTA5 10566","25,036","13,237","6,259","346","894","37","4,263"
"ZCTA5 10567","","","","","","",""
"    ZCTA5 10567","20,520","16,876","1,502","128","1,051","29","934"
"ZCTA5 10570","","","","","","",""
"    ZCTA5 10570","12,921","11,153","522","40","786","4","416"
"ZCTA5 10573","","","","","","",""
"    ZCTA5 10573","39,985","27,353","2,373","504","1,201","44","8,510"
"ZCTA5 10576","","","","","","",""
"    ZCTA5 10576","5,231","4,890","96","20","149","10","66"
