"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 10577","","","","","","",""
"    ZCTA5 10577","6,794","5,263","538","49","656","15","273"
"ZCTA5 10578","","","","","","",""
"    ZCTA5 10578","690","638","11","1","22","7","11"
"ZCTA5 10579","","","","","","",""
"    ZCTA5 10579","8,896","8,202","217","59","228","5","185"
"ZCTA5 10580","","","","","","",""
"    ZCTA5 10580","17,503","15,741","299","40","1,167","3","253"
"ZCTA5 10583","","","","","","",""
"    ZCTA5 10583","39,794","32,335","928","105","5,777","36","613"
"ZCTA5 10588","","","","","","",""
"    ZCTA5 10588","2,344","2,048","96","7","105","1","87"
"ZCTA5 10589","","","","","","",""
"    ZCTA5 10589","8,553","7,910","230","21","293","4","95"
"ZCTA5 10590","","","","","","",""
"    ZCTA5 10590","6,908","6,484","116","24","217","2","65"
"ZCTA5 10591","","","","","","",""
"    ZCTA5 10591","23,471","16,268","1,829","263","1,515","60","3,536"
"ZCTA5 10594","","","","","","",""
"    ZCTA5 10594","5,192","4,517","221","13","241","2","198"
"ZCTA5 10595","","","","","","",""
"    ZCTA5 10595","8,361","6,359","1,104","31","560","10","297"
"ZCTA5 10597","","","","","","",""
"    ZCTA5 10597","971","946","4","2","15","0","4"
"ZCTA5 10598","","","","","","",""
"    ZCTA5 10598","29,151","26,059","814","97","1,530","17","634"
"ZCTA5 10601","","","","","","",""
"    ZCTA5 10601","11,950","6,567","2,677","194","1,203","60","1,249"
"ZCTA5 10603","","","","","","",""
"    ZCTA5 10603","17,760","9,394","4,903","321","1,292","29","1,821"
"ZCTA5 10604","","","","","","",""
"    ZCTA5 10604","11,595","8,965","838","77","646","26","1,043"
"ZCTA5 10605","","","","","","",""
"    ZCTA5 10605","18,655","14,653","1,626","155","1,074","72","1,075"
"ZCTA5 10606","","","","","","",""
"    ZCTA5 10606","17,354","9,733","2,737","287","1,042","36","3,519"
"ZCTA5 10607","","","","","","",""
"    ZCTA5 10607","7,135","3,265","2,044","92","805","13","916"
"ZCTA5 10701","","","","","","",""
"    ZCTA5 10701","66,614","28,681","19,991","1,239","2,780","195","13,728"
"ZCTA5 10703","","","","","","",""
"    ZCTA5 10703","21,157","12,031","3,913","177","1,353","77","3,606"
"ZCTA5 10704","","","","","","",""
"    ZCTA5 10704","30,981","23,293","2,875","245","1,887","41","2,640"
"ZCTA5 10705","","","","","","",""
"    ZCTA5 10705","41,271","18,662","8,671","796","2,617","98","10,427"
"ZCTA5 10706","","","","","","",""
"    ZCTA5 10706","8,932","7,540","453","55","613","1","270"
"ZCTA5 10707","","","","","","",""
"    ZCTA5 10707","10,354","8,365","839","57","808","2","283"
"ZCTA5 10708","","","","","","",""
"    ZCTA5 10708","21,701","18,626","1,194","92","1,134","25","630"
"ZCTA5 10709","","","","","","",""
"    ZCTA5 10709","9,397","8,418","109","33","671","0","166"
"ZCTA5 10710","","","","","","",""
"    ZCTA5 10710","26,045","16,660","3,535","252","3,654","46","1,898"
"ZCTA5 10801","","","","","","",""
"    ZCTA5 10801","42,542","23,927","10,999","593","1,955","81","4,987"
"ZCTA5 10803","","","","","","",""
"    ZCTA5 10803","12,841","10,576","904","42","859","18","442"
"ZCTA5 10804","","","","","","",""
"    ZCTA5 10804","14,437","12,281","1,262","42","675","9","168"
"ZCTA5 10805","","","","","","",""
"    ZCTA5 10805","19,125","12,729","3,442","131","922","28","1,873"
"ZCTA5 10901","","","","","","",""
"    ZCTA5 10901","23,975","20,033","1,257","176","1,309","21","1,179"
"ZCTA5 10913","","","","","","",""
"    ZCTA5 10913","5,656","4,821","186","20","419","8","202"
"ZCTA5 10916","","","","","","",""
"    ZCTA5 10916","4,634","4,178","189","35","117","3","112"
"ZCTA5 10917","","","","","","",""
"    ZCTA5 10917","2,010","1,623","70","24","123","0","170"
"ZCTA5 10918","","","","","","",""
"    ZCTA5 10918","12,014","9,792","966","131","543","9","573"
"ZCTA5 10919","","","","","","",""
"    ZCTA5 10919","1,067","916","51","18","29","0","53"
"ZCTA5 10920","","","","","","",""
"    ZCTA5 10920","8,764","6,918","305","62","1,191","7","281"
"ZCTA5 10921","","","","","","",""
"    ZCTA5 10921","4,252","3,661","272","48","103","2","166"
"ZCTA5 10923","","","","","","",""
"    ZCTA5 10923","9,080","5,929","1,460","83","410","16","1,182"
"ZCTA5 10924","","","","","","",""
"    ZCTA5 10924","13,453","11,208","920","135","436","15","739"
"ZCTA5 10925","","","","","","",""
"    ZCTA5 10925","4,637","4,183","147","57","116","3","131"
"ZCTA5 10926","","","","","","",""
"    ZCTA5 10926","3,316","2,383","383","36","340","5","169"
"ZCTA5 10927","","","","","","",""
"    ZCTA5 10927","12,826","6,339","1,844","231","342","76","3,994"
"ZCTA5 10928","","","","","","",""
"    ZCTA5 10928","4,390","3,131","633","97","114","3","412"
"ZCTA5 10930","","","","","","",""
"    ZCTA5 10930","9,238","7,511","671","78","540","7","431"
"ZCTA5 10940","","","","","","",""
"    ZCTA5 10940","50,862","31,354","9,768","789","1,331","77","7,543"
"ZCTA5 10941","","","","","","",""
"    ZCTA5 10941","14,470","9,856","2,647","219","661","15","1,072"
"ZCTA5 10950","","","","","","",""
"    ZCTA5 10950","48,005","43,517","1,484","269","1,290","32","1,413"
"ZCTA5 10952","","","","","","",""
"    ZCTA5 10952","39,292","35,985","1,970","99","782","33","423"
"ZCTA5 10954","","","","","","",""
"    ZCTA5 10954","23,609","16,169","3,229","134","3,040","29","1,008"
"ZCTA5 10956","","","","","","",""
"    ZCTA5 10956","32,276","25,272","2,374","136","3,535","23","936"
"ZCTA5 10958","","","","","","",""
"    ZCTA5 10958","3,343","2,858","278","11","63","7","126"
"ZCTA5 10960","","","","","","",""
"    ZCTA5 10960","15,606","10,484","3,311","145","768","17","881"
"ZCTA5 10962","","","","","","",""
"    ZCTA5 10962","6,086","4,356","509","28","958","10","225"
"ZCTA5 10963","","","","","","",""
"    ZCTA5 10963","4,404","2,892","1,081","59","72","10","290"
"ZCTA5 10964","","","","","","",""
"    ZCTA5 10964","1,488","1,212","27","5","200","6","38"
"ZCTA5 10965","","","","","","",""
"    ZCTA5 10965","14,971","13,837","182","46","605","16","285"
"ZCTA5 10968","","","","","","",""
"    ZCTA5 10968","2,405","2,058","108","21","154","1","63"
"ZCTA5 10970","","","","","","",""
"    ZCTA5 10970","10,355","6,611","1,960","88","869","13","814"
"ZCTA5 10973","","","","","","",""
"    ZCTA5 10973","2,181","1,979","55","15","55","1","76"
"ZCTA5 10977","","","","","","",""
"    ZCTA5 10977","60,881","31,598","18,237","495","3,147","200","7,204"
"ZCTA5 10980","","","","","","",""
"    ZCTA5 10980","13,685","11,818","659","86","470","22","630"
"ZCTA5 10983","","","","","","",""
"    ZCTA5 10983","5,669","4,669","101","29","678","1","191"
"ZCTA5 10984","","","","","","",""
"    ZCTA5 10984","2,908","2,315","277","12","145","0","159"
"ZCTA5 10987","","","","","","",""
"    ZCTA5 10987","3,472","3,099","79","17","221","2","54"
"ZCTA5 10989","","","","","","",""
"    ZCTA5 10989","9,560","7,510","654","60","1,056","6","274"
"ZCTA5 10990","","","","","","",""
"    ZCTA5 10990","21,125","18,421","1,502","192","389","10","611"
"ZCTA5 10992","","","","","","",""
"    ZCTA5 10992","9,884","8,203","795","82","287","2","515"
"ZCTA5 10993","","","","","","",""
"    ZCTA5 10993","5,044","2,887","980","61","288","10","818"
"ZCTA5 10994","","","","","","",""
"    ZCTA5 10994","7,227","6,020","243","14","801","16","133"
"ZCTA5 10996","","","","","","",""
"    ZCTA5 10996","7,126","5,733","565","93","474","24","237"
"ZCTA5 10998","","","","","","",""
"    ZCTA5 10998","3,213","2,896","136","34","56","0","91"
"ZCTA5 11001","","","","","","",""
"    ZCTA5 11001","27,667","19,948","1,842","186","4,334","21","1,336"
"ZCTA5 11003","","","","","","",""
"    ZCTA5 11003","43,192","13,227","19,491","501","5,001","103","4,869"
"ZCTA5 11004","","","","","","",""
"    ZCTA5 11004","14,603","7,238","1,009","144","5,497","18","697"
"ZCTA5 11005","","","","","","",""
"    ZCTA5 11005","1,814","1,752","32","0","27","0","3"
"ZCTA5 11010","","","","","","",""
"    ZCTA5 11010","24,209","21,271","374","81","1,533","15","935"
