"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 11020","","","","","","",""
"    ZCTA5 11020","6,031","3,481","533","11","1,787","4","215"
"ZCTA5 11021","","","","","","",""
"    ZCTA5 11021","18,115","14,267","398","23","2,949","23","455"
"ZCTA5 11023","","","","","","",""
"    ZCTA5 11023","9,296","8,171","115","11","892","8","99"
"ZCTA5 11024","","","","","","",""
"    ZCTA5 11024","8,401","7,092","173","38","682","15","401"
"ZCTA5 11030","","","","","","",""
"    ZCTA5 11030","18,265","15,317","283","37","2,432","14","182"
"ZCTA5 11040","","","","","","",""
"    ZCTA5 11040","41,823","25,411","783","221","13,777","53","1,578"
"ZCTA5 11050","","","","","","",""
"    ZCTA5 11050","31,011","24,711","671","227","3,431","36","1,935"
"ZCTA5 11096","","","","","","",""
"    ZCTA5 11096","8,739","4,077","2,356","114","248","31","1,913"
"ZCTA5 11101","","","","","","",""
"    ZCTA5 11101","26,690","11,557","5,704","375","4,438","67","4,549"
"ZCTA5 11102","","","","","","",""
"    ZCTA5 11102","35,644","20,078","3,835","505","5,654","57","5,515"
"ZCTA5 11103","","","","","","",""
"    ZCTA5 11103","40,272","27,441","1,050","427","5,991","99","5,264"
"ZCTA5 11104","","","","","","",""
"    ZCTA5 11104","28,513","15,684","814","366","7,533","60","4,056"
"ZCTA5 11105","","","","","","",""
"    ZCTA5 11105","38,079","28,734","1,111","290","4,647","71","3,226"
"ZCTA5 11106","","","","","","",""
"    ZCTA5 11106","40,603","22,338","3,983","447","8,009","110","5,716"
"ZCTA5 11109","","","","","","",""
"    ZCTA5 11109","3,687","2,478","197","24","859","9","120"
"ZCTA5 11201","","","","","","",""
