"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"    ZCTA5 11201","53,248","35,835","8,524","452","5,947","117","2,373"
"ZCTA5 11203","","","","","","",""
"    ZCTA5 11203","77,955","3,168","70,884","496","1,353","185","1,869"
"ZCTA5 11204","","","","","","",""
"    ZCTA5 11204","79,432","52,959","796","246","21,144","92","4,195"
"ZCTA5 11205","","","","","","",""
"    ZCTA5 11205","42,223","19,595","14,802","563","2,547","100","4,616"
"ZCTA5 11206","","","","","","",""
"    ZCTA5 11206","85,282","36,669","24,595","1,360","5,004","228","17,426"
"ZCTA5 11207","","","","","","",""
"    ZCTA5 11207","97,387","12,389","64,684","1,630","1,529","423","16,732"
"ZCTA5 11208","","","","","","",""
"    ZCTA5 11208","99,530","17,103","47,328","1,881","8,968","388","23,862"
"ZCTA5 11209","","","","","","",""
"    ZCTA5 11209","71,157","54,950","2,063","448","8,959","94","4,643"
"ZCTA5 11210","","","","","","",""
"    ZCTA5 11210","63,545","21,252","36,865","410","2,575","156","2,287"
"ZCTA5 11211","","","","","","",""
"    ZCTA5 11211","93,121","70,744","5,314","922","4,216","216","11,709"
"ZCTA5 11212","","","","","","",""
"    ZCTA5 11212","86,987","4,651","73,647","1,025","881","221","6,562"
"ZCTA5 11213","","","","","","",""
"    ZCTA5 11213","65,507","13,121","47,721","602","767","163","3,133"
"ZCTA5 11214","","","","","","",""
"    ZCTA5 11214","90,427","52,468","1,279","459","29,493","179","6,549"
"ZCTA5 11215","","","","","","",""
"    ZCTA5 11215","66,502","50,888","4,811","690","5,332","101","4,680"
"ZCTA5 11217","","","","","","",""
"    ZCTA5 11217","37,733","22,554","8,983","462","2,883","88","2,763"
"ZCTA5 11218","","","","","","",""
"    ZCTA5 11218","78,343","45,302","8,372","906","15,235","156","8,372"
"ZCTA5 11219","","","","","","",""
"    ZCTA5 11219","93,837","63,998","1,500","452","21,609","132","6,146"
"ZCTA5 11220","","","","","","",""
"    ZCTA5 11220","103,483","33,150","3,950","1,616","42,352","218","22,197"
"ZCTA5 11222","","","","","","",""
"    ZCTA5 11222","38,043","31,735","1,064","252","2,239","71","2,682"
"ZCTA5 11223","","","","","","",""
"    ZCTA5 11223","80,402","53,307","3,635","480","17,365","98","5,517"
"ZCTA5 11224","","","","","","",""
"    ZCTA5 11224","48,955","29,024","12,465","466","3,108","77","3,815"
"ZCTA5 11225","","","","","","",""
"    ZCTA5 11225","58,684","10,230","44,071","587","1,262","140","2,394"
"ZCTA5 11226","","","","","","",""
"    ZCTA5 11226","105,111","11,406","79,207","1,095","3,713","289","9,401"
"ZCTA5 11228","","","","","","",""
"    ZCTA5 11228","42,527","29,083","417","163","10,553","34","2,277"
"ZCTA5 11229","","","","","","",""
"    ZCTA5 11229","81,547","58,158","4,802","302","15,262","92","2,931"
"ZCTA5 11230","","","","","","",""
"    ZCTA5 11230","88,210","62,829","7,734","542","12,031","116","4,958"
"ZCTA5 11231","","","","","","",""
"    ZCTA5 11231","34,774","24,033","5,453","379","1,970","71","2,868"
"ZCTA5 11232","","","","","","",""
"    ZCTA5 11232","30,135","13,455","2,578","1,074","4,875","105","8,048"
"ZCTA5 11233","","","","","","",""
"    ZCTA5 11233","69,146","4,437","58,359","973","845","177","4,355"
"ZCTA5 11234","","","","","","",""
"    ZCTA5 11234","89,831","43,092","38,151","488","4,830","133","3,137"
"ZCTA5 11235","","","","","","",""
"    ZCTA5 11235","80,655","62,915","1,980","381","10,930","112","4,337"
"ZCTA5 11236","","","","","","",""
"    ZCTA5 11236","95,985","7,775","81,382","629","2,858","253","3,088"
"ZCTA5 11237","","","","","","",""
"    ZCTA5 11237","53,054","20,139","6,264","1,102","3,843","219","21,487"
"ZCTA5 11238","","","","","","",""
"    ZCTA5 11238","51,819","20,241","25,010","654","3,497","125","2,292"
"ZCTA5 11239","","","","","","",""
"    ZCTA5 11239","13,812","4,397","7,905","152","451","13","894"
"ZCTA5 11354","","","","","","",""
"    ZCTA5 11354","56,544","16,571","2,408","297","33,058","148","4,062"
"ZCTA5 11355","","","","","","",""
"    ZCTA5 11355","88,612","15,738","3,363","612","62,423","126","6,350"
"ZCTA5 11356","","","","","","",""
"    ZCTA5 11356","24,372","12,659","739","174","6,754","51","3,995"
"ZCTA5 11357","","","","","","",""
"    ZCTA5 11357","39,929","30,416","507","96","7,505","44","1,361"
"ZCTA5 11358","","","","","","",""
"    ZCTA5 11358","38,571","19,592","585","172","15,553","58","2,611"
"ZCTA5 11360","","","","","","",""
"    ZCTA5 11360","19,194","13,653","351","30","4,629","16","515"
"ZCTA5 11361","","","","","","",""
"    ZCTA5 11361","29,288","16,080","1,270","106","10,436","34","1,362"
"ZCTA5 11362","","","","","","",""
"    ZCTA5 11362","18,200","10,422","361","44","6,853","18","502"
"ZCTA5 11363","","","","","","",""
"    ZCTA5 11363","7,126","4,536","99","16","2,262","3","210"
"ZCTA5 11364","","","","","","",""
"    ZCTA5 11364","35,302","16,483","946","95","16,670","48","1,060"
"ZCTA5 11365","","","","","","",""
"    ZCTA5 11365","43,782","18,195","4,172","285","18,370","97","2,663"
"ZCTA5 11366","","","","","","",""
"    ZCTA5 11366","13,942","6,479","959","87","5,711","44","662"
"ZCTA5 11367","","","","","","",""
"    ZCTA5 11367","42,830","25,735","4,501","305","9,569","89","2,631"
"ZCTA5 11368","","","","","","",""
"    ZCTA5 11368","116,943","40,202","14,296","2,568","11,838","338","47,701"
"ZCTA5 11369","","","","","","",""
"    ZCTA5 11369","40,981","14,826","8,355","755","3,812","107","13,126"
"ZCTA5 11370","","","","","","",""
"    ZCTA5 11370","41,072","17,525","7,243","373","7,151","92","8,688"
"ZCTA5 11372","","","","","","",""
"    ZCTA5 11372","70,284","33,159","2,737","1,033","14,558","176","18,621"
"ZCTA5 11373","","","","","","",""
"    ZCTA5 11373","105,608","29,962","2,676","1,446","49,240","306","21,978"
"ZCTA5 11374","","","","","","",""
"    ZCTA5 11374","45,161","27,882","1,609","314","12,405","122","2,829"
"ZCTA5 11375","","","","","","",""
"    ZCTA5 11375","70,986","46,542","2,539","313","18,597","132","2,863"
"ZCTA5 11377","","","","","","",""
"    ZCTA5 11377","94,426","37,070","3,836","1,523","34,593","247","17,157"
"ZCTA5 11378","","","","","","",""
"    ZCTA5 11378","35,938","26,479","772","221","3,822","60","4,584"
"ZCTA5 11379","","","","","","",""
"    ZCTA5 11379","35,506","29,453","509","140","3,069","39","2,296"
"ZCTA5 11385","","","","","","",""
"    ZCTA5 11385","102,735","67,577","4,483","1,290","7,108","291","21,986"
"ZCTA5 11412","","","","","","",""
"    ZCTA5 11412","35,935","791","32,926","377","606","100","1,135"
"ZCTA5 11413","","","","","","",""
"    ZCTA5 11413","40,019","1,188","36,570","453","580","79","1,149"
"ZCTA5 11414","","","","","","",""
"    ZCTA5 11414","26,721","23,193","673","127","1,096","28","1,604"
"ZCTA5 11415","","","","","","",""
"    ZCTA5 11415","20,339","12,693","1,680","227","3,669","56","2,014"
"ZCTA5 11416","","","","","","",""
"    ZCTA5 11416","26,954","8,690","3,579","625","6,583","160","7,317"
"ZCTA5 11417","","","","","","",""
"    ZCTA5 11417","31,361","12,621","3,539","692","7,026","252","7,231"
"ZCTA5 11418","","","","","","",""
"    ZCTA5 11418","39,364","14,677","5,011","869","8,927","227","9,653"
"ZCTA5 11419","","","","","","",""
"    ZCTA5 11419","54,278","6,574","11,893","1,528","20,307","660","13,316"
"ZCTA5 11420","","","","","","",""
"    ZCTA5 11420","49,496","7,823","16,912","1,330","11,610","570","11,251"
"ZCTA5 11421","","","","","","",""
"    ZCTA5 11421","41,899","18,385","3,960","896","6,908","214","11,536"
"ZCTA5 11423","","","","","","",""
"    ZCTA5 11423","32,556","5,135","13,812","667","7,226","225","5,491"
"ZCTA5 11426","","","","","","",""
"    ZCTA5 11426","18,525","8,565","1,183","184","6,861","44","1,688"
"ZCTA5 11427","","","","","","",""
"    ZCTA5 11427","24,923","7,030","6,240","332","8,269","134","2,918"
"ZCTA5 11428","","","","","","",""
"    ZCTA5 11428","20,993","4,805","5,460","373","6,129","176","4,050"
"ZCTA5 11429","","","","","","",""
"    ZCTA5 11429","26,123","1,832","20,911","358","1,110","114","1,798"
"ZCTA5 11432","","","","","","",""
"    ZCTA5 11432","64,753","16,176","13,371","1,204","23,355","262","10,385"
"ZCTA5 11434","","","","","","",""
"    ZCTA5 11434","61,123","2,296","53,672","776","1,282","169","2,928"
"ZCTA5 11435","","","","","","",""
"    ZCTA5 11435","57,522","15,871","16,214","1,138","12,026","377","11,896"
"ZCTA5 11501","","","","","","",""
"    ZCTA5 11501","19,602","16,044","469","90","1,734","12","1,253"
"ZCTA5 11507","","","","","","",""
"    ZCTA5 11507","7,617","4,888","66","27","2,415","17","204"
"ZCTA5 11509","","","","","","",""
"    ZCTA5 11509","2,676","2,560","28","1","46","1","40"
