"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"    ZCTA5 14208","11,343","2,048","9,023","67","80","10","115"
"ZCTA5 14209","","","","","","",""
"    ZCTA5 14209","8,164","3,946","3,701","113","201","10","193"
"ZCTA5 14210","","","","","","",""
"    ZCTA5 14210","15,159","13,015","1,333","230","118","14","449"
"ZCTA5 14211","","","","","","",""
"    ZCTA5 14211","23,274","4,244","17,874","249","588","10","309"
"ZCTA5 14212","","","","","","",""
"    ZCTA5 14212","10,959","5,460","4,670","117","577","16","119"
"ZCTA5 14213","","","","","","",""
"    ZCTA5 14213","25,688","12,571","6,251","628","2,918","89","3,231"
"ZCTA5 14214","","","","","","",""
"    ZCTA5 14214","20,493","10,354","7,818","262","1,674","37","348"
"ZCTA5 14215","","","","","","",""
"    ZCTA5 14215","41,069","6,412","33,009","403","682","44","519"
"ZCTA5 14216","","","","","","",""
"    ZCTA5 14216","23,242","17,677","4,118","374","441","27","605"
"ZCTA5 14217","","","","","","",""
"    ZCTA5 14217","23,888","22,296","852","217","320","11","192"
"ZCTA5 14218","","","","","","",""
"    ZCTA5 14218","19,670","16,634","2,090","180","313","12","441"
"ZCTA5 14219","","","","","","",""
"    ZCTA5 14219","11,682","11,268","212","60","63","3","76"
"ZCTA5 14220","","","","","","",""
"    ZCTA5 14220","24,755","22,566","1,015","274","223","12","665"
"ZCTA5 14221","","","","","","",""
"    ZCTA5 14221","54,343","47,922","1,930","202","3,931","44","314"
"ZCTA5 14222","","","","","","",""
"    ZCTA5 14222","14,431","11,522","1,876","181","481","18","353"
"ZCTA5 14223","","","","","","",""
"    ZCTA5 14223","23,070","21,327","1,008","157","409","15","154"
"ZCTA5 14224","","","","","","",""
"    ZCTA5 14224","40,194","39,109","421","186","320","10","148"
"ZCTA5 14225","","","","","","",""
"    ZCTA5 14225","34,017","29,728","3,245","217","581","13","233"
"ZCTA5 14226","","","","","","",""
"    ZCTA5 14226","29,971","24,396","2,962","199","2,149","17","248"
"ZCTA5 14227","","","","","","",""
"    ZCTA5 14227","23,661","21,730","1,138","104","568","16","105"
"ZCTA5 14228","","","","","","",""
"    ZCTA5 14228","21,418","16,955","1,983","137","2,105","13","225"
"ZCTA5 14303","","","","","","",""
"    ZCTA5 14303","6,393","3,987","1,900","293","73","3","137"
"ZCTA5 14304","","","","","","",""
"    ZCTA5 14304","30,985","28,294","1,344","635","505","21","186"
"ZCTA5 14305","","","","","","",""
"    ZCTA5 14305","17,521","11,042","5,690","447","168","26","148"
"ZCTA5 14411","","","","","","",""
"    ZCTA5 14411","14,816","12,384","1,849","153","111","11","308"
"ZCTA5 14414","","","","","","",""
"    ZCTA5 14414","7,266","6,917","107","70","92","4","76"
"ZCTA5 14416","","","","","","",""
"    ZCTA5 14416","3,862","3,757","42","13","34","0","16"
"ZCTA5 14418","","","","","","",""
"    ZCTA5 14418","1,337","1,312","13","8","3","0","1"
"ZCTA5 14420","","","","","","",""
"    ZCTA5 14420","20,878","19,305","757","155","367","25","269"
"ZCTA5 14422","","","","","","",""
"    ZCTA5 14422","2,514","2,418","25","23","11","5","32"
"ZCTA5 14424","","","","","","",""
"    ZCTA5 14424","27,387","26,194","561","169","300","16","147"
"ZCTA5 14425","","","","","","",""
"    ZCTA5 14425","10,905","10,269","263","71","193","4","105"
"ZCTA5 14428","","","","","","",""
"    ZCTA5 14428","8,178","7,816","178","42","74","8","60"
"ZCTA5 14432","","","","","","",""
"    ZCTA5 14432","5,791","5,582","80","29","28","11","61"
"ZCTA5 14435","","","","","","",""
"    ZCTA5 14435","2,966","2,903","21","21","14","3","4"
"ZCTA5 14437","","","","","","",""
"    ZCTA5 14437","11,563","10,182","1,013","120","71","3","174"
"ZCTA5 14445","","","","","","",""
"    ZCTA5 14445","8,236","7,561","373","74","103","5","120"
"ZCTA5 14450","","","","","","",""
"    ZCTA5 14450","41,752","38,726","1,116","164","1,448","18","280"
"ZCTA5 14454","","","","","","",""
"    ZCTA5 14454","11,322","10,264","289","72","544","17","136"
"ZCTA5 14456","","","","","","",""
"    ZCTA5 14456","20,864","17,325","2,019","201","385","26","908"
"ZCTA5 14464","","","","","","",""
"    ZCTA5 14464","7,671","7,325","135","73","47","4","87"
"ZCTA5 14467","","","","","","",""
"    ZCTA5 14467","9,316","7,795","800","60","532","10","119"
"ZCTA5 14468","","","","","","",""
"    ZCTA5 14468","18,020","17,375","281","99","178","8","79"
"ZCTA5 14469","","","","","","",""
"    ZCTA5 14469","6,295","6,117","59","57","31","1","30"
"ZCTA5 14470","","","","","","",""
"    ZCTA5 14470","8,120","7,817","107","81","24","5","86"
"ZCTA5 14471","","","","","","",""
"    ZCTA5 14471","2,702","2,656","12","16","14","0","4"
"ZCTA5 14472","","","","","","",""
"    ZCTA5 14472","8,711","8,439","70","50","109","7","36"
"ZCTA5 14476","","","","","","",""
"    ZCTA5 14476","2,315","2,239","22","29","9","1","15"
"ZCTA5 14478","","","","","","",""
"    ZCTA5 14478","1,611","1,526","55","10","7","1","12"
"ZCTA5 14482","","","","","","",""
"    ZCTA5 14482","8,408","8,019","214","73","48","2","52"
"ZCTA5 14485","","","","","","",""
"    ZCTA5 14485","4,312","4,171","40","25","58","2","16"
"ZCTA5 14487","","","","","","",""
"    ZCTA5 14487","6,081","5,952","55","26","31","7","10"
"ZCTA5 14489","","","","","","",""
"    ZCTA5 14489","7,369","6,547","626","49","25","3","119"
"ZCTA5 14502","","","","","","",""
"    ZCTA5 14502","10,860","10,384","171","66","173","4","62"
"ZCTA5 14505","","","","","","",""
"    ZCTA5 14505","5,466","5,272","74","37","25","1","57"
"ZCTA5 14506","","","","","","",""
"    ZCTA5 14506","1,331","1,284","3","2","42","0","0"
"ZCTA5 14510","","","","","","",""
"    ZCTA5 14510","4,976","4,665","120","47","29","3","112"
"ZCTA5 14512","","","","","","",""
"    ZCTA5 14512","4,780","4,661","36","30","34","3","16"
"ZCTA5 14513","","","","","","",""
"    ZCTA5 14513","14,423","12,851","911","132","115","18","396"
"ZCTA5 14514","","","","","","",""
"    ZCTA5 14514","6,530","5,735","469","28","192","3","103"
"ZCTA5 14516","","","","","","",""
"    ZCTA5 14516","2,430","2,261","56","53","9","3","48"
"ZCTA5 14519","","","","","","",""
"    ZCTA5 14519","11,699","11,301","188","52","97","2","59"
"ZCTA5 14521","","","","","","",""
"    ZCTA5 14521","2,802","2,711","30","24","7","0","30"
"ZCTA5 14522","","","","","","",""
"    ZCTA5 14522","9,697","9,363","128","79","75","10","42"
"ZCTA5 14526","","","","","","",""
"    ZCTA5 14526","20,090","18,615","507","68","777","8","115"
"ZCTA5 14527","","","","","","",""
"    ZCTA5 14527","12,988","12,593","163","72","66","6","88"
"ZCTA5 14532","","","","","","",""
"    ZCTA5 14532","4,476","4,359","31","34","24","1","27"
"ZCTA5 14534","","","","","","",""
"    ZCTA5 14534","31,955","28,300","763","126","2,556","16","194"
"ZCTA5 14541","","","","","","",""
"    ZCTA5 14541","4,178","3,084","956","36","10","2","90"
"ZCTA5 14543","","","","","","",""
"    ZCTA5 14543","3,178","3,008","105","12","41","0","12"
"ZCTA5 14546","","","","","","",""
"    ZCTA5 14546","4,793","4,337","284","43","53","6","70"
"ZCTA5 14550","","","","","","",""
"    ZCTA5 14550","1,561","1,508","13","13","11","1","15"
"ZCTA5 14551","","","","","","",""
"    ZCTA5 14551","5,831","4,846","669","61","37","10","208"
"ZCTA5 14559","","","","","","",""
"    ZCTA5 14559","18,367","17,427","396","112","249","19","164"
"ZCTA5 14560","","","","","","",""
"    ZCTA5 14560","2,188","2,137","10","23","15","0","3"
"ZCTA5 14561","","","","","","",""
"    ZCTA5 14561","3,111","3,018","21","6","13","0","53"
"ZCTA5 14564","","","","","","",""
"    ZCTA5 14564","14,666","13,961","179","72","376","14","64"
"ZCTA5 14568","","","","","","",""
"    ZCTA5 14568","6,146","5,942","77","32","63","4","28"
"ZCTA5 14569","","","","","","",""
"    ZCTA5 14569","6,289","6,111","25","54","58","1","40"
"ZCTA5 14901","","","","","","",""
"    ZCTA5 14901","17,575","13,251","3,659","209","165","8","283"
"ZCTA5 14903","","","","","","",""
"    ZCTA5 14903","7,704","7,283","214","36","127","4","40"
"ZCTA5 14904","","","","","","",""
"    ZCTA5 14904","16,963","15,003","1,490","216","99","26","129"
"ZCTA5 14905","","","","","","",""
"    ZCTA5 14905","9,352","8,353","729","60","131","5","74"
