"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 14127","","","","","","",""
"    ZCTA5 14127","30,205","29,164","290","123","491","21","116"
"ZCTA5 14129","","","","","","",""
"    ZCTA5 14129","1,624","1,245","15","353","9","0","2"
"ZCTA5 14131","","","","","","",""
"    ZCTA5 14131","5,347","5,154","50","93","29","6","15"
"ZCTA5 14132","","","","","","",""
"    ZCTA5 14132","6,333","5,840","151","290","27","3","22"
"ZCTA5 14136","","","","","","",""
"    ZCTA5 14136","5,110","4,863","61","118","31","5","32"
"ZCTA5 14141","","","","","","",""
"    ZCTA5 14141","7,806","7,580","77","79","44","3","23"
"ZCTA5 14150","","","","","","",""
"    ZCTA5 14150","42,225","39,872","1,128","298","618","27","282"
"ZCTA5 14170","","","","","","",""
"    ZCTA5 14170","2,297","2,267","8","11","6","0","5"
"ZCTA5 14171","","","","","","",""
"    ZCTA5 14171","2,096","2,043","34","12","4","0","3"
"ZCTA5 14172","","","","","","",""
"    ZCTA5 14172","3,247","3,121","41","48","13","1","23"
"ZCTA5 14174","","","","","","",""
"    ZCTA5 14174","5,863","5,692","44","51","42","3","31"
"ZCTA5 14201","","","","","","",""
"    ZCTA5 14201","12,060","6,320","3,015","280","332","31","2,082"
"ZCTA5 14202","","","","","","",""
"    ZCTA5 14202","4,055","2,444","1,202","52","78","8","271"
"ZCTA5 14203","","","","","","",""
"    ZCTA5 14203","1,665","543","1,010","21","33","1","57"
"ZCTA5 14206","","","","","","",""
"    ZCTA5 14206","21,178","17,987","2,427","209","249","6","300"
"ZCTA5 14207","","","","","","",""
"    ZCTA5 14207","24,815","16,225","4,411","696","1,247","35","2,201"
"ZCTA5 14208","","","","","","",""
