"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 11560","","","","","","",""
"    ZCTA5 11560","6,563","5,867","161","17","206","6","306"
"ZCTA5 11561","","","","","","",""
"    ZCTA5 11561","38,117","32,160","2,487","234","1,191","40","2,005"
"ZCTA5 11563","","","","","","",""
"    ZCTA5 11563","23,155","19,857","923","73","1,151","8","1,143"
"ZCTA5 11565","","","","","","",""
"    ZCTA5 11565","8,829","7,784","338","19","402","8","278"
"ZCTA5 11566","","","","","","",""
"    ZCTA5 11566","35,788","33,008","568","81","1,461","8","662"
"ZCTA5 11568","","","","","","",""
"    ZCTA5 11568","4,681","3,018","782","28","649","4","200"
"ZCTA5 11570","","","","","","",""
"    ZCTA5 11570","27,179","22,616","2,649","154","697","28","1,035"
"ZCTA5 11572","","","","","","",""
"    ZCTA5 11572","30,985","28,498","508","71","988","24","896"
"ZCTA5 11575","","","","","","",""
"    ZCTA5 11575","17,098","2,664","10,780","397","175","28","3,054"
"ZCTA5 11576","","","","","","",""
"    ZCTA5 11576","12,603","10,162","142","16","2,060","7","216"
"ZCTA5 11577","","","","","","",""
"    ZCTA5 11577","12,693","9,599","542","58","2,152","16","326"
"ZCTA5 11579","","","","","","",""
"    ZCTA5 11579","5,135","4,746","136","17","125","5","106"
"ZCTA5 11580","","","","","","",""
"    ZCTA5 11580","41,638","19,368","11,742","306","5,744","107","4,371"
"ZCTA5 11581","","","","","","",""
"    ZCTA5 11581","21,397","14,571","2,868","122","2,553","42","1,241"
"ZCTA5 11590","","","","","","",""
"    ZCTA5 11590","47,544","25,620","10,075","435","3,753","82","7,579"
"ZCTA5 11596","","","","","","",""
"    ZCTA5 11596","10,647","8,876","98","17","1,483","11","162"
"ZCTA5 11598","","","","","","",""
"    ZCTA5 11598","13,439","12,160","404","18","629","1","227"
"ZCTA5 11691","","","","","","",""
"    ZCTA5 11691","62,585","19,816","31,398","926","1,626","244","8,575"
"ZCTA5 11692","","","","","","",""
"    ZCTA5 11692","19,327","3,342","12,792","286","650","58","2,199"
"ZCTA5 11693","","","","","","",""
"    ZCTA5 11693","12,364","6,847","3,908","153","464","22","970"
"ZCTA5 11694","","","","","","",""
"    ZCTA5 11694","20,806","17,096","2,039","126","598","33","914"
"ZCTA5 11697","","","","","","",""
"    ZCTA5 11697","4,104","4,026","10","15","31","2","20"
"ZCTA5 11701","","","","","","",""
"    ZCTA5 11701","28,140","13,586","10,609","442","476","68","2,959"
"ZCTA5 11702","","","","","","",""
"    ZCTA5 11702","14,779","13,612","367","48","408","3","341"
"ZCTA5 11703","","","","","","",""
"    ZCTA5 11703","16,760","14,042","1,232","59","820","6","601"
"ZCTA5 11704","","","","","","",""
"    ZCTA5 11704","41,270","31,839","5,741","318","1,385","65","1,922"
"ZCTA5 11705","","","","","","",""
"    ZCTA5 11705","8,134","7,697","137","21","173","5","101"
"ZCTA5 11706","","","","","","",""
"    ZCTA5 11706","65,548","39,853","11,288","946","2,580","109","10,772"
"ZCTA5 11709","","","","","","",""
"    ZCTA5 11709","6,768","6,424","41","40","151","2","110"
"ZCTA5 11710","","","","","","",""
"    ZCTA5 11710","35,050","31,984","728","120","1,561","9","648"
"ZCTA5 11713","","","","","","",""
"    ZCTA5 11713","10,961","6,868","2,601","308","333","15","836"
"ZCTA5 11714","","","","","","",""
"    ZCTA5 11714","22,968","20,946","199","60","1,241","17","505"
"ZCTA5 11715","","","","","","",""
"    ZCTA5 11715","4,802","4,599","64","18","55","1","65"
"ZCTA5 11716","","","","","","",""
"    ZCTA5 11716","10,844","10,189","143","30","273","1","208"
"ZCTA5 11717","","","","","","",""
"    ZCTA5 11717","64,357","32,027","11,036","1,135","1,544","134","18,481"
"ZCTA5 11718","","","","","","",""
"    ZCTA5 11718","3,164","2,971","71","9","76","1","36"
"ZCTA5 11719","","","","","","",""
"    ZCTA5 11719","3,640","3,251","255","11","33","1","89"
"ZCTA5 11720","","","","","","",""
"    ZCTA5 11720","29,810","25,354","1,106","138","1,998","26","1,188"
"ZCTA5 11721","","","","","","",""
"    ZCTA5 11721","6,358","6,118","43","24","153","1","19"
"ZCTA5 11722","","","","","","",""
"    ZCTA5 11722","37,398","16,857","9,646","668","1,460","95","8,672"
"ZCTA5 11724","","","","","","",""
"    ZCTA5 11724","3,253","3,102","25","1","87","0","38"
"ZCTA5 11725","","","","","","",""
"    ZCTA5 11725","29,489","26,954","328","57","1,806","11","333"
"ZCTA5 11726","","","","","","",""
"    ZCTA5 11726","20,720","13,066","3,352","234","605","38","3,425"
"ZCTA5 11727","","","","","","",""
"    ZCTA5 11727","30,162","22,047","4,372","283","1,813","41","1,606"
"ZCTA5 11729","","","","","","",""
"    ZCTA5 11729","28,856","21,532","3,677","201","2,188","25","1,233"
"ZCTA5 11730","","","","","","",""
"    ZCTA5 11730","14,925","14,076","205","67","298","7","272"
"ZCTA5 11731","","","","","","",""
"    ZCTA5 11731","30,600","27,907","423","96","1,610","24","540"
"ZCTA5 11732","","","","","","",""
"    ZCTA5 11732","3,483","3,173","58","17","197","0","38"
"ZCTA5 11733","","","","","","",""
"    ZCTA5 11733","19,273","17,080","467","92","1,446","6","182"
"ZCTA5 11735","","","","","","",""
"    ZCTA5 11735","32,763","27,858","1,423","138","1,830","39","1,475"
"ZCTA5 11738","","","","","","",""
"    ZCTA5 11738","18,064","15,781","639","117","809","13","705"
"ZCTA5 11740","","","","","","",""
"    ZCTA5 11740","9,688","8,402","554","58","468","2","204"
"ZCTA5 11741","","","","","","",""
"    ZCTA5 11741","28,093","25,667","600","88","1,139","20","579"
"ZCTA5 11742","","","","","","",""
"    ZCTA5 11742","13,439","12,092","287","36","721","12","291"
"ZCTA5 11743","","","","","","",""
"    ZCTA5 11743","43,029","36,832","2,979","246","1,774","50","1,148"
"ZCTA5 11746","","","","","","",""
"    ZCTA5 11746","69,500","50,783","5,942","613","5,177","52","6,933"
"ZCTA5 11747","","","","","","",""
"    ZCTA5 11747","20,161","17,432","763","86","1,592","12","276"
"ZCTA5 11749","","","","","","",""
"    ZCTA5 11749","3,481","2,191","518","26","231","4","511"
"ZCTA5 11751","","","","","","",""
"    ZCTA5 11751","15,288","13,699","615","82","428","24","440"
"ZCTA5 11752","","","","","","",""
"    ZCTA5 11752","9,695","8,838","272","48","256","11","270"
"ZCTA5 11753","","","","","","",""
"    ZCTA5 11753","12,152","8,686","186","15","3,158","5","102"
"ZCTA5 11754","","","","","","",""
"    ZCTA5 11754","19,202","18,091","246","59","559","16","231"
"ZCTA5 11755","","","","","","",""
"    ZCTA5 11755","12,565","11,084","307","58","868","4","244"
"ZCTA5 11756","","","","","","",""
"    ZCTA5 11756","43,753","38,364","594","173","3,022","42","1,558"
"ZCTA5 11757","","","","","","",""
"    ZCTA5 11757","46,663","41,753","1,326","217","1,214","22","2,131"
"ZCTA5 11758","","","","","","",""
"    ZCTA5 11758","54,565","49,366","2,783","195","1,257","26","938"
"ZCTA5 11762","","","","","","",""
"    ZCTA5 11762","22,549","21,708","124","46","471","11","189"
"ZCTA5 11763","","","","","","",""
"    ZCTA5 11763","29,280","23,147","3,077","285","883","26","1,862"
"ZCTA5 11764","","","","","","",""
"    ZCTA5 11764","13,386","12,480","281","40","436","12","137"
"ZCTA5 11765","","","","","","",""
"    ZCTA5 11765","752","647","19","2","65","0","19"
"ZCTA5 11766","","","","","","",""
"    ZCTA5 11766","12,808","11,769","229","58","588","12","152"
"ZCTA5 11767","","","","","","",""
"    ZCTA5 11767","14,695","13,463","272","47","697","3","213"
"ZCTA5 11768","","","","","","",""
"    ZCTA5 11768","22,149","21,189","187","61","530","17","165"
"ZCTA5 11769","","","","","","",""
"    ZCTA5 11769","9,572","9,236","109","26","151","4","46"
"ZCTA5 11771","","","","","","",""
"    ZCTA5 11771","10,259","8,917","317","53","463","8","501"
"ZCTA5 11772","","","","","","",""
"    ZCTA5 11772","46,378","37,262","3,128","457","1,129","46","4,356"
"ZCTA5 11776","","","","","","",""
"    ZCTA5 11776","24,722","21,411","805","132","1,119","14","1,241"
"ZCTA5 11777","","","","","","",""
"    ZCTA5 11777","9,111","8,120","174","39","569","7","202"
"ZCTA5 11778","","","","","","",""
"    ZCTA5 11778","12,875","12,060","266","59","226","10","254"
