"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 11510","","","","","","",""
"    ZCTA5 11510","34,334","18,743","10,791","249","1,728","49","2,774"
"ZCTA5 11514","","","","","","",""
"    ZCTA5 11514","4,775","3,986","127","11","418","2","231"
"ZCTA5 11516","","","","","","",""
"    ZCTA5 11516","7,645","6,744","185","14","320","0","382"
"ZCTA5 11518","","","","","","",""
"    ZCTA5 11518","10,658","9,981","152","14","261","4","246"
"ZCTA5 11520","","","","","","",""
"    ZCTA5 11520","45,688","18,934","15,486","731","968","111","9,458"
"ZCTA5 11530","","","","","","",""
"    ZCTA5 11530","27,645","25,489","524","74","1,184","25","349"
"ZCTA5 11542","","","","","","",""
"    ZCTA5 11542","28,546","21,291","2,250","256","1,460","68","3,221"
"ZCTA5 11545","","","","","","",""
"    ZCTA5 11545","12,245","10,892","186","27","916","8","216"
"ZCTA5 11548","","","","","","",""
"    ZCTA5 11548","2,851","1,892","389","17","429","0","124"
"ZCTA5 11550","","","","","","",""
"    ZCTA5 11550","59,432","15,368","27,573","1,014","1,081","122","14,274"
"ZCTA5 11552","","","","","","",""
"    ZCTA5 11552","24,415","15,422","5,558","186","1,421","51","1,777"
"ZCTA5 11553","","","","","","",""
"    ZCTA5 11553","27,092","7,330","12,984","335","716","44","5,683"
"ZCTA5 11554","","","","","","",""
"    ZCTA5 11554","38,912","30,043","2,172","124","4,776","32","1,765"
"ZCTA5 11557","","","","","","",""
"    ZCTA5 11557","7,930","6,924","159","8","548","5","286"
"ZCTA5 11558","","","","","","",""
"    ZCTA5 11558","8,603","7,368","202","39","266","8","720"
"ZCTA5 11559","","","","","","",""
"    ZCTA5 11559","8,294","7,399","242","6","254","20","373"
