1,Roma,75,34,22,9,3,17,12,5,0,17,10,4,3,68,33
2,Juventus,73,34,21,10,3,17,11,5,1,17,10,5,2,61,27
3,Lazio,69,34,21,6,7,17,13,2,2,17,8,4,5,65,36
4,Parma,56,34,16,8,10,17,9,4,4,17,7,4,6,51,31
5,Inter,51,34,14,9,11,17,9,6,2,17,5,3,9,47,47
6,Milan,49,34,12,13,9,17,9,6,2,17,3,7,7,56,46
7,Atalanta,44,34,10,14,10,17,4,9,4,17,6,5,6,38,34
8,Brescia,44,34,10,14,10,17,7,7,3,17,3,7,7,44,42
9,Fiorentina,43,34,10,13,11,17,8,4,5,17,2,9,6,53,52
10,Bologna,43,34,11,10,13,17,9,4,4,17,2,6,9,49,53
11,Perugia,42,34,10,12,12,17,6,7,4,17,4,5,8,49,53
12,Udinese,38,34,11,5,18,17,7,2,8,17,4,3,10,49,59
13,Lecce,37,34,8,13,13,17,6,5,6,17,2,8,7,40,54
14,Hellas Verona,37,34,10,7,17,17,9,4,4,17,1,3,13,40,59
15,Reggina,37,34,10,7,17,17,8,4,5,17,2,3,12,32,49
16,L. R. Vicenza,36,34,9,9,16,17,6,5,6,17,3,4,10,37,51
17,Napoli,36,34,8,12,14,17,5,7,5,17,3,5,9,35,51
18,Bari,20,34,5,5,24,17,5,2,10,17,0,3,14,31,68
