1,Juventus,71,34,20,11,3,17,13,3,1,17,7,8,2,64,23
2,Roma,70,34,19,13,2,17,13,4,0,17,6,9,2,58,24
3,Inter,69,34,20,9,5,17,11,3,3,17,9,6,2,62,35
4,Milan,55,34,14,13,7,17,7,8,2,17,7,5,5,47,33
5,Chievoverona,54,34,14,12,8,17,9,5,3,17,5,7,5,57,52
6,Lazio,53,34,14,11,9,17,10,6,1,17,4,5,8,50,37
7,Bologna,52,34,15,7,12,17,12,2,3,17,3,5,9,40,40
8,Perugia,46,34,13,7,14,17,10,4,3,17,3,3,11,38,46
9,Atalanta,45,34,12,9,13,17,6,6,5,17,6,3,8,41,50
10,Parma,44,34,12,8,14,17,8,6,3,17,4,2,11,43,47
11,Torino,43,34,10,13,11,17,7,5,5,17,3,8,6,37,39
12,Piacenza,42,34,11,9,14,17,8,1,8,17,3,8,6,49,43
13,Brescia,40,34,9,13,12,17,5,8,4,17,4,5,8,43,52
14,Udinese,40,34,11,7,16,17,4,5,8,17,7,2,8,41,52
15,Hellas Verona,39,34,11,6,17,17,9,3,5,17,2,3,12,41,53
16,Lecce,28,34,6,10,18,17,3,6,8,17,3,4,10,36,56
17,Fiorentina,22,34,5,7,22,17,3,6,8,17,2,1,14,29,63
18,Venezia,18,34,3,9,22,17,2,6,9,17,1,3,13,30,61
