1,Juventus,87,38,27,6,5,19,14,3,2,19,13,3,3,71,24
2,Napoli,78,38,23,9,6,19,14,4,1,19,9,5,5,73,36
3,Milan,72,38,21,9,8,19,13,2,4,19,8,7,4,67,39
4,Fiorentina,70,38,21,7,10,19,13,4,2,19,8,3,8,72,44
5,Udinese,66,38,18,12,8,19,11,7,1,19,7,5,7,59,45
6,Roma,62,38,18,8,12,19,10,5,4,19,8,3,8,71,56
7,Lazio,61,38,18,7,13,19,13,2,4,19,5,5,9,51,42
8,Catania,56,38,15,11,12,19,12,4,3,19,3,7,9,50,46
9,Inter,54,38,16,6,16,19,8,4,7,19,8,2,9,55,57
10,Parma,49,38,13,10,15,19,9,6,4,19,4,4,11,45,46
11,Cagliari,47,38,12,11,15,19,8,4,7,19,4,7,8,43,55
12,Chievoverona,45,38,12,9,17,19,6,8,5,19,6,1,12,37,52
13,Bologna,44,38,11,11,16,19,6,8,5,19,5,3,11,46,52
14,Sampdoria (-1),42,38,11,10,17,19,8,3,8,19,3,7,9,43,51
15,Atalanta (-2),40,38,11,9,18,19,6,6,7,19,5,3,11,39,56
16,Torino (-1),39,38,8,16,14,19,6,6,7,19,2,10,7,46,55
17,Genoa,38,38,8,14,16,19,5,7,7,19,3,7,9,38,52
18,Palermo,32,38,6,14,18,19,5,7,7,19,1,7,11,34,54
19,Robur Siena (-6),30,38,9,9,20,19,6,5,8,19,3,4,12,36,57
20,Pescara,22,38,6,4,28,19,4,1,14,19,2,3,14,27,84
