1,Lazio,72,34,21,9,4,17,13,4,0,17,8,5,4,64,33
2,Juventus,71,34,21,8,5,17,14,2,1,17,7,6,4,46,20
3,Milan,61,34,16,13,5,17,10,6,1,17,6,7,4,65,40
4,Inter,58,34,17,7,10,17,10,4,3,17,7,3,7,58,36
5,Parma,58,34,16,10,8,17,10,4,3,17,6,6,5,52,37
6,Roma,54,34,14,12,8,17,10,5,2,17,4,7,6,57,34
7,Fiorentina,51,34,13,12,9,17,10,5,2,17,3,7,7,48,38
8,Udinese,50,34,13,11,10,17,9,4,4,17,4,7,6,55,45
9,Hellas Verona,43,34,10,13,11,17,8,6,3,17,2,7,8,40,45
10,Perugia,42,34,12,6,16,17,7,4,6,17,5,2,10,36,52
11,Bologna,40,34,9,13,12,17,8,5,4,17,1,8,8,32,39
12,Reggina,40,34,9,13,12,17,6,7,4,17,3,6,8,31,42
13,Lecce,40,34,10,10,14,17,9,5,3,17,1,5,11,33,49
14,Bari,39,34,10,9,15,17,6,9,2,17,4,0,13,34,48
15,Torino,36,34,8,12,14,17,6,5,6,17,2,7,8,35,47
16,Venezia,26,34,6,8,20,17,6,5,6,17,0,3,14,30,60
17,Cagliari,22,34,3,13,18,17,3,7,7,17,0,6,11,29,54
18,Piacenza,21,34,4,9,21,17,3,7,7,17,1,2,14,19,45
