1,Inter,82,38,24,10,4,19,15,4,0,19,9,6,4,75,34
2,Roma,80,38,24,8,6,19,15,1,3,19,9,7,3,68,41
3,Milan,70,38,20,10,8,19,12,5,2,19,8,5,6,60,39
4,Sampdoria,67,38,19,10,9,19,13,6,0,19,6,4,9,49,41
5,Palermo,65,38,18,11,9,19,13,6,0,19,5,5,9,59,47
6,Napoli,59,38,15,14,9,19,9,8,2,19,6,6,7,50,43
7,Juventus,55,38,16,7,15,19,9,4,6,19,7,3,9,55,56
8,Parma,52,38,14,10,14,19,10,4,5,19,4,6,9,46,51
9,Genoa,51,38,14,9,15,19,11,5,3,19,3,4,12,57,61
10,Bari,50,38,13,11,14,19,11,4,4,19,2,7,10,49,49
11,Fiorentina,47,38,13,8,17,19,9,3,7,19,4,5,10,48,47
12,Lazio,46,38,11,13,14,19,5,6,8,19,6,7,6,39,43
13,Catania,45,38,10,15,13,19,8,7,4,19,2,8,9,44,45
14,Chievoverona,44,38,12,8,18,19,6,5,8,19,6,3,10,37,42
15,Udinese,44,38,11,11,16,19,10,5,4,19,1,6,12,54,59
16,Cagliari,44,38,11,11,16,19,7,7,5,19,4,4,11,56,58
17,Bologna,42,38,10,12,16,19,7,5,7,19,3,7,9,42,55
18,Atalanta,35,38,9,8,21,19,7,5,7,19,2,3,14,37,53
19,Robur Siena,31,38,7,10,21,19,4,7,8,19,3,3,13,40,67
20,Livorno,29,38,7,8,23,19,5,5,9,19,2,3,14,27,61
