1,Milan,82,34,25,7,2,17,14,2,1,17,11,5,1,65,24
2,Roma,71,34,21,8,5,17,13,1,3,17,8,7,2,68,19
3,Juventus,69,34,21,6,7,17,13,1,3,17,8,5,4,67,42
4,Inter,59,34,17,8,9,17,9,4,4,17,8,4,5,59,37
5,Parma,58,34,16,10,8,17,9,5,3,17,7,5,5,57,46
6,Lazio,56,34,16,8,10,17,10,4,3,17,6,4,7,52,38
7,Udinese,50,34,13,11,10,17,6,7,4,17,7,4,6,44,40
8,Sampdoria,46,34,11,13,10,17,8,4,5,17,3,9,5,40,42
9,Chievoverona,44,34,11,11,12,17,5,6,6,17,6,5,6,36,37
10,Lecce,41,34,11,8,15,17,6,4,7,17,5,4,8,43,56
11,Brescia,40,34,9,13,12,17,5,7,5,17,4,6,7,52,57
12,Bologna,39,34,10,9,15,17,7,5,5,17,3,4,10,45,53
13,Reggina,34,34,6,16,12,17,4,8,5,17,2,8,7,29,45
14,Robur Siena,34,34,8,10,16,17,7,4,6,17,1,6,10,41,54
15,Perugia,32,34,6,14,14,17,3,10,4,17,3,4,10,44,56
16,Modena,30,34,6,12,16,17,5,6,6,17,1,6,10,27,46
17,Empoli,30,34,7,9,18,17,6,6,5,17,1,3,13,26,54
18,Ancona,13,34,2,7,25,17,2,6,9,17,0,1,16,21,70
