1,Juventus,91,38,29,4,5,19,18,1,0,19,11,3,5,77,27
2,Roma,87,38,28,3,7,19,16,1,2,19,12,2,5,90,38
3,Napoli,86,38,26,8,4,19,13,4,2,19,13,4,2,94,39
4,Atalanta,72,38,21,9,8,19,12,4,3,19,9,5,5,62,41
5,Lazio,70,38,21,7,10,19,12,2,5,19,9,5,5,74,51
6,Milan,63,38,18,9,11,19,12,2,5,19,6,7,6,57,45
7,Inter,62,38,19,5,14,19,11,3,5,19,8,2,9,72,49
8,Fiorentina,60,38,16,12,10,19,10,8,1,19,6,4,9,63,57
9,Torino,53,38,13,14,11,19,9,8,2,19,4,6,9,71,66
10,Sampdoria,48,38,12,12,14,19,8,6,5,19,4,6,9,49,55
11,Cagliari,47,38,14,5,19,19,11,3,5,19,3,2,14,55,76
12,Sassuolo,46,38,13,7,18,19,7,3,9,19,6,4,9,58,63
13,Udinese,45,38,12,9,17,19,8,5,6,19,4,4,11,47,56
14,Chievoverona,43,38,12,7,19,19,6,5,8,19,6,2,11,43,61
15,Bologna,41,38,11,8,19,19,8,2,9,19,3,6,10,40,58
16,Genoa,36,38,9,9,20,19,6,7,6,19,3,2,14,38,64
17,Crotone,34,38,9,7,22,19,6,4,9,19,3,3,13,34,58
18,Empoli,32,38,8,8,22,19,5,4,10,19,3,4,12,29,61
19,Palermo,26,38,6,8,24,19,4,3,12,19,2,5,12,33,77
20,Pescara,18,38,3,9,26,19,2,5,12,19,1,4,14,37,81
