1,Inter,84,38,25,9,4,19,14,5,0,19,11,4,4,70,32
2,Juventus,74,38,21,11,6,19,11,6,2,19,10,5,4,69,37
3,Milan,74,38,22,8,8,19,14,3,2,19,8,5,6,70,35
4,Fiorentina,68,38,21,5,12,19,14,2,3,19,7,3,9,53,38
5,Genoa,68,38,19,11,8,19,12,5,2,19,7,6,6,56,39
6,Roma,63,38,18,9,11,19,13,4,2,19,5,5,9,64,61
7,Udinese,58,38,16,10,12,19,11,5,3,19,5,5,9,61,50
8,Palermo,57,38,17,6,15,19,14,1,4,19,3,5,11,57,50
9,Cagliari,53,38,15,8,15,19,11,4,4,19,4,4,11,49,50
10,Lazio,50,38,15,5,18,19,8,4,7,19,7,1,11,46,55
11,Atalanta,47,38,13,8,17,19,10,3,6,19,3,5,11,45,48
12,Napoli,46,38,12,10,16,19,10,5,4,19,2,5,12,43,45
13,Sampdoria,46,38,11,13,14,19,8,8,3,19,3,5,11,49,52
14,Robur Siena,44,38,12,8,18,19,9,5,5,19,3,3,13,33,44
15,Catania,43,38,12,7,19,19,11,1,7,19,1,6,12,41,51
16,Chievoverona,38,38,8,14,16,19,3,8,8,19,5,6,8,35,49
17,Bologna,37,38,9,10,19,19,6,3,10,19,3,7,9,43,62
18,Torino,34,38,8,10,20,19,7,4,8,19,1,6,12,37,61
19,Reggina,31,38,6,13,19,19,3,9,7,19,3,4,12,30,62
20,Lecce,30,38,5,15,18,19,3,10,6,19,2,5,12,37,67
