1,Inter,76,38,23,7,8,19,16,1,2,19,7,6,6,68,30
2,Roma,69,38,19,12,7,19,11,4,4,19,8,8,3,70,42
3,Milan (-30),58,38,28,4,6,19,18,1,0,19,10,3,6,85,31
4,Chievoverona,54,38,13,15,10,19,9,8,2,19,4,7,8,54,49
5,Palermo,52,38,13,13,12,19,9,5,5,19,4,8,7,50,52
6,Livorno,49,38,12,13,13,19,8,7,4,19,4,6,9,37,44
7,Parma,45,38,12,9,17,19,7,7,5,19,5,2,12,46,60
8,Empoli,45,38,13,6,19,19,9,3,7,19,4,3,12,47,61
9,Fiorentina (-30),44,38,22,8,8,19,16,1,2,19,6,7,6,66,41
10,Ascoli,43,38,9,16,13,19,7,8,4,19,2,8,9,43,53
11,Udinese,43,38,11,10,17,19,6,5,8,19,5,5,9,40,54
12,Sampdoria,41,38,10,11,17,19,6,6,7,19,4,5,10,47,51
13,Reggina,41,38,11,8,19,19,8,4,7,19,3,4,12,39,65
14,Cagliari,39,38,8,15,15,19,6,11,2,19,2,4,13,42,55
15,Robur Siena,39,38,9,12,17,19,5,5,9,19,4,7,8,42,60
16,Lazio (-30),32,38,16,14,8,19,11,7,1,19,5,7,7,57,47
17,Messina,31,38,6,13,19,19,4,9,6,19,2,4,13,33,59
18,Lecce,29,38,7,8,23,19,4,7,8,19,3,1,15,30,57
19,Treviso,21,38,3,12,23,19,2,4,13,19,1,8,10,24,56
20,Juventus (-91),0,38,27,10,1,19,14,5,0,19,13,5,1,71,24
