1,Inter,97,38,30,7,1,19,15,3,1,19,15,4,0,80,34
2,Roma,75,38,22,9,7,19,13,4,2,19,9,5,5,74,34
3,Lazio (-3),62,38,18,11,9,19,10,6,3,19,8,5,6,59,33
4,Milan (-8),61,38,19,12,7,19,12,3,4,19,7,9,3,57,36
5,Palermo,58,38,16,10,12,19,9,3,7,19,7,7,5,58,51
6,Fiorentina (-15),58,38,21,10,7,19,15,2,2,19,6,8,5,62,31
7,Empoli,54,38,14,12,12,19,10,7,2,19,4,5,10,42,43
8,Atalanta,50,38,12,14,12,19,8,9,2,19,4,5,10,56,54
9,Sampdoria,49,38,13,10,15,19,9,7,3,19,4,3,12,44,48
10,Udinese,46,38,12,10,16,19,8,4,7,19,4,6,9,49,55
11,Livorno,43,38,10,13,15,19,8,8,3,19,2,5,12,41,54
12,Parma,42,38,10,12,16,19,9,4,6,19,1,8,10,41,56
13,Catania,41,38,10,11,17,19,7,6,6,19,3,5,11,46,68
14,Reggina (-11),40,38,12,15,11,19,7,8,4,19,5,7,7,52,50
15,Robur Siena (-1),40,38,9,14,15,19,5,8,6,19,4,6,9,35,45
16,Torino,40,38,10,10,18,19,6,4,9,19,4,6,9,27,47
17,Cagliari,40,38,9,13,16,19,7,7,5,19,2,6,11,35,46
18,Chievoverona,39,38,9,12,17,19,7,6,6,19,2,6,11,38,48
19,Ascoli,27,38,5,12,21,19,3,8,8,19,2,4,13,36,67
20,Messina,26,38,5,11,22,19,5,7,7,19,0,4,15,37,69
