1,Juventus,87,38,26,9,3,19,16,3,0,19,10,6,3,72,24
2,Roma,70,38,19,13,6,19,10,7,2,19,9,6,4,54,31
3,Lazio,69,38,21,6,11,19,12,1,6,19,9,5,5,71,38
4,Fiorentina,64,38,18,10,10,19,9,6,4,19,9,4,6,61,46
5,Napoli,63,38,18,9,11,19,11,5,3,19,7,4,8,70,54
6,Genoa,59,38,16,11,11,19,9,6,4,19,7,5,7,62,47
7,Sampdoria,56,38,13,17,8,19,7,10,2,19,6,7,6,48,42
8,Inter,55,38,14,13,11,19,7,7,5,19,7,6,6,59,48
9,Torino,54,38,14,12,12,19,8,7,4,19,6,5,8,48,45
10,Milan,52,38,13,13,12,19,9,5,5,19,4,8,7,56,50
11,Palermo,49,38,12,13,13,19,8,6,5,19,4,7,8,53,55
12,Sassuolo,49,38,12,13,13,19,7,8,4,19,5,5,9,49,57
13,Hellas Verona,46,38,11,13,14,19,7,5,7,19,4,8,7,49,65
14,Chievoverona,43,38,10,13,15,19,4,9,6,19,6,4,9,28,41
15,Empoli,42,38,8,18,12,19,6,8,5,19,2,10,7,46,52
16,Udinese,41,38,10,11,17,19,6,5,8,19,4,6,9,43,56
17,Atalanta,37,38,7,16,15,19,4,7,8,19,3,9,7,38,57
18,Cagliari,34,38,8,10,20,19,4,4,11,19,4,6,9,48,68
19,Cesena,24,38,4,12,22,19,3,7,9,19,1,5,13,36,73
20,Parma (-7),19,38,6,8,24,19,5,4,10,19,1,4,14,33,75
