1,Inter,85,38,25,10,3,19,15,3,1,19,10,7,2,69,26
2,Roma,82,38,24,10,4,19,15,3,1,19,9,7,3,72,37
3,Juventus,72,38,20,12,6,19,12,5,2,19,8,7,4,72,37
4,Fiorentina,66,38,19,9,10,19,12,4,3,19,7,5,7,55,39
5,Milan,64,38,18,10,10,19,8,7,4,19,10,3,6,66,38
6,Sampdoria,60,38,17,9,12,19,10,7,2,19,7,2,10,56,46
7,Udinese,57,38,16,9,13,19,9,4,6,19,7,5,7,48,53
8,Napoli,50,38,14,8,16,19,11,4,4,19,3,4,12,50,53
9,Atalanta,48,38,12,12,14,19,8,7,4,19,4,5,10,52,56
10,Genoa,48,38,13,9,16,19,8,4,7,19,5,5,9,44,52
11,Palermo,47,38,12,11,15,19,8,7,4,19,4,4,11,47,57
12,Lazio,46,38,11,13,14,19,9,4,6,19,2,9,8,47,51
13,Robur Siena,44,38,9,17,12,19,6,9,4,19,3,8,8,40,45
14,Cagliari,42,38,11,9,18,19,8,5,6,19,3,4,12,40,56
15,Torino,40,38,8,16,14,19,5,7,7,19,3,9,7,36,49
16,Reggina,40,38,9,13,16,19,8,5,6,19,1,8,10,37,56
17,Catania,37,38,8,13,17,19,8,6,5,19,0,7,12,33,45
18,Empoli,36,38,9,9,20,19,5,7,7,19,4,2,13,29,52
19,Parma,34,38,7,13,18,19,7,6,6,19,0,7,12,42,62
20,Livorno,30,38,6,12,20,19,3,8,8,19,3,4,12,35,60
