1,Juventus,91,38,29,4,5,19,16,2,1,19,13,2,4,75,20
2,Napoli,82,38,25,7,6,19,16,3,0,19,9,4,6,80,32
3,Roma,80,38,23,11,4,19,13,5,1,19,10,6,3,83,41
4,Inter,67,38,20,7,11,19,13,2,4,19,7,5,7,50,38
5,Fiorentina,64,38,18,10,10,19,11,5,3,19,7,5,7,60,42
6,Sassuolo,61,38,16,13,9,19,8,8,3,19,8,5,6,49,40
7,Milan,57,38,15,12,11,19,9,6,4,19,6,6,7,49,43
8,Lazio,54,38,15,9,14,19,10,3,6,19,5,6,8,52,52
9,Chievoverona,50,38,13,11,14,19,7,8,4,19,6,3,10,43,45
10,Empoli,46,38,12,10,16,19,7,6,6,19,5,4,10,40,49
11,Genoa,46,38,13,7,18,19,10,3,6,19,3,4,12,45,48
12,Torino,45,38,12,9,17,19,6,6,7,19,6,3,10,52,55
13,Atalanta,45,38,11,12,15,19,8,6,5,19,3,6,10,41,47
14,Bologna,42,38,11,9,18,19,5,5,9,19,6,4,9,33,45
15,Sampdoria,40,38,10,10,18,19,8,4,7,19,2,6,11,48,61
16,Palermo,39,38,10,9,19,19,6,4,9,19,4,5,10,38,65
17,Udinese,39,38,10,9,19,19,6,4,9,19,4,5,10,35,60
18,Carpi,38,38,9,11,18,19,6,5,8,19,3,6,10,37,57
19,Frosinone,31,38,8,7,23,19,6,4,9,19,2,3,14,35,76
20,Hellas Verona,28,38,5,13,20,19,4,6,9,19,1,7,11,34,63
