1,Milan,82,38,24,10,4,19,13,4,2,19,11,6,2,65,24
2,Inter,76,38,23,7,8,19,15,3,1,19,8,4,7,69,42
3,Napoli,70,38,21,7,10,19,12,4,3,19,9,3,7,59,39
4,Udinese,66,38,20,6,12,19,11,4,4,19,9,2,8,65,43
5,Lazio,66,38,20,6,12,19,13,3,3,19,7,3,9,55,39
6,Roma,63,38,18,9,11,19,11,5,3,19,7,4,8,59,52
7,Juventus,58,38,15,13,10,19,8,6,5,19,7,7,5,57,47
8,Palermo,56,38,17,5,16,19,11,3,5,19,6,2,11,58,63
9,Fiorentina,51,38,12,15,11,19,9,6,4,19,3,9,7,49,44
10,Genoa,51,38,14,9,15,19,10,3,6,19,4,6,9,45,47
11,Chievoverona,46,38,11,13,14,19,6,8,5,19,5,5,9,38,40
12,Parma,46,38,11,13,14,19,7,7,5,19,4,6,9,39,47
13,Catania,46,38,12,10,16,19,11,4,4,19,1,6,12,40,52
14,Cagliari,45,38,12,9,17,19,8,3,8,19,4,6,9,44,51
15,Cesena,43,38,11,10,17,19,7,5,7,19,4,5,10,38,50
16,Bologna (-3),42,38,11,12,15,19,7,7,5,19,4,5,10,35,52
17,Lecce,41,38,11,8,19,19,7,5,7,19,4,3,12,46,66
18,Sampdoria,36,38,8,12,18,19,5,6,8,19,3,6,10,33,49
19,Brescia,32,38,7,11,20,19,6,5,8,19,1,6,12,34,52
20,Bari,24,38,5,9,24,19,2,6,11,19,3,3,13,27,56
