1,Juventus,102,38,33,3,2,19,19,0,0,19,14,3,2,80,23
2,Roma,85,38,26,7,5,19,15,3,1,19,11,4,4,72,25
3,Napoli,78,38,23,9,6,19,13,4,2,19,10,5,4,77,39
4,Fiorentina,65,38,19,8,11,19,9,4,6,19,10,4,5,65,44
5,Inter,60,38,15,15,8,19,8,9,2,19,7,6,6,62,39
6,Parma,58,38,15,13,10,19,9,7,3,19,6,6,7,58,46
7,Torino,57,38,15,12,11,19,9,6,4,19,6,6,7,58,48
8,Milan,57,38,16,9,13,19,11,4,4,19,5,5,9,57,49
9,Lazio,56,38,15,11,12,19,10,6,3,19,5,5,9,54,54
10,Hellas Verona,54,38,16,6,16,19,10,3,6,19,6,3,10,62,68
11,Atalanta,50,38,15,5,18,19,11,3,5,19,4,2,13,43,51
12,Sampdoria,45,38,12,9,17,19,7,5,7,19,5,4,10,48,62
13,Udinese,44,38,12,8,18,19,9,4,6,19,3,4,12,46,57
14,Genoa,44,38,11,11,16,19,8,5,6,19,3,6,10,41,50
15,Cagliari,39,38,9,12,17,19,8,4,7,19,1,8,10,34,53
16,Chievoverona,36,38,10,6,22,19,6,2,11,19,4,4,11,34,54
17,Sassuolo,34,38,9,7,22,19,5,2,12,19,4,5,10,43,72
18,Catania,32,38,8,8,22,19,7,6,6,19,1,2,16,34,66
19,Bologna,29,38,5,14,19,19,3,8,8,19,2,6,11,28,58
20,Livorno,25,38,6,7,25,19,4,5,10,19,2,2,15,39,77
