1,Juventus,90,38,28,6,4,19,15,4,0,19,13,2,4,70,30
2,Napoli,79,38,24,7,7,19,13,4,2,19,11,3,5,74,36
3,Atalanta,69,38,20,9,9,19,10,5,4,19,10,4,5,77,46
4,Inter,69,38,20,9,9,19,11,5,3,19,9,4,6,57,33
5,Milan,68,38,19,11,8,19,12,4,3,19,7,7,5,55,36
6,Roma,66,38,18,12,8,19,12,5,2,19,6,7,6,66,48
7,Torino,63,38,16,15,7,19,12,2,5,19,4,13,2,52,37
8,Lazio,59,38,17,8,13,19,9,5,5,19,8,3,8,56,46
9,Sampdoria,53,38,15,8,15,19,10,2,7,19,5,6,8,60,51
10,Bologna,44,38,11,11,16,19,9,4,6,19,2,7,10,48,56
11,Sassuolo,43,38,9,16,13,19,5,10,4,19,4,6,9,53,60
12,Udinese,43,38,11,10,17,19,8,5,6,19,3,5,11,39,53
13,Spal,42,38,11,9,18,19,5,7,7,19,6,2,11,44,56
14,Parma,41,38,10,11,17,19,5,7,7,19,5,4,10,41,61
15,Cagliari,41,38,10,11,17,19,8,6,5,19,2,5,12,36,54
16,Fiorentina,41,38,8,17,13,19,5,9,5,19,3,8,8,47,45
17,Genoa,38,38,8,14,16,19,6,8,5,19,2,6,11,39,57
18,Empoli,38,38,10,8,20,19,9,3,7,19,1,5,13,51,70
19,Frosinone,25,38,5,10,23,19,1,6,12,19,4,4,11,29,69
20,Chievoverona (-3),17,38,2,14,22,19,1,7,11,19,1,7,11,25,75
