1,Juventus,86,38,26,8,4,19,15,2,2,19,11,6,2,67,27
2,Milan,79,38,23,10,5,19,11,5,3,19,12,5,2,63,28
3,Inter,72,38,18,18,2,19,11,7,1,19,7,11,1,65,37
4,Udinese,62,38,17,11,10,19,8,7,4,19,9,4,6,56,40
5,Sampdoria,61,38,17,10,11,19,10,3,6,19,7,7,5,42,29
6,Palermo,53,38,12,17,9,19,9,7,3,19,3,10,6,48,44
7,Messina,48,38,12,12,14,19,10,7,2,19,2,5,12,44,52
8,Roma,45,38,11,12,15,19,6,8,5,19,5,4,10,55,58
9,Livorno,45,38,11,12,15,19,9,5,5,19,2,7,10,49,60
10,Lazio,44,38,11,11,16,19,6,6,7,19,5,5,9,48,53
11,Lecce,44,38,10,14,14,19,8,8,3,19,2,6,11,66,73
12,Cagliari,44,38,10,14,14,19,9,9,1,19,1,5,13,51,60
13,Reggina,44,38,10,14,14,19,7,6,6,19,3,8,8,36,45
14,Robur Siena,43,38,9,16,13,19,5,8,6,19,4,8,7,44,55
15,Chievoverona,43,38,11,10,17,19,8,5,6,19,3,5,11,32,49
16,Fiorentina,42,38,9,15,14,19,7,7,5,19,2,8,9,42,50
17,Parma,42,38,10,12,16,19,8,9,2,19,2,3,14,48,65
18,Bologna,42,38,9,15,14,19,6,7,6,19,3,8,8,33,36
19,Brescia,41,38,11,8,19,19,6,3,10,19,5,5,9,37,54
20,Atalanta,35,38,8,11,19,19,7,6,6,19,1,5,13,34,45
