1,Juventus,95,38,30,5,3,19,16,1,2,19,14,4,1,86,24
2,Napoli,91,38,28,7,3,19,14,3,2,19,14,4,1,77,29
3,Roma,77,38,23,8,7,19,11,2,6,19,12,6,1,61,28
4,Inter,72,38,20,12,6,19,11,5,3,19,9,7,3,66,30
5,Lazio,72,38,21,9,8,19,9,5,5,19,12,4,3,89,49
6,Milan,64,38,18,10,10,19,10,5,4,19,8,5,6,56,42
7,Atalanta,60,38,16,12,10,19,9,6,4,19,7,6,6,57,39
8,Fiorentina,57,38,16,9,13,19,8,5,6,19,8,4,7,54,46
9,Torino,54,38,13,15,10,19,8,6,5,19,5,9,5,54,46
10,Sampdoria,54,38,16,6,16,19,12,3,4,19,4,3,12,56,60
11,Sassuolo,43,38,11,10,17,19,4,7,8,19,7,3,9,29,59
12,Genoa,41,38,11,8,19,19,6,3,10,19,5,5,9,33,43
13,Chievoverona,40,38,10,10,18,19,7,6,6,19,3,4,12,36,59
14,Udinese,40,38,12,4,22,19,6,2,11,19,6,2,11,48,63
15,Bologna,39,38,11,6,21,19,6,4,9,19,5,2,12,40,52
16,Cagliari,39,38,11,6,21,19,6,3,10,19,5,3,11,33,61
17,Spal,38,38,8,14,16,19,5,8,6,19,3,6,10,39,59
18,Crotone,35,38,9,8,21,19,6,6,7,19,3,2,14,40,66
19,Hellas Verona,25,38,7,4,27,19,5,1,13,19,2,3,14,30,78
20,Benevento,21,38,6,3,29,19,5,2,12,19,1,1,17,33,84
