id,Geographic Area Name,Total,Total!!Male,Total!!Male!!Under 5 years,Total!!Male!!5 to 9 years,Total!!Male!!10 to 14 years,Total!!Male!!15 to 17 years,Total!!Male!!18 and 19 years,Total!!Male!!20 years,Total!!Male!!21 years,Total!!Male!!22 to 24 years,Total!!Male!!25 to 29 years,Total!!Male!!30 to 34 years,Total!!Male!!35 to 39 years,Total!!Male!!40 to 44 years,Total!!Male!!45 to 49 years,Total!!Male!!50 to 54 years,Total!!Male!!55 to 59 years,Total!!Male!!60 and 61 years,Total!!Male!!62 to 64 years,Total!!Male!!65 and 66 years,Total!!Male!!67 to 69 years,Total!!Male!!70 to 74 years,Total!!Male!!75 to 79 years,Total!!Male!!80 to 84 years,Total!!Male!!85 years and over,Total!!Female,Total!!Female!!Under 5 years,Total!!Female!!5 to 9 years,Total!!Female!!10 to 14 years,Total!!Female!!15 to 17 years,Total!!Female!!18 and 19 years,Total!!Female!!20 years,Total!!Female!!21 years,Total!!Female!!22 to 24 years,Total!!Female!!25 to 29 years,Total!!Female!!30 to 34 years,Total!!Female!!35 to 39 years,Total!!Female!!40 to 44 years,Total!!Female!!45 to 49 years,Total!!Female!!50 to 54 years,Total!!Female!!55 to 59 years,Total!!Female!!60 and 61 years,Total!!Female!!62 to 64 years,Total!!Female!!65 and 66 years,Total!!Female!!67 to 69 years,Total!!Female!!70 to 74 years,Total!!Female!!75 to 79 years,Total!!Female!!80 to 84 years,Total!!Female!!85 years and over
5001300US1215,"Congressional District 15 (113th Congress), Florida",696345,338189,22674,23361,24450,15409,11315,5673,5218,15024,22135,20405,21686,22746,25055,23799,20167,7623,10702,5989,7787,10315,7552,5314,3790,358156,21672,22366,23614,14429,11648,6073,5756,15479,23173,21668,22956,23838,26228,25206,22661,8293,11829,6792,8834,11962,9310,7412,6957
5001300US1216,"Congressional District 16 (113th Congress), Florida",696345,334048,16520,17165,18295,11511,7050,3390,3049,9288,16141,15739,16952,19125,22197,23026,22255,9242,15457,9803,14680,20972,17703,13666,10822,362297,16046,16468,17605,10931,6568,3110,2926,9156,15949,15395,17785,20124,23809,25504,26452,11173,18124,11429,16819,23243,19678,16895,17108
5001300US1217,"Congressional District 17 (113th Congress), Florida",696344,348559,19635,20145,20889,13583,8931,4046,3832,11428,18740,18196,19122,20903,22775,22264,20806,8645,14006,9319,14053,20578,16400,11756,8507,347785,18569,19353,19630,12100,7285,3252,3000,9179,16352,16503,18236,19274,22308,22844,22926,9973,15996,10264,15476,21758,17188,13665,12654
5001300US1218,"Congressional District 18 (113th Congress), Florida",696344,340419,17822,19280,21020,13271,7988,3601,3356,10738,18345,17686,19334,22083,25747,25555,22408,8673,13446,7933,12004,16979,14044,10848,8258,355925,17159,18324,20265,12420,7181,3283,3133,9813,17364,17466,19934,22963,26941,27015,24763,9664,15228,9178,13741,18718,15924,13072,12376
5001300US1219,"Congressional District 19 (113th Congress), Florida",696345,340021,17545,18038,18157,11246,7657,3693,3710,10573,18678,17641,18417,19546,21561,21343,20976,9242,15554,10361,15784,22098,16931,12356,8914,356324,17026,17136,17569,10692,7436,3519,3426,10270,17680,16974,18163,19610,22803,23782,25137,11190,18139,11486,16967,22582,17664,14032,13041
5001300US1220,"Congressional District 20 (113th Congress), Florida",696345,339236,25186,23129,23322,14996,10274,5174,5083,15266,25569,23792,22831,23036,24890,23300,19288,6555,9116,5303,6705,8972,6694,5360,5395,357109,24782,22329,22159,14510,9685,4883,4816,15046,25704,23922,23181,23597,25227,24304,21207,7505,10344,6036,8171,11165,9361,8612,10563
5001300US1221,"Congressional District 21 (113th Congress), Florida",696345,328957,18540,20923,23537,14572,8055,3626,3448,10095,16660,16708,20065,22632,24722,23152,19215,7348,10792,6237,9225,13215,12524,12181,11485,367388,17859,20112,22140,14008,7370,3309,3084,9765,17445,18907,22659,25601,27268,25168,22510,8555,13525,7994,12158,17585,16769,16278,17319
5001300US1222,"Congressional District 22 (113th Congress), Florida",696345,347872,17136,15921,16386,10323,7680,3908,3755,13076,23648,22028,22916,25199,28238,27478,24203,8897,13142,7565,10660,13959,12036,10264,9454,348473,16252,15568,15380,9752,7057,3643,3581,11944,21917,20332,21008,22925,25739,25919,24485,9363,13868,7967,11624,15700,14615,13857,15977
5001300US1223,"Congressional District 23 (113th Congress), Florida",696345,337562,19192,19554,21388,13706,7999,3786,3760,12304,21979,22596,25013,27174,28842,26006,21481,7729,10445,5795,7633,10271,8392,6662,5855,358783,18427,18708,20151,12751,7303,3664,3585,12917,23502,23793,26081,27675,29544,26914,23230,8066,11622,6570,9054,13037,11402,10077,10710
5001300US1224,"Congressional District 24 (113th Congress), Florida",696345,335617,24625,22912,23599,15538,10899,5513,5365,15940,26126,23634,23614,23593,24456,22883,19449,6548,8772,4865,6340,8348,6015,3779,2804,360728,23784,22240,22905,14975,11016,5762,5491,16871,28077,25840,24837,24210,25799,25268,21916,7579,9885,5682,7675,10751,8062,6176,5927
5001300US1225,"Congressional District 25 (113th Congress), Florida",696344,340322,21466,22336,24085,15051,10065,4934,4776,13975,21707,21536,25569,27351,28298,21781,17876,6336,9367,5705,7906,11748,8750,6038,3666,356022,20421,21202,22684,14228,9105,4327,4403,12712,21185,22302,26599,27720,29337,23509,20737,7796,11184,6691,10097,14431,10925,7959,6468
5001300US1226,"Congressional District 26 (113th Congress), Florida",696345,338157,20633,21033,22825,14883,10341,5330,5088,14862,22632,21210,24529,26275,28039,23312,20678,7240,9839,5655,7591,10334,7194,5060,3574,358188,19848,20022,21624,14119,9762,5025,4724,13878,21902,21630,25603,26981,30270,25996,23506,8311,11247,6731,8957,12775,9858,7744,7675
5001300US1227,"Congressional District 27 (113th Congress), Florida",696345,337654,20920,20170,20594,13305,9542,4936,4763,13875,22372,22843,25695,26041,27561,22349,19257,6896,9702,5799,8017,11501,9185,7143,5188,358691,19914,19067,19917,12306,9224,4773,4691,13782,23168,23195,25345,26147,27773,24291,21714,7848,10872,6684,9311,14983,12530,10664,10492
