"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"72","55","151","125","1","0","44.00","4","lbw","4","v Sri Lanka","Pallekele","26 Jul 2016"
"73","5","9","10","1","0","50.00","4","bowled","2","v Sri Lanka","Galle","4 Aug 2016"
"74","30","57","58","3","0","51.72","5","caught","4","v Sri Lanka","Galle","4 Aug 2016"
"75","119","305","218","10","1","54.58","3","stumped","2","v Sri Lanka","Colombo (SSC)","13 Aug 2016"
"76","8","17","14","1","0","57.14","3","bowled","4","v Sri Lanka","Colombo (SSC)","13 Aug 2016"
"77","0","4","4","0","0","0.00","4","lbw","2","v South Africa","Perth","3 Nov 2016"
"78","34","118","91","5","0","37.36","4","caught","4","v South Africa","Perth","3 Nov 2016"
"79","48*","137","80","5","0","60.00","4","not out","1","v South Africa","Hobart","12 Nov 2016"
"80","31","151","82","5","0","37.80","4","caught","3","v South Africa","Hobart","12 Nov 2016"
"81","59","159","113","8","1","52.21","4","run out","2","v South Africa","Adelaide","24 Nov 2016"
"82","40","84","52","5","0","76.92","4","caught","4","v South Africa","Adelaide","24 Nov 2016"
"83","130","312","222","19","0","58.55","4","caught","1","v Pakistan","Brisbane","15 Dec 2016"
"84","63","106","70","11","0","90.00","4","caught","3","v Pakistan","Brisbane","15 Dec 2016"
"85","165*","412","246","13","1","67.07","4","not out","2","v Pakistan","Melbourne","26 Dec 2016"
"86","24","43","40","3","0","60.00","4","caught","1","v Pakistan","Sydney","3 Jan 2017"
"87","59","72","43","8","1","137.20","3","caught","3","v Pakistan","Sydney","3 Jan 2017"
"88","27","128","95","2","0","28.42","3","caught","1","v India","Pune","23 Feb 2017"
"89","109","256","202","11","0","53.96","3","lbw","3","v India","Pune","23 Feb 2017"
"90","8","81","52","0","0","15.38","3","caught","2","v India","Bengaluru","4 Mar 2017"
"91","28","69","48","3","0","58.33","3","lbw","4","v India","Bengaluru","4 Mar 2017"
"92","178*","512","361","17","0","49.30","3","not out","1","v India","Ranchi","16 Mar 2017"
"93","21","98","68","2","0","30.88","4","bowled","3","v India","Ranchi","16 Mar 2017"
"94","111","224","173","14","0","64.16","3","caught","1","v India","Dharamsala","25 Mar 2017"
"95","17","25","15","3","0","113.33","3","bowled","3","v India","Dharamsala","25 Mar 2017"
"96","8","16","16","1","0","50.00","5","bowled","2","v Bangladesh","Dhaka","27 Aug 2017"
"97","37","149","99","3","0","37.37","4","caught","4","v Bangladesh","Dhaka","27 Aug 2017"
"98","58","107","94","8","0","61.70","3","bowled","2","v Bangladesh","Chattogram","4 Sep 2017"
"99","16","24","9","3","0","177.77","3","caught","4","v Bangladesh","Chattogram","4 Sep 2017"
"100","141*","512","326","14","0","43.25","4","not out","2","v England","Brisbane","23 Nov 2017"
"101","DNB","-","-","-","-","-","-","-","4","v England","Brisbane","23 Nov 2017"
"102","40","119","90","3","0","44.44","4","bowled","1","v England","Adelaide","2 Dec 2017"
"103","6","25","12","1","0","50.00","4","lbw","3","v England","Adelaide","2 Dec 2017"
"104","239","578","399","30","1","59.89","4","lbw","2","v England","Perth","14 Dec 2017"
"105","76","211","156","8","0","48.71","4","bowled","1","v England","Melbourne","26 Dec 2017"
"106","102*","438","275","6","0","37.09","4","not out","3","v England","Melbourne","26 Dec 2017"
"107","83","254","158","5","0","52.53","4","caught","2","v England","Sydney","4 Jan 2018"
"108","56","155","114","11","0","49.12","4","caught","1","v South Africa","Durban","1 Mar 2018"
"109","38","97","81","3","0","46.91","4","lbw","3","v South Africa","Durban","1 Mar 2018"
"110","25","93","58","3","0","43.10","4","lbw","1","v South Africa","Port Elizabeth","9 Mar 2018"
